geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02002805,84.4,1.8,13.8
E02002809,76.6,3,20.4
E02002827,69,15.4,15.6
E02002828,78,15.5,6.5
E02002829,61.2,19.8,19
E02002830,63,20.3,16.7
E02002831,67.9,25.8,6.4
E02002832,56.8,38.4,4.8
E02002833,57,36.8,6.2
E02002834,65.1,25.6,9.3
E02002836,50.1,45.8,4
E02002837,57.3,32.4,10.4
E02002838,59.3,17.1,23.6
E02002839,77.1,10.4,12.5
E02002842,45.7,38.6,15.8
E02002843,48.8,46.7,4.5
E02002844,64.6,30.2,5.2
E02002845,66.9,23.2,9.9
E02002846,73.7,14.6,11.7
E02002847,70.7,25.7,3.6
E02002848,62.3,32.1,5.6
E02002849,51.6,36.8,11.6
E02002851,83.5,11.2,5.3
E02002852,57.9,15.5,26.6
E02002853,73.4,22.6,4.1
E02002854,60.4,19.2,20.4
E02002855,56.2,32.8,11
E02002856,76.8,15.5,7.7
E02002857,63,18.6,18.4
E02002858,85.4,7.2,7.3
E02002860,74.8,9.2,16
E02002861,63,12.9,24.1
E02002862,62.4,12.6,25
E02002863,81.5,4.7,13.8
E02002864,82.8,3.3,14
E02002865,81.8,4.6,13.6
E02002866,85,2.4,12.6
E02002867,85,3.9,11.1
E02002868,78.3,5.8,15.9
E02002869,63,9.9,27.1
E02002871,72.2,7.7,20.1
E02002872,65.5,10.7,23.8
E02002873,62.8,16.1,21.1
E02002874,70.5,12.6,16.9
E02002875,67.8,12.4,19.8
E02002876,74,10.9,15.2
E02002877,77.8,10.6,11.6
E02002878,56.4,18.3,25.3
E02002879,67.8,18.7,13.5
E02002880,59.8,17.8,22.4
E02002881,67.8,10.9,21.3
E02002882,72.6,16.7,10.8
E02002883,66.9,17.6,15.4
E02002884,59.2,29.9,10.9
E02002885,53.1,34.4,12.6
E02002886,71.6,17.8,10.6
E02002887,67.6,9.4,22.9
E02002888,59.3,21.5,19.2
E02002889,78.7,15.3,6
E02002890,68.8,20.9,10.3
E02002891,74.9,11.6,13.4
E02002892,67.4,14.1,18.5
E02002893,65.8,24.8,9.4
