geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02002805,48.1,38.7,12.4,0.8,0
E02002809,37.8,37.4,22.4,2.1,0.3
E02002827,25,31.9,33.1,8.6,1.3
E02002828,31,35.9,26.9,5,1.2
E02002829,18.2,29.2,41,9.8,1.8
E02002830,23.5,29,36.8,8.5,2.2
E02002831,28.8,29.5,29.3,9.3,3.1
E02002832,20.9,24.5,34.9,13,6.7
E02002833,19.9,28,28.6,15.7,7.7
E02002834,28.2,33.4,32.1,5.1,1.1
E02002836,17.1,23.6,32.6,15.1,11.5
E02002837,18.2,23,34.9,15.7,8.2
E02002838,21.6,25.5,41.3,9.7,1.9
E02002839,32.1,28.6,31.3,6.4,1.6
E02002842,13,33.7,42,9.2,2.1
E02002843,10.7,20.7,33.7,20,14.9
E02002844,9.5,18.2,40.7,22.6,9
E02002845,18.9,24.8,40.7,11.9,3.8
E02002846,43.5,31.4,21.2,3.4,0.4
E02002847,24.3,24.7,30.6,14.6,5.8
E02002848,15.2,22.8,38,16.7,7.3
E02002849,18.5,27.4,43.9,8.2,2
E02002851,40.6,31.5,20.8,5.9,1.2
E02002852,19.2,25.2,44.1,9.7,1.7
E02002853,27.7,24.3,32.9,11.7,3.4
E02002854,25.1,29.6,36.3,7.1,1.9
E02002855,25.1,34.3,31.4,7,2.1
E02002856,29.3,32.4,35,2.6,0.7
E02002857,16.6,38.1,38.3,5.9,1.2
E02002858,52.8,28.4,17,1.5,0.3
E02002860,39,32.2,24.7,3.7,0.5
E02002861,22.4,29.2,36.2,9.6,2.6
E02002862,23.2,30.2,38.8,6.7,1.1
E02002863,53.7,30.4,14.7,1,0.2
E02002864,49,34.4,15.4,1,0.1
E02002865,53.3,30.8,15,0.8,0.1
E02002866,58.7,28.8,11.6,0.8,0.2
E02002867,56.6,28.6,13.9,0.9,0
E02002868,44,33.4,19.4,2.4,0.8
E02002869,21.4,35.1,37,5.8,0.7
E02002871,29.1,39.4,27.9,3.1,0.4
E02002872,25.5,32.1,35.9,5.5,1
E02002873,27.2,34,32.5,5.6,0.8
E02002874,39.4,32.1,23.9,4,0.6
E02002875,24.7,37.6,32.8,4.4,0.4
E02002876,31.1,35.8,28.6,4.1,0.5
E02002877,36.1,37.1,23.9,1.9,0.9
E02002878,21.6,33.2,34.9,8.7,1.7
E02002879,29.8,37.8,26.2,4.5,1.7
E02002880,22.6,34.8,35,6.4,1.1
E02002881,28.3,30.9,34.9,4.9,0.9
E02002882,32.7,31.2,32.4,2.5,1.1
E02002883,21.8,41.8,31.7,4.2,0.6
E02002884,19.1,28.3,38.7,8.6,5.3
E02002885,14.5,28.2,41.8,12.1,3.5
E02002886,31.5,32,27.7,7.1,1.6
E02002887,23.8,41.8,28.2,4.8,1.5
E02002888,19.3,32.4,40.3,7.2,0.9
E02002889,18,28.6,48.9,3.9,0.7
E02002890,12.4,28,53.4,5.1,1
E02002891,33.4,34.5,24.9,5.3,1.8
E02002892,35.6,31.7,27.5,4.3,0.9
E02002893,17,30.4,43.3,7.3,2.1
E02002895,25.1,33.8,37.5,3.3,0.3
E02002896,16.7,35.4,37.4,8.2,2.2
E02002897,48.8,33.7,15.3,1.9,0.2
E02002898,27.3,30.7,37.3,4.1,0.7
E02002901,47.3,34.4,16.4,1.8,0.1
E02002902,37.6,30.3,28,3.6,0.5
E02002903,31,32.7,32.3,3.5,0.5
E02002904,39.9,31.1,24.9,3.4,0.7
E02003237,53.6,30.2,15,1.2,0.1
E02003238,40.2,33.3,24.3,1.9,0.3
E02003239,51,32.9,14.4,1.4,0.2
E02003240,48.7,35,14.9,1.3,0.1
