geography_code,in_full_time_education-001,in_full_time_education-002
E02002805,15.4,84.6
E02002809,18.8,81.2
E02002827,23.5,76.5
E02002828,19.4,80.6
E02002829,26.8,73.2
E02002830,26.9,73.1
E02002831,22.5,77.5
E02002832,21.5,78.5
E02002833,21.5,78.5
E02002834,22.8,77.2
E02002836,21.1,78.9
E02002837,29,71
E02002838,30.5,69.5
E02002839,23.7,76.3
E02002842,26.9,73.1
E02002843,26,74
E02002844,32.1,67.9
E02002845,25.6,74.4
E02002846,18.2,81.8
E02002847,27.7,72.3
E02002848,30.9,69.1
E02002849,37.7,62.3
E02002851,22.4,77.6
E02002852,31,69
E02002853,31.4,68.6
E02002854,25.9,74.1
E02002855,27.1,72.9
E02002856,32.9,67.1
E02002857,22.8,77.2
E02002858,20.5,79.5
E02002860,19.4,80.6
E02002861,29.9,70.1
E02002862,24.9,75.1
E02002863,13.9,86.1
E02002864,17.8,82.2
E02002865,19.6,80.4
E02002866,17.4,82.6
E02002867,21.7,78.3
E02002868,18.5,81.5
E02002869,22.1,77.9
E02002871,19.3,80.7
E02002872,22.3,77.7
E02002873,24.5,75.5
E02002874,21,79
E02002875,23.7,76.3
E02002876,22.7,77.3
E02002877,17.4,82.6
E02002878,34,66
E02002879,24.2,75.8
E02002880,30,70
E02002881,25.2,74.8
E02002882,24.2,75.8
E02002883,20.2,79.8
E02002884,26.5,73.5
E02002885,34.3,65.7
E02002886,27.1,72.9
E02002887,22.4,77.6
E02002888,24.4,75.6
E02002889,74.8,25.2
E02002890,54.8,45.2
E02002891,22.8,77.2
E02002892,23.2,76.8
E02002893,60.4,39.6
E02002895,58.3,41.7
E02002896,25.7,74.3
E02002897,21.7,78.3
E02002898,72.4,27.6
E02002901,18.6,81.4
E02002902,32.8,67.2
E02002903,19.5,80.5
E02002904,21.9,78.1
E02003237,16.7,83.3
E02003238,18.8,81.2
E02003239,16.1,83.9
E02003240,20.6,79.4
E02003241,18,82
E02003242,15.9,84.1
E02003243,24.8,75.2
E02003244,25.5,74.5
E02003245,26,74
E02003246,23.1,76.9
E02003247,22.5,77.5
E02003248,27.2,72.8
E02003249,23.4,76.6
E02003250,21,79
E02003251,19.1,80.9
E02003252,23.4,76.6
E02003253,18.8,81.2
E02003254,16.1,83.9
E02003255,20.4,79.6
E02003257,24.8,75.2
E02003747,17,83
E02003749,15.7,84.3
E02003753,18.5,81.5
E02003754,16.2,83.8
E02004029,16.2,83.8
E02004031,18.8,81.2
E02004032,14.2,85.8
E02004033,14.6,85.4
E02004036,17.1,82.9
E02004040,16.6,83.4
E02004041,16.4,83.6
E02004045,16.2,83.8
E02004046,15.7,84.3
E02004047,18.1,81.9
E02004048,17.8,82.2
E02004049,15,85
E02004050,19.2,80.8
E02004051,15.6,84.4
E02004052,16.4,83.6
E02004053,18.1,81.9
E02004054,15.2,84.8
E02004056,21.2,78.8
E02004057,17.9,82.1
E02004059,14.1,85.9
E02004060,19,81
E02004078,18.7,81.3
E02004080,15.3,84.7
E02004082,15,85
E02004083,17.9,82.1
E02004084,18.1,81.9
E02004085,17.9,82.1
E02004086,17.3,82.7
E02004087,17.8,82.2
E02004088,17.5,82.5
E02004089,15.3,84.7
E02004090,15.1,84.9
E02004091,15.2,84.8
E02004092,17.4,82.6
E02004105,15.6,84.4
E02004111,14.6,85.4
E02004113,17.8,82.2
E02004115,14.5,85.5
E02004117,16.1,83.9
E02004121,18.2,81.8
E02005334,19.3,80.7
E02005335,18.5,81.5
E02005336,20.4,79.6
E02005337,19.1,80.9
E02005338,18.3,81.7
E02005339,18,82
E02005340,16.8,83.2
E02005341,18.8,81.2
E02005342,17.7,82.3
E02005343,18.3,81.7
E02005344,17.3,82.7
E02005345,16.1,83.9
E02005346,24.6,75.4
E02005347,56.9,43.1
E02005348,16.9,83.1
E02005349,17,83
E02005350,15.4,84.6
E02005351,64.4,35.6
E02005352,19.2,80.8
E02005353,26.7,73.3
E02005354,21.9,78.1
E02005355,18.2,81.8
E02005356,17.5,82.5
E02005357,19.3,80.7
E02005358,18.6,81.4
E02005359,17.7,82.3
E02005360,18.3,81.7
E02005361,16.2,83.8
E02005362,18.5,81.5
E02005363,18.7,81.3
E02005364,17.9,82.1
E02005365,18.4,81.6
E02005366,17.5,82.5
E02005368,17.1,82.9
E02005369,19.8,80.2
E02005370,19,81
E02005371,17.7,82.3
E02005372,16.4,83.6
E02005377,17.7,82.3
E02005378,17.7,82.3
E02005379,16.7,83.3
E02005380,16.2,83.8
E02005381,18.3,81.7
E02005382,16.5,83.5
E02005383,16.9,83.1
E02005385,15.4,84.6
E02005386,15.3,84.7
E02005387,17.7,82.3
E02005388,16.8,83.2
E02005389,16.8,83.2
E02005390,16.9,83.1
E02005391,17.1,82.9
E02005392,17.2,82.8
E02005393,16.7,83.3
E02005394,18.8,81.2
E02005395,15.5,84.5
E02005396,15.4,84.6
E02005397,16.2,83.8
E02005398,25.3,74.7
E02005400,15.4,84.6
E02005403,13.4,86.6
E02005405,18.4,81.6
E02005406,18.1,81.9
E02005407,17.7,82.3
E02005409,17.9,82.1
E02005412,20.9,79.1
E02005414,19.7,80.3
E02005415,18.2,81.8
E02005416,15.7,84.3
E02005418,21,79
E02005419,17.6,82.4
E02005420,19.6,80.4
E02005422,16.1,83.9
E02005423,18.2,81.8
E02005430,13.4,86.6
E02005434,16,84
E02005439,15.2,84.8
E02005441,14.5,85.5
E02005442,22.2,77.8
E02005443,18,82
E02005444,25.5,74.5
E02005445,27,73
E02005446,62.1,37.9
E02005447,29.8,70.2
E02005448,21.4,78.6
E02005449,36.6,63.4
E02005450,15.2,84.8
E02005451,21.6,78.4
E02005452,18.3,81.7
E02005453,15.7,84.3
E02005455,17.8,82.2
E02005456,17.5,82.5
E02005457,17.2,82.8
E02005458,14.9,85.1
E02005459,17.1,82.9
E02005460,16.5,83.5
E02005461,13.4,86.6
E02005462,18.7,81.3
E02005463,20.3,79.7
E02005464,14.7,85.3
E02005465,15.5,84.5
E02005468,15.9,84.1
E02005469,16.6,83.4
E02005470,17.1,82.9
