geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02002805,2.6,32.7,64.6
E02002809,4.5,31,64.5
E02002827,7.6,28,64.4
E02002828,11.2,24.3,64.5
E02002829,9.6,30.3,60
E02002830,9.5,25.6,64.9
E02002831,14.3,20.2,65.6
E02002832,17.3,24.5,58.2
E02002833,20.1,16.5,63.4
E02002834,11.3,29,59.7
E02002836,22.6,20.3,57.2
E02002837,16.5,21.2,62.2
E02002838,8,28.8,63.2
E02002839,8.7,26.2,65.1
E02002842,12.9,31.5,55.6
E02002843,25.3,15.8,58.9
E02002844,15.3,22.5,62.2
E02002845,10.6,30.1,59.3
E02002846,7.3,27.2,65.5
E02002847,19.9,12.5,67.7
E02002848,17.1,22.3,60.5
E02002849,18.9,37,44.1
E02002851,13.1,21.7,65.2
E02002852,8.1,27.4,64.5
E02002853,17.2,22.9,59.9
E02002854,10.3,29.4,60.4
E02002855,16.6,26.7,56.7
E02002856,16.8,37.4,45.8
E02002857,8.8,34.5,56.7
E02002858,7.4,27.7,64.9
E02002860,5.9,30.5,63.7
E02002861,9,23.5,67.5
E02002862,6.5,33.3,60.2
E02002863,3.5,23.4,73.1
E02002864,4.7,27.1,68.2
E02002865,2.8,33.6,63.6
E02002866,3.7,27.1,69.2
E02002867,3,31,66
E02002868,6.3,26.2,67.5
E02002869,5.6,34.1,60.3
E02002871,5.3,32.8,61.8
E02002872,5.5,35.1,59.4
E02002873,7.1,30.2,62.6
E02002874,7.3,30,62.7
E02002875,6.2,33.9,59.9
E02002876,5.9,33.9,60.2
E02002877,8.3,40.2,51.4
E02002878,9.4,20.3,70.3
E02002879,9.5,31.9,58.6
E02002880,7.8,23.8,68.4
E02002881,6.3,30.8,62.9
E02002882,10.4,42.3,47.3
E02002883,5.5,36.9,57.6
E02002884,20.6,30.4,49
E02002885,20.3,30.8,48.9
E02002886,10.9,27.4,61.7
E02002887,6.4,35.6,58
E02002888,7.5,37.1,55.5
E02002889,34.5,38.5,27.1
E02002890,15.4,49.7,34.8
E02002891,7.9,29.2,62.8
E02002892,7.7,32.1,60.2
E02002893,24.1,35.1,40.8
E02002895,30.9,34.4,34.7
E02002896,13.9,37,49.2
E02002897,4.9,27.9,67.2
E02002898,48.2,24.6,27.2
E02002901,4.6,30.6,64.8
E02002902,6.8,30.9,62.3
E02002903,6.7,35.3,58.1
E02002904,7.4,29.1,63.5
E02003237,4.1,26,69.9
E02003238,4.8,28.4,66.7
E02003239,4.3,25.2,70.6
E02003240,4.6,24,71.4
E02003241,5.6,26.8,67.6
E02003242,5.3,31.4,63.3
E02003243,8.9,29.9,61.2
E02003244,10.2,29.2,60.6
E02003245,12,26.8,61.2
E02003246,17,24.7,58.3
E02003247,10,29.5,60.5
E02003248,20.6,21.7,57.7
E02003249,10.6,30.1,59.3
E02003250,15.1,34.7,50.2
E02003251,7.8,25.7,66.5
E02003252,11,28.1,60.8
E02003253,7.8,33.2,59
E02003254,4.5,27.4,68.2
E02003255,6.4,25.7,67.9
E02003257,9.5,32.4,58.1
E02003747,4.8,29.6,65.7
E02003749,4.7,24.4,70.9
E02003753,5.3,25.1,69.6
E02003754,4,25.5,70.6
E02004029,4,33.2,62.9
E02004031,4.3,34.6,61.1
E02004032,2.8,28.6,68.6
E02004033,3,33.8,63.2
E02004036,3.8,30.8,65.4
E02004040,3.7,27.3,69
E02004041,3.6,31.3,65.2
E02004045,3.3,28,68.7
E02004046,3.1,30.2,66.7
E02004047,4.1,33.4,62.5
E02004048,4.2,30.3,65.5
E02004049,2.4,31.9,65.7
E02004050,5.4,28.5,66.2
E02004051,6.1,30.1,63.8
E02004052,3.7,27.4,68.9
E02004053,3.9,31.8,64.3
E02004054,3.9,28.8,67.2
E02004056,4.2,30,65.8
E02004057,3.7,35.8,60.6
E02004059,2.9,31.7,65.4
E02004060,3.6,30.3,66.2
E02004078,4.7,33.9,61.4
E02004080,5,36.6,58.5
E02004082,3.1,25.5,71.4
E02004083,3.5,28.2,68.4
E02004084,3.1,31.7,65.1
E02004085,3.9,28.8,67.3
E02004086,3,29.2,67.8
E02004087,4.3,31.1,64.7
E02004088,3.2,26.1,70.7
E02004089,4.3,42.2,53.5
E02004090,3.7,33.9,62.4
E02004091,3.3,29.8,66.9
E02004092,3.7,30.6,65.7
E02004105,3.7,27.5,68.8
E02004111,3.4,31.4,65.2
E02004113,3.6,34.2,62.1
E02004115,3.1,32.2,64.7
E02004117,3.3,27.7,69
E02004121,3.7,24.1,72.2
E02005334,5.9,21.4,72.7
E02005335,4.4,26.1,69.5
E02005336,8.8,24.8,66.3
E02005337,8.8,27.3,63.8
E02005338,4.6,28.1,67.3
E02005339,3.5,27.6,68.9
E02005340,4.1,29.7,66.2
E02005341,3.4,23.7,72.9
E02005342,4,25,71
E02005343,2.6,24.9,72.5
E02005344,3.1,24.2,72.7
E02005345,4.6,27.8,67.6
E02005346,10.2,40.4,49.5
E02005347,33.4,27.4,39.2
E02005348,4.5,32.8,62.7
E02005349,3.6,27.8,68.6
E02005350,3.1,32.2,64.6
E02005351,15.8,24.8,59.4
E02005352,4.6,22.6,72.8
E02005353,7.7,27.6,64.7
E02005354,5.3,23.8,70.9
E02005355,3.9,29,67.1
E02005356,3,30.2,66.8
E02005357,4.3,27.1,68.6
E02005358,3.2,27.4,69.4
E02005359,5.2,21.2,73.6
E02005360,4,23.9,72.1
E02005361,4.6,33.7,61.7
E02005362,4.1,26,69.9
E02005363,6,24.3,69.6
E02005364,6,24.9,69.1
E02005365,6.5,29.5,64
E02005366,3.8,28.4,67.8
E02005368,4.7,24.6,70.6
E02005369,4.3,26.8,68.9
E02005370,3.5,22.2,74.3
E02005371,4.8,24,71.1
E02005372,5.6,21.4,73
E02005377,4,28,68
E02005378,3.5,24.3,72.2
E02005379,3.3,26.7,70.1
E02005380,3.9,25.2,70.9
E02005381,4.1,25.1,70.8
E02005382,4.2,29.6,66.2
E02005383,3.7,30.7,65.7
E02005385,4.4,24.2,71.5
E02005386,5.1,37.7,57.2
E02005387,4.3,27.5,68.2
E02005388,4.4,32.1,63.5
E02005389,4,32.5,63.5
E02005390,3.1,26.2,70.8
E02005391,3.1,25.7,71.2
E02005392,3.6,27.7,68.6
E02005393,3.9,27.3,68.8
E02005394,4.3,30.4,65.3
E02005395,4.3,32.2,63.5
E02005396,4,24.5,71.5
E02005397,4.2,29.4,66.4
E02005398,10.6,28.8,60.6
E02005400,3.2,28.4,68.4
E02005403,3.4,31.3,65.3
E02005405,4.6,27.5,67.9
E02005406,5.6,31.7,62.7
E02005407,4.1,24,71.9
E02005409,3.1,27.1,69.8
E02005412,6.4,31.5,62.1
E02005414,4.6,33.8,61.6
E02005415,4.7,32.8,62.5
E02005416,4.3,27.9,67.8
E02005418,12.2,29.1,58.7
E02005419,12.6,33.4,54.1
E02005420,8.5,30.6,60.9
E02005422,5.3,26.4,68.3
E02005423,5.6,27.1,67.3
E02005430,4.3,26,69.6
E02005434,3.1,34,63
E02005439,3.7,28.7,67.6
E02005441,5.3,25.8,68.9
E02005442,5.3,35.9,58.8
E02005443,4.7,34,61.3
E02005444,10.9,34.4,54.8
E02005445,11.4,33.3,55.3
E02005446,25.3,39.5,35.2
E02005447,21.4,37.2,41.4
E02005448,5.3,30.6,64.1
E02005449,8.1,31.1,60.8
E02005450,3.6,29.8,66.7
E02005451,6.7,36.3,57
E02005452,4.7,26.7,68.6
E02005453,3,25.7,71.3
E02005455,3.7,23.8,72.5
E02005456,3.5,28.6,67.9
E02005457,3,27,70
E02005458,3.2,26.2,70.6
E02005459,4.4,27.4,68.2
E02005460,2.9,24.3,72.8
E02005461,3.1,29,67.9
E02005462,3.9,36.4,59.7
E02005463,3.9,24.8,71.3
E02005464,3.8,27.2,69
E02005465,5.5,25.3,69.2
E02005468,4.9,24,71.1
E02005469,5.8,23.5,70.7
E02005470,10,28.6,61.4
E02005471,9.5,29.9,60.6
E02005473,8.4,25.7,65.9
E02005475,4,24.4,71.5
E02005476,3.5,24.4,72.2
E02005477,3.2,27.1,69.7
E02005478,4.3,31.8,64
E02005479,3.2,30.6,66.2
E02005480,5.6,24.5,69.9
E02005481,5.9,35.3,58.8
E02005482,4.1,23.9,72
E02005483,4.5,25.5,70.1
E02005484,3.5,27.4,69.1
E02005485,4.4,26.2,69.5
E02005486,3.9,31,65.1
E02005487,3.7,23.1,73.2
E02005488,3.9,28.9,67.2
E02005489,3.2,26.6,70.2
E02005490,4.3,32.4,63.3
E02005491,2.5,36,61.5
E02005498,3.8,27.4,68.8
E02005499,3.2,26.2,70.6
E02005500,2.8,28.8,68.4
E02005501,2.8,26.3,70.9
E02005502,3.8,27.5,68.8
E02005612,6.9,24.2,68.9
E02005613,8.4,27.5,64.2
E02005614,6.9,22.6,70.5
E02005615,7.5,27.8,64.6
