geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02002805,17.8,43.7,28.8,9.7
E02002809,21.3,43.8,27.1,7.8
E02002827,24.8,43.1,24.5,7.6
E02002828,14.6,45.9,29.8,9.7
E02002829,35.2,43.2,17,4.6
E02002830,29.4,42.2,22.5,5.9
E02002831,21.2,43.7,24.1,11
E02002832,41.1,38.9,15.6,4.4
E02002833,36.5,39.5,18.7,5.4
E02002834,28.1,44.4,20.9,6.6
E02002836,44.1,37.1,14.3,4.5
E02002837,34.1,41.2,19.2,5.5
E02002838,39.1,40.4,15.8,4.7
E02002839,21.7,40.5,27.3,10.5
E02002842,44,43.6,10.5,1.9
E02002843,43.2,38.9,13.8,4.1
E02002844,44.4,40.6,12.1,2.9
E02002845,33.5,42.7,18.4,5.4
E02002846,19.1,44.9,27.8,8.1
E02002847,25.4,39.2,25.9,9.6
E02002848,42,40.3,13.7,4
E02002849,47.2,39.5,10.6,2.7
E02002851,14.5,37.5,32.1,15.9
E02002852,36.4,43,16.5,4.1
E02002853,27.6,38.9,22.5,11
E02002854,34.2,41.7,18.9,5.2
E02002855,30.4,44.4,19.2,6
E02002856,31.7,45.1,17.7,5.6
E02002857,33.5,46.6,16.8,3.1
E02002858,13.3,43.6,32.8,10.4
E02002860,22.7,43.6,25.8,7.8
E02002861,33.9,40,20.7,5.4
E02002862,34.9,42.8,17.9,4.4
E02002863,6.6,38.1,39.8,15.4
E02002864,11,41.4,35.8,11.8
E02002865,16.4,43.4,30.5,9.7
E02002866,6.3,36.4,40.6,16.7
E02002867,10.3,39.1,35.5,15.1
E02002868,19.6,47.9,25.7,6.8
E02002869,43.7,41,12.8,2.5
E02002871,33.2,46.3,16.8,3.7
E02002872,40.1,40.7,15.2,4
E02002873,36.9,42.9,17.2,3.1
E02002874,29.9,44.1,21,5
E02002875,36.7,45.2,14.7,3.3
E02002876,30.7,44.9,19.2,5.1
E02002877,32.5,47.1,17,3.5
E02002878,36.8,42.6,16.5,4.1
E02002879,31.9,46.9,17,4.2
E02002880,36.1,44.1,15.6,4.2
E02002881,35.2,40.5,19.7,4.6
E02002882,35.8,41.6,17.4,5.1
E02002883,34.1,46.9,15.9,3.1
E02002884,43.5,39.6,12.9,4
E02002885,54.1,34.9,8.6,2.4
E02002886,28.5,42.2,22.9,6.4
E02002887,35.3,41.9,17.8,5
E02002888,47.1,40.8,10.8,1.4
E02002889,53,33.1,8.1,5.7
E02002890,61.9,30,6.4,1.6
E02002891,27,45.7,20.5,6.7
E02002892,30.7,42.2,21.3,5.9
E02002893,52.4,35.1,9.4,3.1
E02002895,36.6,38.5,17.4,7.5
E02002896,48.4,38,11.1,2.5
E02002897,17.1,43.4,31.8,7.7
E02002898,41.8,35.8,13.6,8.8
E02002901,21.4,44.3,27.9,6.4
E02002902,35.1,41.4,18.4,5.2
