geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02002805,98.5,0.7,0.2,0.6
E02002809,96.9,1.5,0.3,1.4
E02002827,80.3,7,3.4,9.3
E02002828,58.6,15.9,4.1,21.3
E02002829,74.3,7.8,5.8,12.1
E02002830,71.8,9.5,4.1,14.6
E02002831,44.9,19.8,6.3,29
E02002832,35.2,18.6,5.8,40.5
E02002833,35,22.6,6.3,36.1
E02002834,66.9,9.1,3.8,20.1
E02002836,26.8,22.1,6.8,44.3
E02002837,51.4,15.9,7.8,24.9
E02002838,78.3,7,4.9,9.8
E02002839,76.3,10.9,3.1,9.7
E02002842,61.7,6.5,6.2,25.6
E02002843,29,21.9,8.7,40.4
E02002844,31.6,26.2,9.5,32.6
E02002845,56.1,15.7,6.7,21.5
E02002846,82.6,5.4,2.1,9.8
E02002847,35.9,30.3,6.6,27.1
E02002848,38.6,24,7.8,29.6
E02002849,62,8.2,3,26.8
E02002851,65.8,18.5,2.3,13.3
E02002852,83.3,5,3.9,7.8
E02002853,52,22.1,5.1,20.8
E02002854,78.8,6,3.9,11.4
E02002855,61.8,9.3,4.5,24.4
E02002856,83.5,6.2,1.5,8.8
E02002857,84.2,3.9,1.7,10.1
E02002858,88.1,5.7,1.2,5
E02002860,90.2,3.6,1.6,4.7
E02002861,84.2,5.9,3.7,6.3
E02002862,88.1,3.1,2.3,6.5
E02002863,97.9,1.1,0.4,0.6
E02002864,97.2,1.5,0.5,0.8
E02002865,97.2,1.3,0.5,1.1
E02002866,98.3,1.2,0,0.5
E02002867,98.1,1.1,0.3,0.5
E02002868,91.4,3.3,1.3,4
E02002869,92.3,2.5,1.5,3.7
E02002871,93.6,2.2,1.3,3
E02002872,92.2,2.5,1.4,4
E02002873,85.6,3.9,2.8,7.7
E02002874,86.9,4.8,1.9,6.4
E02002875,88,3.6,2.2,6.2
E02002876,88.8,4.1,1.6,5.6
E02002877,90.5,4.3,0.9,4.2
E02002878,81.9,5,5,8
E02002879,81,6.7,2.6,9.7
E02002880,82.4,4.8,4.7,8.1
E02002881,88.6,3.6,2.4,5.4
E02002882,84.1,5.6,1.3,9
E02002883,82.7,5.4,3.1,8.8
E02002884,60.3,15.5,4.4,19.8
E02002885,55.6,14.5,5.8,24.1
E02002886,72.1,12.9,4.4,10.5
E02002887,88,5.7,2.1,4.2
