geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02002805,52.6,2,45.4
E02002809,56.1,2.4,41.5
E02002827,60.1,4.5,35.4
E02002828,56.5,3.4,40.1
E02002829,53.8,5,41.2
E02002830,57.1,4.9,38
E02002831,52.1,4,44
E02002832,50.3,3.9,45.8
E02002833,53.6,4.2,42.1
E02002834,60.5,4.1,35.4
E02002836,53.4,3.7,42.9
E02002837,53.4,5.3,41.3
E02002838,50.4,5.4,44.2
E02002839,57.4,4,38.6
E02002842,63.1,6.1,30.8
E02002843,53.9,3.8,42.3
E02002844,45,5.1,49.9
E02002845,50.7,5.1,44.2
E02002846,62.1,3.1,34.8
E02002847,53.6,4.5,41.9
E02002848,45.9,5.6,48.5
E02002849,51.9,7.4,40.8
E02002851,53.5,3.3,43.3
E02002852,50.4,5.4,44.2
E02002853,50.9,4.8,44.4
E02002854,55.1,5,39.8
E02002855,59.9,6,34.1
E02002856,51.5,5.1,43.4
E02002857,62.3,4.5,33.2
E02002858,59.4,2.4,38.3
E02002860,57.7,3.2,39.1
E02002861,48.4,5.9,45.7
E02002862,53.1,4.7,42.2
E02002863,54.4,1.7,43.9
E02002864,59.7,1.8,38.5
E02002865,50.9,2.1,47.1
E02002866,56.2,1.7,42.1
E02002867,52.8,2.2,45.1
E02002868,52.4,3,44.6
E02002869,51.4,5.9,42.6
E02002871,55.8,3.4,40.8
E02002872,52.1,5.2,42.7
E02002873,57.6,5.6,36.8
E02002874,53.7,3.8,42.5
E02002875,57.9,4.9,37.1
E02002876,55.1,4.4,40.5
E02002877,61.8,3.4,34.9
E02002878,54.7,5.7,39.6
E02002879,61.2,5,33.9
E02002880,55,7.5,37.5
E02002881,55.1,4,40.9
E02002882,58.5,4.8,36.7
E02002883,58.2,4.7,37.1
E02002884,52.6,6.3,41.1
E02002885,47.5,7.2,45.3
E02002886,54.1,4.2,41.6
E02002887,45.7,4.1,50.2
E02002888,51.7,6.3,42
E02002889,24.1,8.3,67.6
E02002890,35.2,8.3,56.5
E02002891,55.5,3.6,40.9
E02002892,51.4,3.6,45
E02002893,31.1,7.7,61.2
E02002895,37.1,5.7,57.2
E02002896,56.9,5.7,37.4
E02002897,53.1,3.1,43.8
E02002898,27.5,6.1,66.4
E02002901,59.4,2.7,38
E02002902,47.4,5.2,47.4
E02002903,51.9,3.8,44.3
E02002904,57.5,4,38.5
E02003237,55,2,43
E02003238,63.1,2.8,34.1
E02003239,59.6,2.5,38
E02003240,65.4,2.2,32.4
E02003241,60.8,2.9,36.3
E02003242,55,2.9,42.1
E02003243,58.9,4.9,36.2
E02003244,54.8,3.8,41.4
E02003245,58,5,37
E02003246,52.7,4.9,42.4
E02003247,57.4,4.3,38.2
E02003248,55.2,4.1,40.7
E02003249,59.1,4.2,36.7
E02003250,60.4,4.9,34.7
E02003251,52.1,2.4,45.4
E02003252,65,4.3,30.8
E02003253,65.5,3.8,30.7
E02003254,58.2,1.9,39.9
E02003255,64.5,3,32.6
E02003257,57.6,4.6,37.8
E02003747,56.6,2.7,40.7
E02003749,59.2,2.2,38.6
E02003753,62.2,2.6,35.2
E02003754,59.6,2,38.4
E02004029,57.3,2.7,40
E02004031,53.3,3.8,42.9
E02004032,56.6,2.3,41.1
E02004033,59.1,2.3,38.7
E02004036,55.8,2.9,41.3
E02004040,62,2.2,35.8
E02004041,59.6,2.6,37.8
E02004045,58.9,1.8,39.2
E02004046,55.2,2,42.8
E02004047,53.4,3.1,43.5
E02004048,55.4,2.9,41.8
E02004049,54.1,1.7,44.2
E02004050,57.9,2.3,39.8
E02004051,57.6,2.2,40.3
E02004052,59.8,2.3,37.9
E02004053,58.8,3,38.2
E02004054,60.9,2.5,36.6
E02004056,54.6,3.6,41.8
E02004057,61.8,2.6,35.6
E02004059,55.4,1.7,42.9
E02004060,53.2,2.3,44.5
E02004078,50.5,3.8,45.7
E02004080,60.2,3.8,36.1
E02004082,55.1,1.5,43.4
E02004083,63.3,3,33.7
E02004084,55.2,2.9,41.9
E02004085,57.8,2.3,39.9
E02004086,56,2.4,41.6
E02004087,61,3.2,35.8
E02004088,59.3,2.1,38.6
E02004089,63,3.6,33.4
E02004090,55.4,2.2,42.4
E02004091,63,2.2,34.7
E02004092,58.6,2.5,38.9
E02004105,58,2.6,39.4
E02004111,53.5,1.9,44.6
E02004113,54.5,3,42.6
E02004115,57.1,2.2,40.7
E02004117,54.4,2.1,43.5
E02004121,63.7,1.9,34.3
E02005334,65.3,2.2,32.4
E02005335,57.5,1.8,40.8
E02005336,67.2,3.4,29.4
E02005337,60,3.4,36.6
E02005338,63.5,2.6,33.9
E02005339,63.6,1.9,34.5
E02005340,58.5,2.9,38.5
E02005341,66.7,2.4,30.9
E02005342,59.7,2.1,38.2
E02005343,59.8,1.9,38.3
E02005344,61.6,2.1,36.3
E02005345,58.9,2.2,38.9
E02005346,55.8,4.7,39.5
E02005347,33.5,4.9,61.6
E02005348,52.8,2.6,44.6
E02005349,60.5,2,37.5
E02005350,58.5,2.4,39.1
E02005351,27.7,5.1,67.2
E02005352,59.7,1.3,39
E02005353,56.4,4.1,39.5
E02005354,56.2,2.5,41.2
E02005355,60.7,2,37.2
E02005356,58.3,2,39.8
E02005357,64.5,2.4,33.1
E02005358,64.5,2.2,33.3
E02005359,61.4,2.1,36.5
E02005360,55.3,1.4,43.3
E02005361,60.9,2.6,36.5
E02005362,60.1,2.3,37.6
E02005363,59.4,2.4,38.3
E02005364,63.2,2.5,34.3
E02005365,56.5,2.6,40.9
E02005366,61.8,1.9,36.3
E02005368,60.3,1.7,38
E02005369,59.7,2.1,38.2
E02005370,66.5,1.7,31.8
E02005371,61.8,2,36.2
E02005372,61.5,1.6,36.9
E02005377,57.8,2,40.2
E02005378,61.3,1.9,36.9
E02005379,58.2,2.1,39.7
E02005380,57,1.4,41.6
E02005381,56.6,1.9,41.4
E02005382,58.6,2.7,38.7
E02005383,59.2,2.5,38.3
E02005385,58,1.9,40.2
E02005386,62.1,3.4,34.5
E02005387,64.7,2.3,33
E02005388,61.5,2.8,35.6
E02005389,53.7,2.3,44
E02005390,62,1.5,36.5
E02005391,57.6,1.8,40.6
E02005392,60.9,1.8,37.3
E02005393,60.9,1.8,37.3
E02005394,60.1,2.6,37.2
E02005395,58,2.8,39.2
E02005396,58.3,1.8,40
E02005397,61.2,2.2,36.6
E02005398,53.2,2.3,44.5
E02005400,54.5,1.8,43.7
E02005403,58,2.2,39.8
E02005405,51.7,3.1,45.3
E02005406,64.8,3.1,32.1
E02005407,68.4,2.3,29.3
E02005409,62.9,2.2,35
E02005412,51.7,2.6,45.8
E02005414,54.9,3.3,41.7
E02005415,58.5,3.5,38
E02005416,55.8,2.6,41.6
E02005418,62.2,3.7,34.1
E02005419,66.3,3.5,30.3
E02005420,59.4,3.3,37.3
E02005422,54.1,2.5,43.5
E02005423,55.9,2.6,41.5
E02005430,49.1,2.3,48.6
E02005434,51.9,2.2,45.9
E02005439,52.9,1.9,45.1
E02005441,49.8,2.2,48
E02005442,53.5,4.3,42.3
E02005443,58.1,3.6,38.3
E02005444,54.9,3.9,41.3
E02005445,56.5,5.6,37.9
E02005446,35.4,7.3,57.3
E02005447,59,5.5,35.5
E02005448,57.3,3.5,39.3
E02005449,49.9,5.4,44.7
