areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00036438,18.4,27.7,6.1,45.2,2.6
E00036439,18,27.6,5.9,44.5,3.9
E00036440,10.4,35.3,2.5,48.8,3
E00036441,12.4,29.8,4.6,51.8,1.4
E00036442,15.9,51.5,3.8,28.8,0
E00036443,5.2,21.1,1.1,70.7,1.9
E00036444,6.1,30.2,3.8,58,1.9
E00036446,15.8,42.3,4.3,34,3.6
E00036447,15.3,35.5,5.9,42.9,0.5
E00036448,9.6,39.5,5.5,44.7,0.7
E00036449,14.3,37.6,7.8,38,2.3
E00036451,23.8,43.2,8.4,21.1,3.5
E00036452,11.6,28,4.5,53.7,2.2
E00036453,11.7,29.3,3.6,55.4,0
E00036454,12.3,34.8,2.2,46.2,4.4
E00036455,10.3,48.6,4.6,33.7,2.9
E00036456,14.9,42.8,3.3,36.7,2.3
E00036457,19.2,25.3,3,49.5,3
E00036458,21.3,37.5,6.9,32.5,1.9
E00036459,20.1,29.6,5.1,40.5,4.7
E00036460,9.3,33.1,7.4,49.8,0.4
E00036461,4.4,37.6,3.5,54.1,0.4
E00036462,18.8,27.4,5.3,45.2,3.4
E00036463,11.9,25.7,3.5,55.8,3.1
E00036464,6.2,23.5,2.7,65.5,2.2
E00036465,11.2,34.9,3.7,47.3,2.9
E00036466,8.9,25.7,6.1,57.9,1.4
E00036467,10,33.8,3.3,48.2,4.7
E00036474,11.8,30.3,4.2,47.7,5.9
E00036475,8,26.2,3.1,60.5,2.1
E00036477,8.8,34.1,4.8,51.8,0.4
E00036479,9.5,33,4.8,52.7,0
E00036481,13.4,36.4,5.5,42.7,2
E00036482,10.8,33.8,3.3,49.3,2.8
E00036484,12.5,37.7,5.4,43.2,1.2
E00036486,8.6,31.5,3.9,53,3
E00036487,17.8,35.1,5.8,37.7,3.6
E00036488,16.8,37.9,5.6,36.6,3
E00036489,23.7,42.9,4.5,28.8,0
E00036490,10,40.9,5.5,40.5,3.2
E00036785,20.5,46.4,5.9,27.3,0
E00036786,19.7,44.5,8,24.8,2.9
E00036791,21.3,30.9,4.3,40,3.5
E00036796,9.4,35.2,5.5,50,0
E00036806,4,34.1,2.6,56,3.3
E00036826,19.7,44.3,6.9,29.1,0
E00036828,22.1,42.9,7.4,26.4,1.3
E00036886,4.8,32.8,3.3,57.2,1.8
E00036894,4.2,34.2,2.8,57.7,1.1
E00036899,10.5,28.7,5.5,52.7,2.5
E00036931,7.4,26.4,2.5,62.6,1.2
E00036932,19,33.2,6.2,38.9,2.7
E00036933,10.6,40.2,5.5,42.2,1.5
E00036934,13.8,37.5,2.7,44.6,1.3
E00036935,7.7,33.6,7.3,49.1,2.3
E00036936,12.1,30.7,3.3,53.5,0.5
E00036937,11,31.5,6.3,49.6,1.6
W00001134,23.8,43.5,6.1,25.2,1.4
W00001135,24.3,41.1,4.9,27,2.7
W00001136,21.6,55.1,6.2,17.2,0
W00001138,28.6,45.8,7.9,15.9,1.8
W00001141,21.5,45.9,4.1,22.7,5.8
W00001142,23.3,43.2,4.9,28.6,0
W00001143,16.3,33.3,7.8,39,3.5
W00001145,19.4,39.8,7.3,31.9,1.6
W00001146,30.2,39.3,5.2,22.2,3.2
W00001147,15.5,35.5,7.5,37.4,4.2
W00001148,22.5,36,5.8,34.5,1.2
W00001149,17.9,42.5,6.6,29.7,3.3
W00001150,10.1,38.1,4.9,44.9,2
W00001151,12.7,34.3,9.3,39.8,3.8
W00001152,20.1,42.8,7.2,26.5,3.4
W00001153,22.5,47.3,6.5,18.9,4.7
W00001154,11,50.6,5.9,28.2,4.3
W00001162,31.9,33.8,10.6,19,4.6
W00001164,31.4,43.3,7.2,17.5,0.5
W00001166,19.5,53.1,4.9,21.2,1.3
W00001167,28.4,42.7,8.4,17.3,3.1
W00001169,18.4,41.5,6.8,29.5,3.8
W00001170,24.8,47.1,7.1,19,1.9
W00001171,29.7,34.9,10.4,23.1,1.9
W00001173,17.8,47.4,6,26.3,2.5
W00001174,27.8,34.3,6.5,27.4,3.9
W00001175,25,39.2,9.4,24.5,1.9
W00001176,27.1,45.1,4.9,22.9,0
W00001177,14.5,44.6,6.6,31,3.3
W00001178,25.9,43.1,6.5,20.8,3.7
W00001179,31.1,41.1,5.3,19.5,3.2
W00001180,23.6,43.3,8.7,21.6,2.9
W00001181,18.3,55,8.7,16.2,1.7
W00001536,30,40.9,7.7,19.1,2.3
W00001537,23.5,41.6,10.1,21.5,3.4
W00001541,35.1,29.8,9.6,21.9,3.5
W00001592,36.1,42.8,4.8,13.9,2.4
W00001593,20.3,48.6,3.4,24.9,2.8
W00001594,26.8,36.3,10,23.7,3.2
W00001595,18.1,41.5,7.9,30.9,1.5
W00001596,14,36.2,11.5,35.3,3
W00001597,21.4,44.3,7.5,22.4,4.5
W00010012,23.4,41.6,8.1,24.9,2
W00010013,14.4,48.6,5.9,30.2,0.9
W00010015,15.3,50.5,7.1,24,3.1
W00010016,15.9,44.3,5.5,31.3,3
