geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00051385,7.6,34.1,38.4,20
E00051397,5.2,26.7,37.1,31
E00051399,3.2,25,37.1,34.7
E00051402,5.8,29.1,47.7,17.4
E00051462,5.9,31.4,37.3,25.5
E00051468,9.8,39.1,38.3,12.8
E00051475,23.1,46.2,26.9,3.8
E00051478,3,22,43.2,31.8
E00051481,7.5,27.1,43.6,21.8
E00051482,6.7,31.9,40,21.5
E00051483,11.9,39.9,32.2,16.1
E00051486,5.2,29.6,40.9,24.3
E00159026,5.3,31.9,46.9,15.9
E00159027,8.9,29.6,42.2,19.3
E00159028,5,17.5,50.8,26.7
E00159029,4.3,19.5,38.4,37.8
E00159031,2,24.5,34.7,38.8
E00159354,4.4,28.3,53.5,13.8
E00159355,8,43.8,35,13.1
E00159356,10.3,31.8,44.9,13.1
E00159357,11.4,36.2,45.7,6.7
E00159361,8.3,37.2,43,11.6
E00159363,12,40.8,35.2,12
E00159364,5.3,27.3,50.2,17.2
E00159365,6.6,36.4,45.5,11.6
E00159366,5.2,40.5,43.1,11.2
E00159367,14.3,55.6,25.4,4.8
E00159370,11.7,40.8,35,12.6
E00159371,20.2,39.9,29.4,10.4
E00159424,8.3,36.8,37.6,17.3
E00159425,5.8,39.4,40.1,14.6
E00159426,1.6,21.4,48.4,28.6
E00159428,6.3,30.2,31.7,31.7
E00159430,7.2,41,42.4,9.4
E00159431,8.3,34.8,43.2,13.6
E00159432,12.2,30.4,35.7,21.7
E00159434,1.7,29.6,55.7,13
E00159435,5,43.8,41.6,9.6
E00159498,5.7,31.1,46.2,17
E00159499,0.7,27.7,51.1,20.4
E00159500,3.9,23.7,41.4,30.9
E00159502,4.9,21.7,37.8,35.7
E00159503,5.4,33.9,42.9,17.9
E00159504,10,40.8,39.2,10
E00159505,2.6,18.7,37.4,41.3
E00159506,8.9,40.7,31.9,18.5
E00159507,6.7,27.4,35.8,30.2
E00159508,1,31.1,35,33
E00159509,7.4,36.9,41.8,13.9
E00159513,4.5,26.4,47.3,21.8
E00159514,2.3,23.4,44.5,29.7
E00159515,4.3,31,49.1,15.5
E00159516,1.7,31,43.1,24.1
E00159620,15.4,41.3,26,17.3
E00159628,11.6,34.8,42,11.6
E00159631,10.1,27.7,48.7,13.4
E00159635,8.6,40.5,31.9,19
E00159636,10.6,40.7,37.4,11.4
E00159638,3,26.7,44.4,25.9
E00159650,3,36.3,43,17.8
E00159652,10.9,43.7,33.6,11.8
E00159653,23,47.6,24.6,4.8
E00159654,11.7,45.9,34.2,8.1
E00159655,22.2,53.4,20.5,4
E00159656,2.9,39,39,19
E00159657,12.8,46.8,29.4,11
E00159659,10.7,38,34.7,16.5
E00159661,15.3,44.9,31.4,8.5
E00159663,20.7,45.9,22.2,11.1
E00159664,37.5,44.4,18.1,0
E00159666,13.9,46.8,34.8,4.5
E00159685,24.5,51.8,20.9,2.9
E00159690,7.9,62.4,25.7,4
E00159691,7.1,45.7,38.6,8.7
E00159692,10.9,35.2,43.6,10.3
E00159705,6.2,37.6,47.6,8.6
E00159707,21,42,25.9,11.2
E00159708,21.7,59.4,17.5,1.4
E00159709,34.6,44.7,17,3.8
E00159710,21,49.7,24.5,4.9
E00159711,21.4,64.9,11.5,2.3
E00159712,38.6,39.6,19.8,2
E00159715,24.9,55,16.9,3.2
E00159716,36.2,44.7,17.1,2
E00159717,27.9,55.7,13.6,2.9
E00159719,33.6,46.7,17.2,2.5
E00159720,17.9,46.4,30.5,5.3
E00159721,17.4,60,21.6,1.1
E00159722,10.6,48.7,28.3,12.4
E00159723,24.1,43.5,21.3,11.1
E00159724,9.3,39,33.1,18.6
E00159725,24.5,41.5,26.4,7.5
E00159726,17.4,42.6,28.7,11.3
E00159728,23.1,53.7,16.4,6.7
E00159731,29.4,47.1,20.2,3.4
E00159732,20.8,43.3,26.7,9.2
E00159733,29,48.1,17.6,5.3
E00159734,16.7,49.1,26.9,7.4
E00172315,1.9,43.4,40.6,14.2
E00172316,7.6,47.8,41.3,3.3
E00172317,7.5,50.5,33.3,8.6
E00172318,9.9,61.8,24.4,3.8
E00172322,3.6,44.5,40,11.8
E00172323,8,44.6,39.3,8
E00172326,9.9,70.4,17.6,2.1
E00172327,16.3,46.4,30.1,7.2
E00172328,0,32.8,50.9,16.4
E00172329,1.8,42.2,44,11.9
E00172330,5.3,44.7,36,14
E00172332,4.6,31.5,41.7,22.2
E00172333,3.6,18,55,23.4
E00172334,2.8,32.4,55.6,9.3
E00186845,14.7,41.3,29.9,14.1
E00186864,22.2,45.2,20.6,11.9
E00186946,10.9,19.6,45.7,23.9
E00186977,0,29,58,13
