geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00051385,87.9,8.1,2,2
E00051397,89.5,6,1,3.5
E00051399,90.3,5,1,3.7
E00051402,89.1,3.4,2.1,5.5
E00051462,87.6,9.1,1.7,1.7
E00051468,93.1,5.4,0.4,1.1
E00051475,88.9,6.3,2,2.8
E00051478,92.2,5.8,0.6,1.5
E00051481,91.6,5.3,0.6,2.5
E00051482,87.8,8.7,1.6,1.9
E00051483,91,6.1,1.6,1.3
E00051486,94.9,3.6,1.4,0
E00159026,91.4,5.3,1.6,1.6
E00159027,93.6,3.8,0.3,2.2
E00159028,91.2,4.7,1.4,2.7
E00159029,91.5,5.8,2,0.8
E00159031,92.5,5,1.7,0.8
E00159354,88.4,8.2,2.6,0.8
E00159355,91.6,4.7,1.8,1.8
E00159356,90.5,7.8,0.8,0.8
E00159357,91.9,6.3,0,1.8
E00159361,92.7,5.5,0.4,1.5
E00159363,92.5,5.6,1.2,0.8
E00159364,93.4,3.2,1.9,1.5
E00159365,93.1,4.2,1.7,1
E00159366,90.8,6.4,1.4,1.4
E00159367,93,3.3,0.5,3.3
E00159370,90.6,7.5,0,1.9
E00159371,93,4.7,1,1.3
E00159424,87.6,6.5,0.7,5.1
E00159425,90.2,6.7,0.3,2.8
E00159426,95.4,3.6,0.3,0.6
E00159428,89.8,7.5,1.4,1.4
E00159430,89.2,5.6,2,3.3
E00159431,91.6,5.4,0,3
E00159432,90.8,7,0.7,1.5
E00159434,90.1,7.7,1.1,1.1
E00159435,91.3,6,1.8,0.9
E00159498,91.6,4,1.3,3.1
E00159499,93.5,3.7,1.2,1.6
E00159500,93.6,5.2,0.3,0.8
E00159502,91.3,4.8,1.8,2.1
E00159503,94.3,3.4,1.9,0.4
E00159504,89.8,8.9,0.9,0.4
E00159505,92.4,5.7,1.1,0.8
E00159506,90.6,4.9,2.6,1.9
E00159507,89.9,6.5,1.8,1.8
E00159508,85.9,9.5,2.5,2.1
E00159509,91.8,6.1,1.6,0.4
E00159513,92.8,4.8,0.8,1.6
E00159514,91.7,4.6,2.1,1.5
E00159515,86.8,9.9,2.2,1.1
E00159516,84.1,9,4.1,2.8
E00159620,95.4,2.1,0.8,1.7
E00159628,90.3,7,0.3,2.3
E00159631,91.3,7.7,0,1
E00159635,89.3,4.8,1,4.8
E00159636,89.2,4.6,3.3,3
E00159638,93.3,5.8,0.3,0.6
E00159650,90.9,6.2,0.6,2.3
E00159652,91.5,3.6,1.2,3.6
E00159653,94.4,2.1,0.9,2.6
E00159654,90.9,6.5,0.9,1.7
E00159655,91.1,4.7,2.2,1.9
E00159656,92.6,5.2,0.9,1.3
E00159657,88.3,6.3,2.3,3.2
E00159659,91.5,6.3,0.7,1.5
E00159661,89.2,6.2,2.9,1.7
E00159663,90.4,5.5,3,1.1
E00159664,91.2,1.6,2.4,4.8
E00159666,93.9,2.3,2,1.8
E00159685,93.2,2.7,1.7,2.4
E00159690,87.6,8.9,0.6,3
E00159691,91.7,4.9,1.5,1.9
E00159692,90.8,6.7,0.8,1.7
E00159705,92.4,3.5,1.5,2.6
E00159707,91.3,3.2,0.7,4.7
E00159708,93.7,3.6,1,1.7
E00159709,95.9,1.7,1,1.4
E00159710,91.2,5.2,1.6,2
E00159711,92.4,4.3,1.9,1.4
E00159712,94,3.6,0,2.4
E00159715,95.5,2.6,1,1
E00159716,92.9,4.3,0.3,2.5
E00159717,93.1,4.3,0.4,2.2
E00159719,92.2,3.3,2.9,1.6
E00159720,93,4.1,1.5,1.5
E00159721,93.7,4.4,0.3,1.6
E00159722,88.7,8.3,0.8,2.3
E00159723,90.7,4.9,2.2,2.2
E00159724,90.2,2.8,4.3,2.8
E00159725,88.9,3.2,4,4
E00159726,88.9,4.2,3.5,3.5
E00159728,92.2,1.6,3.1,3.1
E00159731,89.7,2.7,4.8,2.7
E00159732,85.9,3.6,5.9,4.6
E00159733,90.8,3.4,2.7,3.1
E00159734,89.3,5.9,2,2.9
E00172315,93.1,4.7,1.3,0.9
E00172316,92.7,5.2,1.6,0.5
E00172317,94,4.4,0,1.6
E00172318,93.1,3.4,1.3,2.1
E00172322,95.6,3.2,0.8,0.4
E00172323,91.6,5.5,1.5,1.5
E00172326,93.6,5,1.4,0
E00172327,89.4,8.1,1.9,0.6
E00172328,92.1,7.9,0,0
E00172329,95.2,3.6,0.4,0.8
E00172330,94.1,3.8,1.3,0.8
E00172332,94.1,2.4,1,2.4
E00172333,90,8.6,0.7,0.7
E00172334,91.1,5.7,2.1,1.1
E00186845,92.4,5.7,0.8,1.1
E00186864,92.6,3.5,1.9,1.9
E00186946,90.5,5.6,0.8,3.2
E00186977,95.3,2.7,1.1,0.9
