areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00085001,61.5,20.5,7.1,5.9,5
E00085002,64,11.4,7.7,12.3,4.6
E00085003,66.9,13.9,7.8,6.4,5.1
E00085005,76.8,6.7,7.1,4.5,4.9
E00085006,63.2,13.4,7.7,10,5.7
E00085007,73.6,12.4,5.7,4.3,4
E00085008,71.6,6.8,8.3,6.8,6.4
E00085009,70,15,7.1,6.4,1.4
E00085010,70.3,14.1,5.2,5.6,4.8
E00085011,70.6,13.9,5.6,7.8,2.2
E00085012,68.6,13.3,5.2,6.7,6.2
E00085013,73,13.5,8.3,3,2.2
E00085014,68.3,13.8,6.7,8.6,2.6
E00085015,65.3,13.5,11.8,3.5,5.9
E00085016,75.1,14.2,4.4,4,2.2
E00085017,72.2,11.9,4.4,7.5,4
E00085018,74.3,15.8,4.6,1.7,3.7
E00085019,82.9,10.2,2.7,2.1,2.1
E00085020,67.9,11.9,7.3,5.3,7.6
E00085021,73.2,9.1,7.2,8.3,2.3
E00085022,72.9,14.3,5.6,4.9,2.3
E00085023,67.9,19.4,5.1,3.1,4.6
E00085024,74,19.2,1.9,3.8,1
E00085025,70.2,15.7,3.1,7.1,3.9
E00085026,68.9,9.5,10.8,6.3,4.5
E00085027,79.1,12.2,2.9,3.6,2.2
E00085028,80.3,9.5,2,4.1,4.1
E00085029,75,11.1,3.4,4.3,6.3
E00085030,75.5,12.5,6.3,2.1,3.6
E00085031,73.8,11.5,7.4,6.1,1.2
E00085032,62.3,13.6,11.9,7.3,5
E00085033,77.5,9.8,5.8,4.6,2.3
E00085034,70,15,8.5,3.3,3.3
E00085035,72.8,10,6.9,5.7,4.6
E00085036,67.4,14.4,9.8,4.2,4.2
E00085037,79.4,9.5,5.8,3.7,1.6
E00085038,80,13.8,1.5,2.6,2.1
E00085039,75,13,6.8,4.2,1
E00085040,82.1,6.4,5.8,2.3,3.5
E00085041,52.8,17.8,16.4,9.3,3.7
E00085042,83.1,11.9,1.9,2.5,0.6
E00085043,80.1,8.1,2.1,5.9,3.8
E00085044,73.8,12.8,6.4,5.3,1.6
E00085046,80.7,9.4,4.9,4.5,0.4
E00085047,55.9,17.6,9.5,10.6,6.4
E00085048,78.7,13.3,5.9,0.5,1.6
E00085049,72.5,18.2,4.5,4,0.8
E00085050,71.7,9.2,8.1,7.7,3.3
E00085051,74.2,12.1,5.8,2.1,5.8
E00085053,73.8,17.9,4.1,2.1,2.1
E00085056,78.1,10.5,3.9,4.4,3.1
E00085057,78.2,17.1,2.6,1.6,0.5
E00085060,71.7,16.7,6.6,3,2
E00085064,74.8,15,3.7,2.8,3.7
E00085065,78.8,10.6,4.4,5.6,0.6
E00085066,71.7,17.2,4.4,3.3,3.3
E00085069,65.5,11.8,12.2,7.1,3.4
E00085071,71.9,15.6,6.8,3.1,2.6
E00085073,68,14.3,9.7,4.6,3.4
E00085074,83.6,9.5,3.7,1.1,2.1
E00085075,69.4,10.1,10.1,6.5,4
E00085077,68.7,13.8,7.1,9.5,0.9
E00085078,71,13.1,6.9,5.4,3.5
E00085079,77.2,12,6.6,1.7,2.5
E00085080,74.9,11.6,4.3,6.8,2.4
