areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00037241,15.9,45,27.8,11.3
E00037242,36.6,41.5,18.3,3.5
E00037243,4.8,25.8,50.8,18.5
E00037244,34.4,41,21.3,3.3
E00037245,37.6,42.4,16.8,3.2
E00037246,12.9,45.7,25,16.4
E00037247,17.5,50.6,24,7.8
E00037248,38.9,32.5,22.2,6.3
E00037249,15.3,40.5,30.6,13.5
E00037250,16.7,46,29.4,7.9
E00037251,16.3,46.3,29.4,8.1
E00037252,29.7,39.8,26.3,4.2
E00037253,32.3,40.2,22,5.5
E00037254,27.7,45.4,24.1,2.8
E00037255,27.9,45.9,18,8.1
E00037256,11.3,38.7,37.1,12.9
E00037257,13.7,45.8,29.4,11.1
E00037260,19,41.3,28.1,11.6
E00037261,12.2,50.4,29.3,8.1
E00037262,21.6,48,24.8,5.6
E00037263,23,45.2,24.6,7.1
E00037264,10.1,32.6,42.7,14.6
E00037322,28.1,47.7,18,6.3
E00037323,25.6,48.9,21.1,4.5
E00037324,50.8,37.7,10,1.5
E00037327,34.9,42.1,17.5,5.6
E00037328,22.7,43.2,26.7,7.4
E00037329,41.4,43.1,11.2,4.3
E00037330,38.9,41.7,14.8,4.6
E00037331,31.9,42.2,21.6,4.3
E00037332,36.5,42.1,11.1,10.3
E00037333,42.4,37.1,17.4,3
E00037334,37.7,42.1,17.5,2.6
E00037336,7.4,45.2,36.3,11.1
E00037337,36.8,40.6,14.3,8.3
E00037338,40.2,34.1,18.2,7.6
E00037339,17.8,55.6,20.7,5.9
E00037340,25.4,40.2,22.1,12.3
E00037341,26.4,47.1,23.1,3.3
E00037342,49.5,36.1,11.3,3.1
E00037343,15.3,46.8,25,12.9
E00037344,26.2,41.3,23.8,8.7
E00037345,20.2,46.8,24.2,8.9
E00037346,15.4,50.3,26,8.3
E00037348,17.7,44.4,31.5,6.5
E00037349,14.9,41.5,31.4,12.2
E00037351,27,40,25.2,7.8
E00037352,26.3,46.5,22.8,4.4
E00037353,22.8,43.9,28.9,4.4
E00037354,21.4,47,25.6,6
E00037355,21.2,40.2,30.3,8.3
E00037356,14.1,48.4,32,5.5
E00037357,34.6,37,22,6.3
E00037358,24.2,38.3,29.2,8.3
E00037359,58.6,28.3,11.1,2
E00037363,51.7,37.5,10,0.8
E00037374,35,43.6,15,6.4
E00037375,60.7,32.1,3.6,3.6
E00037376,48,41.5,8.9,1.6
E00037740,42.1,41.4,13.8,2.6
E00037742,30.4,43.8,17.5,8.2
E00037750,29.8,42.1,19.7,8.4
E00037753,46,41.9,10.5,1.6
E00037754,44.5,42.5,10.3,2.7
E00037755,20.6,45.2,19.8,14.3
E00037756,18,45.6,25.2,11.2
E00037757,12.1,59.3,24.3,4.3
E00037761,22.2,46.9,24.1,6.8
E00037762,10.7,44.3,32,13.1
E00037766,23.8,48.5,21.5,6.2
E00037768,24.6,40.4,27.2,7.9
E00037770,28.4,41.8,22.7,7.1
E00037771,30,40,24.2,5.8
E00037772,30.5,42.9,22.9,3.8
E00037773,17.6,43.5,26,13
