areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00121780,6.6,33.1,44.1,16.2
E00121781,8.2,51.4,30.1,10.3
E00121782,16.3,39.5,34.1,10.1
E00121783,4.7,31.1,41.3,23
E00121784,9.4,35.6,24.8,30.2
E00121785,4.1,33.3,36.1,26.5
E00121786,9.9,41.3,33.1,15.7
E00121787,30.7,43.8,16.8,8.8
E00121788,0.8,27.2,45.6,26.4
E00121789,6.1,40.2,41.7,12.1
E00121790,3.9,36.5,39.9,19.7
E00121791,17.2,43.3,31.1,8.3
E00121792,3.1,29.8,40.5,26.7
E00121793,0,39,40.3,20.8
E00121794,5.5,31,37.2,26.2
E00121795,1,28,42,29
E00121796,3.4,20.3,41.9,34.5
E00121797,2.6,30.8,43.6,23.1
E00121798,5.8,19.7,47.4,27
E00121802,3.2,35.5,29,32.3
E00121804,5.5,28.9,41.4,24.2
E00122013,0.8,26.3,33.1,39.8
E00122014,5.1,37.3,33.9,23.7
E00122021,2.8,28,44.9,24.3
E00122031,6.7,18.5,39.5,35.3
E00122032,3.7,37,42.6,16.7
E00122033,9.7,34.5,32.7,23
E00122034,3.4,31,39.7,25.9
E00122056,39.3,46.4,12.9,1.4
E00122057,13.6,51.4,27.7,7.3
E00122058,11.5,42.6,35.2,10.7
E00122059,19.9,40.4,32.5,7.3
E00122060,18.9,54.5,21.2,5.3
E00122061,18.3,56.7,20,5
E00122062,17.6,53.8,20.2,8.4
E00122105,13.4,36.2,38.9,11.4
E00122106,13.6,50.7,25.7,10
E00122107,10.3,43.2,34.9,11.6
E00122110,8,30.7,42.7,18.7
E00122111,25.7,44.4,23.6,6.3
E00122112,7.4,42.1,38.8,11.6
E00122114,11.1,42.5,36.6,9.8
E00122115,7.2,37,37,18.8
E00122116,21,41.3,32.2,5.6
E00122117,9.6,48.8,34.4,7.2
E00122118,0,33,47.3,19.6
E00122119,8.2,32.8,44.3,14.8
E00122120,9.6,42.3,35.6,12.5
E00122121,12.9,36.4,32.9,17.9
E00122122,32.3,45.7,15.7,6.3
E00122125,0.7,37,34.8,27.4
E00122126,7.4,39.9,36.5,16.2
