geography_code,sex-001,sex-002
E00083820,51.6,48.4
E00083822,51.1,48.9
E00083823,48.9,51.1
E00083824,59.7,40.3
E00083828,51.1,48.9
E00083829,55.2,44.8
E00083830,58.2,41.8
E00083831,51.1,48.9
E00083832,52.7,47.3
E00083833,51.2,48.8
E00083834,53.8,46.2
E00083835,44.8,55.2
E00083836,53,47
E00083837,49.8,50.2
E00083848,50.4,49.6
E00083850,55.4,44.6
E00083851,48.7,51.3
E00155432,49.9,50.1
E00155433,49.3,50.7
E00155434,52.7,47.3
E00155436,49.7,50.3
E00155437,47.6,52.4
E00155438,48.5,51.5
E00155439,57.9,42.1
E00155446,50.6,49.4
E00155450,48.1,51.9
E00155451,47.3,52.7
E00155453,50.2,49.8
E00156448,47.8,52.2
E00156449,52.2,47.8
E00156450,49.6,50.4
E00156452,51.5,48.5
E00156453,52.2,47.8
E00156454,51.4,48.6
E00156455,50.6,49.4
E00156458,53.1,46.9
E00156459,50.6,49.4
E00156462,52.6,47.4
E00156463,52.6,47.4
E00156464,50.2,49.8
E00156465,48,52
E00156505,52.2,47.8
E00156515,46.6,53.4
E00156516,52,48
E00156517,50.5,49.5
E00156519,54.8,45.2
E00156520,52.5,47.5
E00156521,51.1,48.9
E00156522,51.1,48.9
E00156848,50.7,49.3
E00156849,51.5,48.5
E00156850,48.1,51.9
E00156852,48.2,51.8
E00156853,55.1,44.9
E00156854,53.5,46.5
E00156855,51.9,48.1
E00156856,50.2,49.8
E00156857,46.4,53.6
E00156858,52.6,47.4
E00156859,41.8,58.2
E00156861,55.6,44.4
E00156862,51.9,48.1
E00156863,54.1,45.9
E00156864,47.2,52.8
E00156865,48.7,51.3
E00156866,50,50
E00156867,48.2,51.8
E00156868,50,50
E00156869,48.8,51.2
E00156870,54.6,45.4
E00156871,51.9,48.1
E00156872,51.5,48.5
E00156875,51.2,48.8
E00156876,52,48
E00156877,52.7,47.3
E00156878,46.9,53.1
E00156879,47.9,52.1
E00156880,53.8,46.2
E00156881,49.4,50.6
E00156882,52.1,47.9
E00156883,54.1,45.9
E00156884,48.8,51.2
E00156885,52,48
E00156886,51.5,48.5
E00156887,53.1,46.9
E00156888,50,50
E00156889,55,45
E00156890,54.8,45.2
E00156929,50.6,49.4
E00156930,52.1,47.9
E00156933,50.2,49.8
E00156936,47,53
E00156937,51.9,48.1
E00156939,50.1,49.9
E00156940,54.4,45.6
E00156943,50.3,49.7
E00156944,54.7,45.3
E00156946,52.6,47.4
E00156947,53.2,46.8
E00156948,57.8,42.2
E00156949,55.9,44.1
E00156950,53.1,46.9
E00156951,49.3,50.7
E00156952,50,50
E00156953,55.9,44.1
E00156954,51.6,48.4
E00156955,50.5,49.5
E00156956,53.1,46.9
E00156957,51.6,48.4
E00156958,52.6,47.4
E00156959,52.9,47.1
E00156960,53.9,46.1
E00156961,54.8,45.2
E00156962,46.2,53.8
E00156963,49.2,50.8
E00156964,50.9,49.1
E00156965,51.9,48.1
E00156966,51.3,48.7
E00156967,49.7,50.3
E00156968,45.3,54.7
E00157077,48.7,51.3
E00157078,49.6,50.4
E00157080,53.8,46.2
E00157081,50.3,49.7
E00157082,52,48
E00157083,50.2,49.8
E00157084,53.7,46.3
E00157085,50.3,49.7
E00157087,51,49
E00157088,53.9,46.1
E00157089,54.5,45.5
E00157090,49.7,50.3
E00157091,49.8,50.2
E00157092,53.7,46.3
E00157093,48.9,51.1
E00157094,52.9,47.1
E00157095,50,50
E00157096,51,49
E00157097,47.2,52.8
E00157098,49,51
E00157099,46.5,53.5
E00157100,51.7,48.3
E00157101,50.8,49.2
E00157102,52.3,47.7
E00157103,50.2,49.8
E00157104,53.3,46.7
E00157750,47.9,52.1
E00157751,51.3,48.7
E00157752,49.7,50.3
E00157753,47,53
E00157754,49.4,50.6
E00157755,53,47
E00157756,51.7,48.3
E00157757,48.4,51.6
E00157758,47.6,52.4
E00157759,49.7,50.3
E00157784,47.9,52.1
E00157785,49.3,50.7
E00157786,47.3,52.7
E00157787,51.2,48.8
E00157788,51.7,48.3
E00157789,50.3,49.7
E00157790,51.4,48.6
E00157791,45.1,54.9
E00157792,52.7,47.3
E00157793,49.6,50.4
E00157794,52.8,47.2
E00157795,48.8,51.2
E00157796,51.4,48.6
E00157797,49.3,50.7
E00157798,53,47
E00157799,49.4,50.6
E00157800,50.7,49.3
E00157801,47.2,52.8
E00157802,52,48
E00157803,52.9,47.1
E00157804,44.4,55.6
E00157806,47.8,52.2
E00157807,50.2,49.8
E00157808,54.6,45.4
E00157810,52.5,47.5
E00157811,48.5,51.5
E00157812,51,49
E00157813,47.4,52.6
E00157814,50.2,49.8
E00157815,46.3,53.7
E00157816,54.5,45.5
E00157817,51.1,48.9
E00157818,52.2,47.8
E00157819,57.8,42.2
E00157820,55,45
E00157821,50.3,49.7
E00157822,53.1,46.9
E00157823,56.7,43.3
E00157824,50.8,49.2
E00157825,48.2,51.8
E00157826,49.3,50.7
E00157827,49.7,50.3
E00157828,50,50
E00157829,49.5,50.5
E00157830,49.5,50.5
E00157831,50.8,49.2
E00157832,50.3,49.7
E00157833,46,54
E00157834,52.5,47.5
E00157835,55.8,44.2
E00157836,52.2,47.8
E00157837,54.7,45.3
E00157838,48.7,51.3
E00157839,52.7,47.3
E00157840,49.6,50.4
E00157841,51.7,48.3
E00157842,51.9,48.1
E00157843,53.7,46.3
E00157844,50.3,49.7
E00157845,51.2,48.8
E00157846,50.2,49.8
E00157847,47.6,52.4
E00157848,48.3,51.7
E00157849,49.1,50.9
E00157850,53.7,46.3
E00157851,49.9,50.1
E00157852,50.5,49.5
E00157853,49.2,50.8
E00157854,49.8,50.2
E00157856,52,48
E00157857,51.5,48.5
E00157858,54.5,45.5
E00157859,47.6,52.4
E00157860,51.9,48.1
E00157861,47.9,52.1
E00157862,48,52
E00157863,49.7,50.3
E00157864,50,50
E00157865,49.7,50.3
E00157866,48,52
E00157867,53.7,46.3
E00157868,52.4,47.6
E00157869,46.1,53.9
E00157870,54.2,45.8
E00157871,51.6,48.4
E00157872,49.3,50.7
E00157873,48.8,51.2
E00157874,52.1,47.9
E00157875,55.1,44.9
E00157876,51.4,48.6
E00157877,50.2,49.8
E00157878,52,48
E00157879,52.6,47.4
E00157880,49.1,50.9
E00157882,49.2,50.8
E00157884,49.4,50.6
E00157885,52.3,47.7
E00157886,49.4,50.6
E00157888,54.9,45.1
E00157889,52.4,47.6
E00157890,54.7,45.3
E00157891,47,53
E00157892,49.6,50.4
E00157893,53.8,46.2
E00157894,53.3,46.7
E00157895,56.4,43.6
E00157896,51.4,48.6
E00157897,50.7,49.3
E00157898,48.6,51.4
E00157899,52.2,47.8
E00157900,44.5,55.5
E00157901,46.2,53.8
E00157902,53.4,46.6
E00157903,50,50
E00157904,53.3,46.7
E00157906,52.6,47.4
E00157907,49.3,50.7
E00157908,53,47
E00157909,45.9,54.1
E00157911,49,51
E00157912,50.6,49.4
E00157914,50.7,49.3
E00157915,50,50
E00157916,50.9,49.1
E00157917,52.3,47.7
E00157918,51.5,48.5
E00157919,50.2,49.8
E00157920,50.7,49.3
E00157921,48.5,51.5
E00157922,49,51
E00157923,49.1,50.9
E00157924,51.5,48.5
E00157925,47.5,52.5
E00157926,53.9,46.1
E00157927,53.1,46.9
E00157928,49.4,50.6
E00157930,49.2,50.8
E00157931,45.3,54.7
E00157934,50.7,49.3
E00157936,50.4,49.6
E00157937,53.1,46.9
E00157938,50.3,49.7
E00157939,50.5,49.5
E00157940,48.5,51.5
E00157941,49.3,50.7
E00157942,49.2,50.8
E00157943,47,53
E00157944,48.6,51.4
E00157945,48.7,51.3
E00157946,49.9,50.1
E00157947,45,55
E00157948,48.3,51.7
E00157949,51,49
E00157950,49.2,50.8
E00157951,43.6,56.4
