areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00054762,83.3,1.6,15.1
E00054763,74.8,3.2,22
E00054764,76.8,3.1,20.1
E00054765,71.5,8.5,20
E00054766,84.9,1.3,13.8
E00054767,87.3,1.8,10.9
E00054768,89.8,2.6,7.6
E00054769,83.6,0.7,15.7
E00054770,83.7,0.3,16
E00054771,85.6,2.3,12.2
E00054772,71.7,2.5,25.9
E00054773,66.5,1.9,31.7
E00054774,84.7,1.5,13.8
E00054775,77,3.2,19.8
E00054776,93.4,1.5,5.2
E00054777,58.7,7.5,33.8
E00054778,83.6,1.3,15.1
E00054779,61.4,1.7,36.9
E00054797,84.9,1.7,13.4
E00054798,67.7,3.4,29
E00054801,65.1,6.9,28.1
E00054802,73.5,3.2,23.3
E00054804,55,6.4,38.5
E00054805,73.5,4,22.6
E00054806,81.6,2.3,16.2
E00054807,81.2,5.8,13
E00054808,75.4,1.5,23.1
E00054809,83,0.3,16.7
E00054810,83.2,0.3,16.5
E00054811,74,2.2,23.8
E00054812,82.7,0,17.3
E00054813,85.8,0.4,13.8
E00054814,84,2.4,13.6
E00054815,86.9,1.3,11.8
E00054816,88.9,0.4,10.7
E00054817,76.6,2.2,21.2
E00054818,70.8,2.9,26.3
E00054819,84.4,1.6,14
E00054820,83.8,0.5,15.7
E00054821,88.1,0.4,11.5
E00054822,81.5,3.4,15.1
E00054823,84.8,5.3,9.9
E00054824,89.9,0.7,9.4
E00054825,77,5.9,17.1
E00054827,82.1,3,14.8
E00054828,65.3,3.8,30.9
E00054829,79,3.3,17.6
E00054830,68.6,6.3,25.2
E00054831,67.9,2.2,29.9
E00054832,91.4,1.7,6.8
E00054833,86.9,1.1,12.1
E00054834,93.5,0.6,5.8
E00054835,64.3,2,33.7
E00054836,91.3,0.3,8.4
E00054837,87.1,2.2,10.8
E00054838,83.1,2.6,14.2
E00054839,86.8,2,11.2
E00054840,81.2,0,18.8
E00054841,73.2,1.3,25.5
E00054842,87,3.3,9.7
E00054843,80.5,1.5,18
E00054844,75.9,2.2,21.9
E00054886,71.9,2.1,26
E00054887,66.8,4.6,28.6
E00054888,76.7,2,21.3
E00054889,92.4,2,5.6
E00054890,80.6,1.4,18
E00054891,86.4,2.8,10.8
E00054892,69.9,1.8,28.3
E00054893,81.6,1.1,17.3
E00054894,75.4,6.5,18.1
E00054895,89.6,2.1,8.3
E00054896,83.2,0.4,16.4
E00054897,72.2,6,21.8
E00054898,82,1.1,16.9
E00054899,70.2,3.8,26
E00054900,89.5,0.7,9.8
E00054901,84.5,0.7,14.8
E00054902,82.8,4.5,12.6
E00054903,89.3,0.6,10
E00054904,49.5,4.4,46.1
E00054905,78.1,3,18.9
E00054906,71.8,2.1,26.1
E00054907,66.8,1.9,31.3
E00054908,67.8,4.7,27.5
E00054909,65.2,0.8,34
E00054910,85.6,1.8,12.6
E00054911,86.1,2.5,11.3
E00054912,84,3.6,12.4
E00054914,72.8,3.1,24.1
E00054916,56,3.9,40.1
E00054917,76.1,5.4,18.6
E00054918,77,3.7,19.4
E00054919,63.5,2.4,34.1
E00054920,58.9,4.1,37.1
E00054921,83,1.9,15.2
E00054922,83,2.8,14.2
E00054923,75.9,4.1,20
E00054925,90.3,2.7,7.1
E00054926,89.8,1,9.3
E00054927,87.9,0.4,11.7
E00054928,91.1,0.2,8.7
E00054929,92.1,1,6.8
E00054930,85.2,0.4,14.4
E00054931,85.2,1.8,13
E00054932,94.4,0.7,4.9
E00054933,79.9,2,18.1
E00054934,73.8,1.7,24.6
E00054935,89.8,1,9.2
E00054936,91.8,0.7,7.4
E00054937,85.1,2.4,12.5
E00054938,94.3,0.7,5
E00054939,94,1.1,4.9
E00054940,69.3,5.6,25.1
E00054941,89,0.5,10.5
E00054942,93.9,2.5,3.6
E00054943,80.4,2.9,16.7
E00054944,93.9,1.3,4.9
E00054945,78,2.4,19.7
E00054946,87.8,1.9,10.3
E00054947,76.2,0,23.8
E00054948,90.3,2.8,6.9
E00054949,73.5,1.3,25.2
E00054950,88.7,0,11.3
E00054951,80.4,3.5,16.1
E00054952,82.8,2.2,15
E00054953,88.4,1.1,10.6
E00054954,91.4,2.3,6.3
E00054955,83.1,0.8,16.2
E00054956,89.4,2.7,7.9
E00054957,75.3,2.8,21.9
E00054958,88.7,0.8,10.5
E00054959,87.5,1.3,11.3
E00054960,92,0,8
E00054961,92.1,0,7.9
E00054962,78.3,3.4,18.3
E00054963,88.9,1.4,9.8
E00054964,87.3,0.3,12.4
E00054965,93,1.8,5.3
E00054966,89.9,2,8.1
E00054967,85.5,1.9,12.6
E00054968,92.6,1.6,5.8
E00054969,92.5,0.8,6.7
E00054970,80.9,3.4,15.7
E00054971,94.4,1.1,4.6
E00054972,92.9,2.3,4.9
E00054973,93.4,1.1,5.6
E00054974,90.9,3,6.1
E00054976,88.2,3.2,8.6
E00054977,88.1,1.1,10.8
E00054978,85.1,1.4,13.4
E00054979,85.9,2.4,11.6
E00054980,78.4,0.4,21.2
E00054981,83,2.5,14.5
E00054982,83.9,0.3,15.8
E00054983,66.1,0.8,33.1
E00054984,90.1,2.9,7
E00054985,87.3,0.3,12.4
E00054986,82.6,2.3,15.1
E00054987,92.5,1.8,5.8
E00054988,87.4,0.4,12.3
E00054989,68,4.1,27.8
E00054990,83.2,1.3,15.5
E00054991,87.6,1.2,11.2
E00054992,69.7,4.8,25.5
E00054993,52,0,48
E00054995,84.9,0.9,14.2
E00054996,86.5,1.1,12.5
E00054997,89.4,2.5,8.1
E00054998,87.9,2.9,9.2
E00055005,86.7,2.1,11.3
E00055007,66.3,5.5,28.2
E00055032,83.9,1.4,14.7
E00055036,91.5,2.4,6.1
E00055040,83.3,0.8,15.9
E00055041,83.2,4.4,12.4
E00055067,75.8,12.3,11.9
E00055068,58.5,19.2,22.3
E00055070,88.7,2.8,8.5
E00055071,59.4,9.5,31.1
E00055079,87.7,0.9,11.4
E00055080,80.9,2.4,16.7
E00055081,84.1,1,14.9
E00055082,83.8,2.9,13.4
E00055083,71.8,5,23.2
E00055084,68.5,13,18.4
E00055085,58.6,5.5,35.9
E00055086,71.9,7.5,20.6
E00055087,72.1,7,20.8
E00055088,72.9,4,23.1
E00055089,71.9,8.9,19.1
E00055090,76.4,8.7,14.9
E00055091,55.4,14.7,30
E00055092,79,5.8,15.3
E00055093,77.1,5.7,17.2
E00055094,78.3,12.5,9.2
E00055095,65.8,19.8,14.4
E00055105,87.3,1.2,11.6
E00055106,80.3,3,16.8
E00055107,88.2,5.9,5.9
E00055108,92.9,1.1,6.1
E00055109,93.8,1.8,4.4
E00055110,86.2,2.5,11.3
E00055111,91.4,1,7.6
E00055112,93.5,0.4,6.1
E00055113,89.9,1,9.1
E00055114,85.4,0.4,14.2
E00055115,87.6,1.5,10.9
E00055116,89.2,1.8,9
E00055117,90.5,0.7,8.7
E00055118,85,1.5,13.5
E00055119,87.7,0.8,11.5
E00055120,82.4,4.8,12.8
E00055134,88.8,0.7,10.4
E00055135,89.4,0.8,9.8
E00055136,89.6,2,8.4
E00055137,90.6,1,8.4
E00055138,90.7,0.9,8.4
E00055139,85.6,1.1,13.3
E00055140,62.4,2.4,35.3
E00055141,75.8,1.5,22.6
E00055142,79.6,2,18.4
E00055143,74.3,6.3,19.5
E00055144,47.1,17.7,35.2
E00055145,69.8,9.6,20.6
E00055146,83.2,3.6,13.2
E00055147,67.6,2.9,29.4
E00055148,68.9,3.9,27.2
E00055149,42,14.6,43.4
E00055150,53.8,11.4,34.8
E00055151,90.5,1.7,7.8
E00055152,61.6,6.6,31.8
E00055153,63.4,5.6,31
E00055154,90,0.5,9.5
E00055155,79.5,1,19.5
E00055156,58.8,7.9,33.3
