geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00004120,8.2,1.4,7.1,76.1,7.1
E00004121,18.8,2.9,7.8,66.1,4.5
E00004122,20,1.8,5.3,64.4,8.4
E00004123,22,1.9,6.7,62.3,7.1
E00004124,17.3,1.9,5.1,73.7,1.9
E00004125,12.2,2.5,9.2,72.3,3.8
E00004126,8,3,2.7,78.4,8
E00004127,9.1,3.3,10,71.8,5.7
E00004128,11.7,0,10.1,75.2,2.9
E00004129,13.1,0,10.5,69.7,6.7
E00004130,7.1,5.3,5.3,79.2,3.1
E00004131,6.5,2.9,8.2,75.1,7.3
E00004132,8.7,0.5,8.7,79.9,2.2
E00004133,10.5,3.3,6.7,75.7,3.8
E00004134,14.8,2.5,6.8,67.9,8
E00004135,21.3,2.4,6.3,59.1,11
E00004136,9,0.5,10.1,74.4,6
E00004137,7.2,2.3,5,76,9.5
E00004138,12.6,4,3.5,71.7,8.1
E00004140,7.5,5.5,5,74.6,7.5
E00004141,11.9,3.5,4.5,77.2,3
E00004142,15.7,3,4.7,69.8,6.8
E00004143,11.4,4.4,6.6,69.7,7.9
E00004145,10.3,2.2,5.1,72.1,10.3
E00004146,5.8,0.9,8,82.7,2.7
E00004147,7.8,2.1,4.7,77.6,7.8
E00004148,4.2,2.4,5.4,78.6,9.5
E00004149,12.4,0.3,5.2,77.3,4.7
E00004150,14.7,4,10,64.5,6.8
E00004151,13,0.9,5.2,76.5,4.3
E00004152,10,0,4.6,77.8,7.5
E00004153,7.3,6.4,8.2,75.1,3
E00004154,18.2,1,6.4,69.5,4.9
E00004155,16.2,1.5,6,67.2,9.1
E00004156,9,2.3,7.2,74.8,6.8
E00004157,6.6,3.1,3.1,74.3,12.8
E00004158,21.1,8.1,8.4,56.2,6.2
E00004159,19,29.3,2.6,39.4,9.6
E00004160,16.2,20.2,8.6,40.9,14.1
E00004161,12.6,2.5,7.5,72.9,4.5
E00004162,11.4,0,4.5,77.7,6.4
E00004163,27.1,9.5,4.8,47.5,11.1
E00004164,19.3,31.7,4,34.8,10.2
E00004165,16.2,19.6,5.4,48,10.8
E00004166,16.4,28,4.5,37.8,13.2
E00004167,10.7,4,3.2,77.1,5.1
E00004168,13.1,2,4,70.2,10.6
E00004201,3.5,1.8,7,84.6,3.1
E00004202,10.3,7.7,0,77.6,4.5
E00004203,14.2,4,7.4,70,4.3
E00004204,14.7,1.5,6.8,69.1,7.9
E00004205,7.8,3.4,6.4,79,3.4
E00004206,16.2,20.2,5.6,52,6
E00004207,29.2,13.1,3.5,48.3,5.9
E00004208,26.5,16.3,7.5,44.6,5.1
E00004209,23.2,5,7.3,58.3,6.2
E00004210,22.9,22.2,4.4,44.4,6.1
E00004211,15.2,2.2,6.9,67.1,8.7
E00004212,12.1,6.7,12.1,66.1,3
E00004213,21,24.6,7.9,33,13.5
E00004215,12.2,2.4,3.3,76.8,5.3
E00004216,4.6,0.4,7.3,84.6,3.1
E00004217,9.7,1.5,11.2,73.8,3.7
E00004218,22.6,8,4.5,58.9,6.1
E00004219,9.4,6.5,7.9,71,5.3
E00004220,2.8,15.7,5.6,71.9,3.9
E00004221,5,2.5,6,81.4,5
E00004222,8.1,3.3,8.5,76.3,3.8
E00004223,25.2,12.6,6.7,44.2,11.3
E00004224,6.1,1.9,5.3,82.4,4.2
E00004225,23.9,9.6,7.3,54.8,4.4
E00004226,15.9,0.4,7.5,72.8,3.3
E00004227,7,2.7,5.9,80.9,3.5
E00004228,4.8,0.6,8.4,81.9,4.2
E00004229,12.8,3.1,6.6,73.4,4.1
E00004230,13.9,8.7,10.4,64.3,2.6
E00004231,2.5,0,6.4,87.3,3.9
E00004232,12.1,3.2,6.4,66.9,11.5
E00004233,4.4,4,3.1,83.6,4.9
E00004234,5.8,2.4,3.8,84.1,3.8
E00004235,9.7,18,9.1,54.7,8.6
E00004236,18,7.3,9.6,60.5,4.6
E00004237,21.3,10.6,8.1,57.4,2.6
E00004238,11.1,6.1,8.8,66.8,7.2
E00004239,5.3,12.2,6.3,66.1,10.1
E00004240,13.9,6.1,7.1,67,5.8
E00004241,8.8,0,6.3,80.7,4.2
E00004242,16,4.6,11.5,64.9,3.1
E00004243,4.3,0.9,9,79.8,6
E00004245,11.7,8.3,4.5,68.2,7.2
E00004246,12.6,9.2,10.5,63.6,4.2
E00004247,14.4,12.3,9.5,57.3,6.4
E00004248,11,11.2,7.3,64.5,5.9
E00004250,5.5,4.7,5.9,81.6,2.4
E00004251,5.2,2.6,7.3,83.7,1.3
