areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02003122,8.7,75.4,15.9
E02003123,11,63.7,25.3
E02003124,10,63.4,26.6
E02003125,10.2,63.4,26.4
E02003126,15.8,63.2,20.9
E02003127,11,62,27
E02003128,9.5,62.8,27.7
E02003129,10,72,18
E02003130,10.5,61.7,27.8
E02003131,9.5,66,24.4
E02003132,10.9,66.5,22.7
E02003133,8.2,70.9,20.9
E02003134,10,61.3,28.7
E02003135,10.7,59,30.3
E02003136,8.4,74.6,16.9
E02003137,9.6,71.4,19
E02003138,16.4,66.5,17.1
E02003139,14,66.9,19.1
E02003140,9.5,71.4,19.1
E02003141,13.6,59.8,26.7
E02003142,10.3,61.7,28
E02003143,9.5,73.8,16.6
E02003144,35.1,43.8,21.1
E02003145,13.9,62,24.1
E02003146,25.8,51.1,23.1
E02003147,12.5,55.9,31.6
E02003148,33.8,40.7,25.5
E02003149,22.5,52.3,25.3
E02003151,7.5,77,15.4
E02003152,11.2,70.4,18.4
E02003153,9.5,74.3,16.2
E02003154,10.1,68.8,21
E02003155,8.5,73.6,17.9
E02003156,11.5,68.4,20.1
E02003157,13.2,63.4,23.4
E02003158,10.2,70,19.8
E02003159,13.2,64.9,21.9
E02003161,12.3,62.4,25.3
E02003163,7.1,74.3,18.6
E02003164,9.8,73.3,16.9
E02003165,11.5,73,15.5
E02003166,11.5,65.9,22.6
E02003167,9.1,69.5,21.3
E02003168,9.6,74.3,16.1
E02003169,7.3,81.6,11.2
E02003170,8.3,77.5,14.3
E02003171,9.6,74.1,16.3
E02003892,9.5,76.6,13.9
E02003893,9.7,76.3,14
E02003894,9.4,74.2,16.4
E02003895,11,72.9,16
E02003896,9,72.6,18.4
E02003897,9,75.7,15.3
E02003898,9.2,78.4,12.5
E02003899,7.2,76.8,16
E02003900,9.6,74.3,16.1
E02003901,10.3,75.3,14.4
E02003902,9.5,73,17.5
E02003903,10.1,76.8,13.1
E02003904,11.3,77.6,11.1
E02003905,13.9,69.2,16.9
E02003906,12.4,72.8,14.7
E02003907,12.8,74.4,12.8
E02003908,11.8,70.4,17.8
E02003909,14,69,16.9
E02003910,12.7,70.3,17
E02003911,9.4,77.9,12.8
E02003912,10.9,75.4,13.7
E02003913,9.7,76.5,13.8
E02003914,23.2,56.7,20.1
E02003915,21.8,55.5,22.8
E02003916,24.6,61.6,13.8
E02003917,13.8,71.7,14.5
E02003918,9.2,73.8,16.9
E02003919,10.4,67.9,21.6
E02003920,12.1,71.6,16.4
E02003921,9.9,73.2,16.9
E02003922,12,68.5,19.5
E02003923,12,66.7,21.3
E02003924,8.2,70.2,21.6
E02003925,11.2,68.2,20.6
E02003926,10.7,73.3,16
E02003927,19.3,65.5,15.2
E02003928,13,70.6,16.4
E02003929,9.6,77.5,12.9
E02003930,11.7,75.7,12.6
E02003933,12.3,75.2,12.4
E02003934,10.6,76.2,13.2
E02003935,11.3,70.5,18.2
E02003936,10.3,74.2,15.5
E02003937,11.4,75.6,12.9
E02003938,14.7,73,12.3
E02003939,10.8,74.8,14.3
E02003940,11.2,74.5,14.3
E02003941,10.9,68.4,20.8
E02003942,12.2,68,19.8
E02003943,14,72,14
E02003944,11.7,70.8,17.5
E02003945,12.3,76.1,11.7
E02003946,11.1,75.2,13.7
E02003947,10.5,74.8,14.7
E02003948,9.7,72.7,17.6
E02003949,11.7,69.6,18.7
E02003951,9,77.1,13.9
E02003952,15.8,67.5,16.8
E02003953,12.3,68.9,18.7
E02003954,18.6,65.5,15.9
E02003955,14.6,67.6,17.7
E02003956,13.3,67.7,19
E02003957,10.9,69.9,19.2
E02003958,12.1,70.3,17.6
E02003959,11.9,70.2,17.9
E02003960,11,75.8,13.2
E02003961,10.7,75.1,14.2
E02003962,12.6,68.7,18.7
E02003963,10.4,70.5,19.1
E02003964,11.5,75.7,12.7
E02004137,9.4,81.5,9.1
E02004138,6.5,83.4,10.1
E02004139,8.9,80.4,10.7
E02004140,6.3,85.8,7.9
E02004141,11.9,75.2,12.9
E02004142,11.6,74,14.4
E02004143,8.9,76.6,14.4
E02004144,10,80,10
E02004145,6.8,84,9.2
E02004146,12.1,73.9,14
E02004147,15.7,69.9,14.5
E02004148,7.2,78.3,14.5
E02004152,36.3,39.7,24
E02004153,14.1,66.4,19.6
E02004154,26.6,50.2,23.2
E02004155,12.3,68.5,19.2
E02004156,25.4,43.1,31.5
E02004157,14.1,69.1,16.9
E02004158,15.4,65.8,18.8
E02004159,14.6,66.7,18.7
E02004160,11.2,71.1,17.7
E02004161,14.5,62.8,22.7
E02004162,12.2,71.3,16.5
E02004163,11.1,74.1,14.8
E02004189,10.7,69.3,19.9
E02004190,11.2,74.5,14.3
E02004191,11.9,71.2,16.9
E02004192,10.5,77.3,12.2
E02004193,11.5,70.9,17.6
E02004194,12.3,75.2,12.6
E02004195,10.3,76,13.7
E02004196,10.9,77.2,11.9
E02004197,9.2,78.5,12.3
E02004198,10.6,73,16.4
E02004199,9.1,79.8,11
E02004200,11.2,77.3,11.5
E02004201,9.6,76.5,13.9
E02004202,12.8,75.1,12.1
E02004203,11.3,77.6,11.1
E02004204,11,77.1,11.9
E02004205,10.5,73.6,15.9
E02004206,8.5,78.8,12.7
E02004207,10.2,77.1,12.7
E02004208,10.5,78.6,10.9
E02004209,10.3,73.1,16.6
E02004210,10.9,73.2,16
E02004211,8.7,79.5,11.8
E02004212,11.8,72.6,15.5
E02004213,13.8,69.5,16.6
E02004214,12.4,67.2,20.3
E02004215,9.9,70.2,19.9
E02004216,9,74,17
E02004217,11.4,72.1,16.5
E02004218,9.6,73.4,17
E02004219,9.6,76.3,14.1
E02004231,10.1,75.9,14
E02004232,11.5,75.3,13.2
E02004233,9.4,75.3,15.2
E02004234,8.9,78.3,12.7
E02004235,7.7,79,13.4
E02004273,9.7,79,11.3
E02006840,12.1,70.5,17.4
E02006989,15.6,55.8,28.7
E02006990,13.1,62.5,24.4
