areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02003122,80.4,13.9,5.7
E02003123,78.6,14.3,7.1
E02003124,77.4,14.8,7.8
E02003125,73,17.5,9.5
E02003126,80.1,13.6,6.3
E02003127,75.6,16.1,8.3
E02003128,75.9,15.5,8.6
E02003129,81.4,13.1,5.5
E02003130,76.5,15.9,7.7
E02003131,77.9,15.3,6.7
E02003132,81.2,13.4,5.4
E02003133,79.7,14.1,6.2
E02003134,77.8,14.6,7.6
E02003135,77.5,15.1,7.4
E02003136,79.1,14.8,6.1
E02003137,83.3,11.9,4.8
E02003138,86.5,9.8,3.7
E02003139,87.1,9.7,3.2
E02003140,82.7,12.5,4.7
E02003141,78,14.4,7.6
E02003142,76.2,16.1,7.8
E02003143,81.2,13.4,5.4
E02003144,82.9,11.8,5.3
E02003145,79.1,15,5.8
E02003146,82.4,13.1,4.5
E02003147,76.4,15.5,8.1
E02003148,80.9,13.1,6
E02003149,78.7,14.3,7.1
E02003151,80.3,13.7,6
E02003152,82.6,12.9,4.5
E02003153,81.7,13.1,5.2
E02003154,75,16.8,8.2
E02003155,74.6,17.5,7.9
E02003156,81.6,12.6,5.8
E02003157,76.7,15.6,7.8
E02003158,75.5,17.2,7.3
E02003159,79.4,14.2,6.5
E02003161,72.3,18.6,9.1
E02003163,72.4,18,9.6
E02003164,79,14.9,6.2
E02003165,78.7,15.5,5.9
E02003166,78.5,14.7,6.9
E02003167,68.9,20.2,10.9
E02003168,75.7,17,7.2
E02003169,76.9,16.7,6.4
E02003170,74.9,17.5,7.5
E02003171,75.6,17,7.4
E02003892,78.1,16,5.9
E02003893,79.2,15.1,5.7
E02003894,77.4,15.6,7
E02003895,79.1,14.3,6.5
E02003896,74.1,17.1,8.8
E02003897,83.9,11.6,4.5
E02003898,82.2,12.6,5.2
E02003899,75.6,16.7,7.7
E02003900,80.6,14,5.4
E02003901,76.1,16.4,7.5
E02003902,76.9,15.7,7.5
E02003903,78.7,15.1,6.2
E02003904,76.8,16.6,6.6
E02003905,83,12.3,4.7
E02003906,81,13.5,5.6
E02003907,82.2,12.7,5
E02003908,81,13.6,5.5
E02003909,81,13.3,5.7
E02003910,81.3,13,5.7
E02003911,82.4,13.1,4.5
E02003912,80.9,13.6,5.4
E02003913,81.4,13.1,5.5
E02003914,82.4,12.6,5
E02003915,78.5,14.2,7.2
E02003916,83.5,12.4,4.1
E02003917,83,12.4,4.6
E02003918,78.3,15.4,6.3
E02003919,76.5,15.6,7.9
E02003920,79.9,14.2,5.9
E02003921,78.8,15,6.2
E02003922,79,14.7,6.3
E02003923,77.3,15.6,7
E02003924,73.1,17.6,9.3
E02003925,76.3,16.5,7.2
E02003926,82.2,13.1,4.7
E02003927,83.2,12.4,4.5
E02003928,82.2,12.9,4.9
E02003929,79.6,14.5,5.9
E02003930,78.5,15.2,6.2
E02003933,79.1,14.7,6.2
E02003934,79.4,14.4,6.2
E02003935,78.1,15,6.9
E02003936,79.1,15.2,5.7
E02003937,80.8,13.7,5.5
E02003938,80.7,13.4,5.9
E02003939,79.3,15.4,5.3
E02003940,79.8,14.7,5.5
E02003941,80.3,13.8,6
E02003942,75.9,16.6,7.5
E02003943,78,14.7,7.3
E02003944,79.2,14.2,6.5
E02003945,79.5,14.7,5.8
E02003946,79.1,14.1,6.8
E02003947,77.2,15.5,7.2
E02003948,74.7,16.4,8.9
E02003949,72.8,18,9.2
E02003951,76.7,15.9,7.4
E02003952,83.4,11.8,4.7
E02003953,80,14.1,5.8
E02003954,80.3,14,5.8
E02003955,80.5,13.7,5.8
E02003956,78,14.9,7.1
E02003957,78.5,14.9,6.6
E02003958,78.8,14.8,6.4
E02003959,76.6,16.4,7
E02003960,77.5,16,6.5
E02003961,81,13.7,5.3
E02003962,78.9,14.9,6.2
E02003963,74.1,17.3,8.6
E02003964,78.2,16.4,5.4
E02004137,82.7,13.4,3.8
E02004138,73.9,19,7.2
E02004139,79.6,15,5.4
E02004140,76.6,18.1,5.3
E02004141,83.9,11.8,4.3
E02004142,85.2,11.7,3.1
E02004143,81.3,13.6,5.1
E02004144,80.6,14.6,4.8
E02004145,79.9,14.9,5.2
E02004146,80.4,14.1,5.5
E02004147,80.6,13.7,5.7
E02004148,75.5,17.2,7.3
E02004152,88.2,8.6,3.2
E02004153,82.5,13.2,4.3
E02004154,85.7,10.2,4.1
E02004155,79.8,13.7,6.5
E02004156,83.2,11.7,5.1
E02004157,85.6,10.3,4
E02004158,82.3,12.6,5.1
E02004159,87.6,9.2,3.3
E02004160,79.5,15.1,5.4
E02004161,79,14.7,6.4
E02004162,81.5,13.1,5.4
E02004163,82.3,12.7,5
E02004189,83.6,12,4.4
E02004190,83.4,11.6,5
E02004191,78.4,14.9,6.6
E02004192,82.5,12.9,4.5
E02004193,84.1,11.4,4.4
E02004194,85,10.8,4.2
E02004195,78.3,14.8,6.9
E02004196,84.1,11.5,4.4
E02004197,83.9,11.4,4.7
E02004198,79.1,15.1,5.8
E02004199,80.9,14.2,4.8
E02004200,81.1,14,4.9
E02004201,81.6,13.4,4.9
E02004202,84.4,11.4,4.2
E02004203,82.7,13,4.3
E02004204,82,13.6,4.4
E02004205,80.1,14.3,5.6
E02004206,74.7,17.2,8
E02004207,81.3,13.3,5.4
E02004208,81.3,13.7,5
E02004209,81.2,13.4,5.3
E02004210,73.8,18,8.1
E02004211,80.6,14.2,5.2
E02004212,82,13.2,4.8
E02004213,84.5,12.3,3.2
E02004214,77.4,15.8,6.8
E02004215,78,15.6,6.4
E02004216,78.5,15.4,6.2
E02004217,79.5,14.5,6
E02004218,80.8,14,5.2
E02004219,80.4,14,5.6
E02004231,80.2,14.4,5.4
E02004232,81.6,14.1,4.3
E02004233,79.7,14.9,5.5
E02004234,80.5,14.3,5.2
E02004235,79.8,14.6,5.7
E02004273,79.6,15.5,4.9
E02006840,81,13.9,5
E02006989,75.7,16.2,8.1
E02006990,74.7,16.5,8.9
