areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02003122,11.4,45.6,33,10.1
E02003123,23.7,45.5,24.4,6.3
E02003124,24.2,44.4,24.5,6.9
E02003125,25.6,45.3,22.1,7
E02003126,18.1,47.8,26.9,7.2
E02003127,24.7,43.6,24.9,6.7
E02003128,26.3,45.1,23.3,5.3
E02003129,18.3,44,29.7,8.1
E02003130,24.6,46.7,22.4,6.3
E02003131,20.9,46.3,26.6,6.2
E02003132,19.5,46.3,27.6,6.6
E02003133,16,44.3,31.1,8.6
E02003134,26.1,44.7,23.1,6.1
E02003135,29.2,46.6,20.1,4.1
E02003136,14,41,32.8,12.1
E02003137,13.4,40,34.7,11.9
E02003138,17.6,47.4,28.3,6.7
E02003139,9,39.6,39.6,11.8
E02003140,11.8,41.6,36,10.5
E02003141,29.4,47.6,18.7,4.2
E02003142,26.5,44.2,23,6.3
E02003143,17.1,41.6,31.3,10
E02003144,35.9,40.7,16.4,7.1
E02003145,25.4,46.6,21.7,6.3
E02003146,28.6,44.5,20.8,6
E02003147,41.8,42.1,13.5,2.6
E02003148,56.7,33,7.6,2.6
E02003149,38,42.5,15.5,4
E02003151,13.6,38.9,35.1,12.4
E02003152,13.3,41.2,33.9,11.6
E02003153,13.9,46,30.3,9.9
E02003154,22.7,43.7,24.5,9.1
E02003155,26,43.2,22.6,8.2
E02003156,14.7,42.4,31.8,11.1
E02003157,29.1,45,18.5,7.4
E02003158,27.1,44.8,21.3,6.8
E02003159,25.2,43.6,23.6,7.6
E02003161,44.7,39.9,11.8,3.6
E02003163,23.7,48.4,20.8,7.1
E02003164,16,40,30.7,13.4
E02003165,16.7,43,29.3,10.9
E02003166,17,43,29.6,10.3
E02003167,40.5,40.9,14,4.6
E02003168,19.8,43,27.8,9.4
E02003169,12.6,42.6,31.7,13.2
E02003170,22.2,46.3,23.2,8.3
E02003171,18.6,43.9,27,10.5
E02003892,9.4,40.9,34.5,15.2
E02003893,8.3,36.4,36.2,19.1
E02003894,13.2,41.3,32.1,13.5
E02003895,13,42.5,31.5,12.9
E02003896,26.9,42.6,22.5,8
E02003897,7.2,38.9,37.7,16.3
E02003898,7.7,37.7,36.4,18.2
E02003899,20.1,45.4,25.5,9
E02003900,16.2,46.4,28.3,9.1
E02003901,12.6,42.2,31.3,13.9
E02003902,23.9,46.6,23.3,6.2
E02003903,15.2,47.3,28,9.5
E02003904,17.2,46.5,25.9,10.4
E02003905,7.4,36.7,38.5,17.4
E02003906,11.6,38.6,35,14.8
