areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02003122,82.2,3.3,14.6
E02003123,72.5,2.7,24.8
E02003124,71.1,4.1,24.8
E02003125,72.4,2.1,25.5
E02003126,79.2,4.5,16.3
E02003127,68.7,3.6,27.7
E02003128,71.1,4.5,24.5
E02003129,80.4,3.1,16.5
E02003130,70.9,3.4,25.7
E02003131,76.9,2.1,20.9
E02003132,78.7,3.7,17.6
E02003133,81,2.2,16.7
E02003134,70.5,5.1,24.4
E02003135,68.8,4.7,26.5
E02003136,84,1.1,14.9
E02003137,84.9,3.8,11.3
E02003138,83.4,6,10.6
E02003139,84.8,2.2,13
E02003140,84.3,1.8,13.9
E02003141,71.2,6.4,22.4
E02003142,72.7,3.9,23.4
E02003143,81.9,1.8,16.3
E02003144,76.4,11.5,12.1
E02003145,75.3,7.3,17.4
E02003146,73.7,10.5,15.7
E02003147,61.4,11.1,27.5
E02003148,71.5,15.4,13.1
E02003149,68.6,11.8,19.6
E02003151,84,1.9,14.1
E02003152,84.5,2.1,13.4
E02003153,82.7,2.3,15
E02003154,71.8,3.3,24.9
E02003155,79.4,3,17.5
E02003156,79.3,4.3,16.3
E02003157,71.4,7.4,21.1
E02003158,77.2,4.2,18.5
E02003159,75.2,5,19.7
E02003161,65.5,12.7,21.8
E02003163,80,6,14
E02003164,82.7,2.2,15.1
E02003165,78.9,2.3,18.8
E02003166,72.9,2.4,24.7
E02003167,71,5.3,23.7
E02003168,80.5,1.9,17.6
E02003169,84,1.2,14.8
E02003170,80.5,1.9,17.6
E02003171,77.9,1.8,20.3
E02003892,79.5,1.7,18.8
E02003893,78.6,1.3,20.1
E02003894,73.6,3,23.4
E02003895,72.9,2,25.1
E02003896,67.3,2.3,30.4
E02003897,85.7,1.4,12.9
E02003898,81.8,2.2,16
E02003899,75.8,1,23.2
E02003900,80.4,2.1,17.5
E02003901,75.4,1.8,22.8
E02003902,78.2,1.9,19.9
E02003903,82.1,1.9,16
E02003904,82.6,2,15.4
E02003905,79,1.7,19.4
E02003906,83.1,2.2,14.7
E02003907,82.7,2.1,15.2
E02003908,77.3,3.7,19
E02003909,74.4,5.4,20.2
E02003910,77.6,6.4,16
E02003911,83,1.9,15.1
E02003912,81,2.5,16.5
E02003913,83.7,1.9,14.3
E02003914,78.2,4.4,17.5
E02003915,74.1,5.7,20.2
E02003916,85.8,5.8,8.3
E02003917,82,2.8,15.3
E02003918,76.1,1.5,22.4
E02003919,67.4,3,29.6
E02003920,73.3,3.5,23.2
E02003921,76,1.7,22.3
E02003922,68.3,4.4,27.3
E02003923,65.4,4.6,30
E02003924,68.3,3.2,28.5
E02003925,66.6,2.8,30.6
E02003926,77.8,2.1,20.1
E02003927,82.2,3.2,14.6
E02003928,74.8,1.9,23.3
E02003929,77.3,1.3,21.4
E02003930,75.8,1.7,22.5
E02003933,75.4,1.7,23
E02003934,72.6,1.6,25.8
E02003935,66.4,6,27.6
E02003936,77.2,1.3,21.5
E02003937,80.4,1.7,17.9
E02003938,78.2,2.2,19.6
E02003939,78.7,2,19.3
E02003940,78.3,1.6,20.1
E02003941,67.3,6.3,26.4
E02003942,62.2,4.8,33
E02003943,77.5,3.2,19.4
E02003944,71.9,2.5,25.6
E02003945,81.1,2.8,16.1
E02003946,77.3,1.7,21
E02003947,76.2,2.3,21.5
E02003948,70.6,2.4,27
E02003949,68.8,5.1,26.2
E02003951,77.9,2.9,19.2
E02003952,80.6,3.5,15.9
E02003953,75.2,2.2,22.5
E02003954,79.9,5.8,14.3
E02003955,79.6,5.3,15.1
E02003956,68.3,2.9,28.8
E02003957,70.5,3.8,25.8
E02003958,71.1,1.2,27.8
E02003959,70.8,1.4,27.8
E02003960,78.4,1.9,19.8
E02003961,79.4,1.6,18.9
E02003962,74.4,2.5,23.2
E02003963,67,3,30
E02003964,81.1,1.6,17.3
E02004137,84.6,2.7,12.7
E02004138,77.9,3.5,18.6
E02004139,79.5,2.7,17.8
E02004140,82.3,4.6,13.2
E02004141,85.3,1.7,13
E02004142,86.1,4,9.8
E02004143,85.1,2,12.9
E02004144,85.2,2.1,12.8
E02004145,85.6,2.3,12.1
E02004146,80.3,2.5,17.2
E02004147,79,6.6,14.4
E02004148,79.9,2.8,17.3
E02004152,78.5,15,6.5
E02004153,74.7,8,17.3
E02004154,78.3,10.9,10.8
E02004155,74.7,6.9,18.4
E02004156,66.8,22.3,10.9
E02004157,80.2,10.9,8.9
E02004158,74.3,10.7,15.1
E02004159,81.1,7.3,11.7
E02004160,79.2,4.4,16.4
E02004161,69.7,10.2,20
E02004162,76.9,8.3,14.8
E02004163,82.1,4.3,13.6
E02004189,82.6,3,14.4
E02004190,82.8,2.5,14.7
E02004191,80.2,4.6,15.3
E02004192,85.4,2.2,12.4
E02004193,83.2,1.9,15
E02004194,84.7,2.8,12.5
E02004195,76.9,5.3,17.7
E02004196,86,2.2,11.8
E02004197,88.1,1.6,10.3
E02004198,79.8,3.3,16.9
E02004199,84.1,1.8,14.1
E02004200,84.5,2.2,13.3
E02004201,84.7,1.7,13.7
E02004202,84.7,2,13.4
E02004203,82.9,2.7,14.4
E02004204,82.1,1.6,16.3
E02004205,80.1,1.9,18
E02004206,79.1,2.7,18.2
E02004207,80,1.7,18.3
E02004208,85.8,2.1,12
E02004209,80.1,1.4,18.6
E02004210,75.5,2.7,21.8
E02004211,86.8,1.7,11.5
E02004212,80.1,2.6,17.3
E02004213,82.5,2.5,15
E02004214,71.3,4.6,24.1
E02004215,78,3.4,18.7
E02004216,79.6,2.1,18.4
E02004217,77.6,2.6,19.8
E02004218,83.3,1.5,15.2
E02004219,85.1,1.2,13.7
E02004231,79.2,2.6,18.2
E02004232,77.7,1.7,20.6
E02004233,79.7,2.5,17.7
E02004234,81.2,1.6,17.1
E02004235,81,1.8,17.2
E02004273,83.3,2,14.7
E02006840,80.3,4.4,15.3
E02006989,67.3,12.8,19.9
E02006990,67.8,12.4,19.8
