areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02003122,93.2,6.8
E02003123,94.3,5.7
E02003124,93.6,6.4
E02003125,95.7,4.3
E02003126,92.2,7.8
E02003127,94.1,5.9
E02003128,93.1,6.9
E02003129,93,7
E02003130,93.9,6.1
E02003131,95.5,4.5
E02003132,93.1,6.9
E02003133,95.1,4.9
E02003134,92.1,7.9
E02003135,91.7,8.3
E02003136,96.6,3.4
E02003137,91.5,8.5
E02003138,88.6,11.4
E02003139,95.7,4.3
E02003140,96.1,3.9
E02003141,90.2,9.8
E02003142,92,8
E02003143,95.6,4.4
E02003144,82.4,17.6
E02003145,87,13
E02003146,83.9,16.1
E02003147,84.5,15.5
E02003148,76.8,23.2
E02003149,82,18
E02003151,95.6,4.4
E02003152,95.2,4.8
E02003153,94.9,5.1
E02003154,94.5,5.5
E02003155,93.5,6.5
E02003156,91.9,8.1
E02003157,89,11
E02003158,92.5,7.5
E02003159,92.5,7.5
E02003161,83.4,16.6
E02003163,89.3,10.7
E02003164,94.9,5.1
E02003165,94.9,5.1
E02003166,95.1,4.9
E02003167,91.4,8.6
E02003168,95.5,4.5
E02003169,96.6,3.4
E02003170,95.5,4.5
E02003171,96.1,3.9
E02003892,95.5,4.5
E02003893,96.5,3.5
E02003894,94.7,5.3
E02003895,95.8,4.2
E02003896,95.9,4.1
E02003897,95.9,4.1
E02003898,95.1,4.9
E02003899,96.9,3.1
E02003900,95.3,4.7
E02003901,95.8,4.2
E02003902,95.4,4.6
E02003903,94.8,5.2
E02003904,94.9,5.1
E02003905,96.1,3.9
E02003906,95.3,4.7
E02003907,95,5
E02003908,93,7
E02003909,90.9,9.1
E02003910,89.4,10.6
E02003911,95.2,4.8
E02003912,94.8,5.2
E02003913,95,5
E02003914,92.8,7.2
E02003915,91.4,8.6
E02003916,89.5,10.5
E02003917,94.4,5.6
E02003918,96.4,3.6
E02003919,95.1,4.9
E02003920,94.3,5.7
E02003921,96.3,3.7
E02003922,94.1,5.9
E02003923,93.8,6.2
E02003924,94.7,5.3
E02003925,95.7,4.3
E02003926,95.9,4.1
E02003927,93.9,6.1
E02003928,95.8,4.2
E02003929,95.9,4.1
E02003930,95.8,4.2
E02003933,95.6,4.4
E02003934,96.6,3.4
E02003935,91.9,8.1
E02003936,96.2,3.8
E02003937,95.4,4.6
E02003938,95.3,4.7
E02003939,95.4,4.6
E02003940,95.9,4.1
E02003941,91.7,8.3
E02003942,93,7
E02003943,94.1,5.9
E02003944,95.8,4.2
E02003945,94.5,5.5
E02003946,96.1,3.9
E02003947,95,5
E02003948,95.5,4.5
E02003949,91.5,8.5
E02003951,94.2,5.8
E02003952,93.8,6.2
E02003953,95.8,4.2
E02003954,91.1,8.9
E02003955,91.9,8.1
E02003956,95.7,4.3
E02003957,94.7,5.3
E02003958,97.4,2.6
E02003959,96.8,3.2
E02003960,95.6,4.4
E02003961,96.3,3.7
E02003962,95.4,4.6
E02003963,94.6,5.4
E02003964,95.7,4.3
E02004137,93.9,6.1
E02004138,93.2,6.8
E02004139,93.9,6.1
E02004140,90.7,9.3
E02004141,95.7,4.3
E02004142,91.9,8.1
E02004143,95.3,4.7
E02004144,95.7,4.3
E02004145,94.4,5.6
E02004146,95.6,4.4
E02004147,89.8,10.2
E02004148,93.7,6.3
E02004152,78.6,21.4
E02004153,89.1,10.9
E02004154,83,17
E02004155,89.7,10.3
E02004156,71.3,28.7
E02004157,81.8,18.2
E02004158,86.2,13.8
E02004159,88,12
E02004160,92.6,7.4
E02004161,84.7,15.3
E02004162,88.4,11.6
E02004163,91,9
E02004189,93.8,6.2
E02004190,93.6,6.4
E02004191,90.6,9.4
E02004192,94.7,5.3
E02004193,95.3,4.7
E02004194,93.5,6.5
E02004195,91.2,8.8
E02004196,93.7,6.3
E02004197,94.7,5.3
E02004198,94.2,5.8
E02004199,94.4,5.6
E02004200,94.7,5.3
E02004201,94.2,5.8
E02004202,94.8,5.2
E02004203,93.5,6.5
E02004204,95.5,4.5
E02004205,95.7,4.3
E02004206,94,6
E02004207,95.4,4.6
E02004208,94.6,5.4
E02004209,96.6,3.4
E02004210,94.1,5.9
E02004211,95.2,4.8
E02004212,95,5
E02004213,94.6,5.4
E02004214,91.6,8.4
E02004215,93.9,6.1
E02004216,95.4,4.6
E02004217,94.4,5.6
E02004218,96,4
E02004219,95.9,4.1
E02004231,93.6,6.4
E02004232,96,4
E02004233,94.5,5.5
E02004234,95.4,4.6
E02004235,95,5
E02004273,94.3,5.7
E02006840,92.1,7.9
E02006989,79.3,20.7
E02006990,81.9,18.1
