areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02003122,17.1,41.4,8.2,30.4,2.9
E02003123,21.4,45.8,8.2,22.1,2.5
E02003124,21,47.2,8,21.3,2.4
E02003125,25.6,44.9,9.1,18.3,2.2
E02003126,19.1,46.4,8.4,23.9,2.2
E02003127,24.2,47.6,6.9,18.5,2.8
E02003128,22.4,44.6,8,22.1,2.8
E02003129,15.7,44.1,7.8,29.4,3.1
E02003130,22.8,46.9,8.4,19,2.8
E02003131,22,46.9,8.5,19.9,2.6
E02003132,17.6,45.3,8,26.6,2.4
E02003133,18.5,45.2,8.7,25,2.6
E02003134,23.6,45.9,7.2,21.1,2.1
E02003135,20.6,49.1,7.6,20.5,2.1
E02003136,16.9,45,9.3,26.5,2.4
E02003137,12.8,38.3,6.2,40.6,2
E02003138,9.2,39.4,5.5,44.1,1.8
E02003139,11.2,51,7.9,28.2,1.8
E02003140,14.3,45.2,9.2,29.2,2.1
E02003141,16.9,45.9,6.6,28.5,2.2
E02003142,22.9,45,7.6,21.8,2.7
E02003143,14.6,48.5,9,25.3,2.5
E02003144,9.2,51.5,3.2,34.1,1.9
E02003145,16.2,41.2,6.9,33.4,2.3
E02003146,10.7,45.8,4.7,36.6,2.1
E02003147,21.6,43,6.8,25.9,2.8
E02003148,11.6,55.8,4,26.5,2.1
E02003149,16.4,45,5.5,30.9,2.2
E02003151,15.7,42.2,8.6,31,2.5
E02003152,14.5,42.6,8.1,32.5,2.3
E02003153,14.8,45.2,8.5,28.5,2.9
E02003154,22.4,46.7,7.8,20.2,3
E02003155,20.7,43.3,6.9,25.9,3.1
E02003156,16.4,46.6,7.5,27.2,2.4
E02003157,20.8,45.6,6.9,23.8,3
E02003158,22.4,44.5,7.4,22.7,3.1
E02003159,17.8,48.6,7.2,24,2.4
E02003161,22.1,44.5,6.7,23,3.6
E02003163,19.8,37.3,6.8,32.1,3.9
E02003164,18.2,43.5,7.8,27.7,2.7
E02003165,18.5,46.9,7.9,23.6,3.1
E02003166,19.5,49.3,6.7,21.9,2.6
E02003167,26.3,42.6,7.4,20.6,3.1
E02003168,20.1,44.5,8.6,23.6,3.2
E02003169,16.5,41.8,7.7,30.1,3.9
E02003170,19.6,41.9,8.2,27.1,3.2
E02003171,19.6,44.4,8.3,24.2,3.5
E02003892,15.9,40.5,6.4,34.8,2.5
E02003893,16.3,42,5.9,33.5,2.3
E02003894,17.6,45.7,7.9,25.9,2.8
E02003895,16.6,46.9,7,26.8,2.7
E02003896,19.2,45.1,6.4,26.5,2.7
E02003897,11.9,43.9,7.9,34.3,2
E02003898,13.1,38.6,5.8,40.4,2.1
E02003899,20,43.8,9.6,24,2.5
E02003900,15.4,43.7,6.9,31.7,2.3
E02003901,19.5,42.1,7.4,28.5,2.5
E02003902,15.7,47.8,8.4,25.2,2.9
E02003903,13.8,41.9,8,34.4,2
E02003904,17.6,40.8,8.6,30.1,3
E02003905,13.8,45,5.6,33.8,1.9
E02003906,15.2,39.9,6.7,35.5,2.7
E02003907,11.6,37.7,5.6,42.8,2.3
E02003908,14,41.8,5.3,36.7,2.2
E02003909,13.9,42.6,5.8,35.1,2.6
E02003910,12.7,37.2,4.3,43.6,2.2
E02003911,12,39.6,5.6,40.5,2.3
E02003912,13.4,41.8,5.5,36.6,2.6
E02003913,12.5,36,5.5,43.5,2.5
E02003914,12.1,46.7,5.5,33.9,1.9
E02003915,15.9,46.2,5.1,31.2,1.7
E02003916,8.1,43.7,3.7,42.5,2
E02003917,12.6,41.5,7.5,36.3,2.2
E02003918,17.8,41.1,7.6,30.7,2.7
E02003919,20.8,44.8,7,25.1,2.3
E02003920,15.1,46.4,6.6,29.7,2.2
E02003921,18.4,42.3,7.3,29.7,2.4
E02003922,19.4,45.5,7.3,24.8,2.9
E02003923,18.4,49.6,6.6,23.2,2.2
E02003924,22.1,44.6,6.8,23.4,3.1
E02003925,19.9,46.3,8.3,23.3,2.3
E02003926,14.9,41.4,6.6,34.6,2.5
E02003927,11.3,45.4,5.5,35.4,2.4
E02003928,14.6,46.1,6.2,30.8,2.4
E02003929,15.1,41.9,6.7,33.5,2.8
E02003930,15.4,44.3,6.1,31.6,2.5
E02003933,16.8,44.8,6.5,29.2,2.7
E02003934,17,45.6,7.1,28.1,2.2
E02003935,18.8,46.8,6.7,24.5,3.1
E02003936,17.5,42.4,6.5,31.1,2.4
E02003937,15.2,41.6,6.7,33.8,2.7
E02003938,17.5,44,6.5,29.4,2.5
E02003939,15.3,44.3,6.7,31.5,2.2
E02003940,16.6,43.8,6.1,30.7,2.8
E02003941,18.3,47.2,6.7,24.4,3.4
E02003942,20.9,48.3,7.1,20.8,3
E02003943,17,41.4,7,31.8,2.8
E02003944,17.9,45.3,7.2,27,2.6
E02003945,14.7,43,6.8,32.6,2.8
E02003946,15.8,42.9,6.4,31.8,3.1
E02003947,16.4,40,6.2,35.1,2.3
E02003948,17.6,45,7.4,27.3,2.7
E02003949,17.5,41.8,5.5,32.2,2.9
E02003951,16.5,40.2,6.5,33.5,3.2
E02003952,13.9,46.4,6.1,31.2,2.4
E02003953,18.3,45.9,6.6,26.6,2.6
E02003954,14.7,42.6,5.6,34.9,2.2
E02003955,17.4,44.7,7.5,27.7,2.7
E02003956,21.4,48.2,7.7,20.4,2.3
E02003957,19.6,44.5,6.7,26.4,2.8
E02003958,19.7,48,6.9,22.6,2.7
E02003959,19.8,48.3,7.1,21.8,3
E02003960,16.3,41.4,7,32.3,2.9
E02003961,15.9,47.3,7,27.5,2.3
E02003962,16,47.7,6.6,27,2.7
E02003963,20.7,46.9,7,22.5,2.9
E02003964,15.9,41.7,7.2,32.5,2.6
E02004137,14.1,38.8,6.5,38.3,2.3
E02004138,19,40.7,7.8,29,3.4
E02004139,15.3,43.8,7.1,31.3,2.6
E02004140,13.5,36,5.9,40.6,4
E02004141,12.9,40.9,6,37.9,2.2
E02004142,11.3,40,4.8,41.3,2.6
E02004143,17.1,46.5,7.3,26.3,2.7
E02004144,14.2,43.6,7.1,32.3,2.8
E02004145,13.7,35.7,5.8,41.6,3.2
E02004146,17.2,46.7,7.4,26.1,2.6
E02004147,15.1,44.2,6.4,31.1,3.1
E02004148,19.2,37.5,5.8,33.5,3.8
E02004152,6.1,59,2.2,30.9,1.9
E02004153,17.1,45.8,7.1,27.7,2.3
E02004154,10.5,43.1,3.5,40.8,2.1
E02004155,20,40.7,6.1,31,2.2
E02004156,10.2,46.4,2.4,38.4,2.5
E02004157,8.4,28.5,2.9,58.4,1.8
E02004158,16.1,40.1,5.5,35.8,2.4
E02004159,12.2,42.5,5.4,37.7,2.2
E02004160,18.9,42.7,8.5,26.7,3.2
E02004161,23.2,36.6,6,31.3,2.8
E02004162,16.7,40.3,7.1,33.2,2.6
E02004163,14.3,37.2,4.9,41.6,2
E02004189,13.1,43,7.4,33.6,2.9
E02004190,12.4,35.6,5,44.8,2.3
E02004191,13.1,34.7,4.7,45.5,1.9
E02004192,12.3,38.3,5.4,41.5,2.5
E02004193,13.2,43.7,6.6,34.2,2.3
E02004194,10.3,36.6,5,46,2.2
E02004195,16.9,39.1,7.4,32.3,4.3
E02004196,11,36.9,4.8,45.2,2.1
E02004197,10.7,38.3,5.9,43,2.1
E02004198,16.2,40.5,6.8,33.1,3.3
E02004199,14.5,40,5.9,37.5,2.1
E02004200,14.1,40.2,6.4,37.2,2.1
E02004201,15.2,37.6,5.8,38.6,2.8
E02004202,13.3,40.5,5.7,38.6,1.9
E02004203,11.8,35.8,5.3,44.8,2.2
E02004204,13.8,40.8,5.7,37.2,2.4
E02004205,17,44.7,7.2,28.2,2.9
E02004206,18.3,40.3,7.3,31,3.2
E02004207,15.7,42.4,6.8,32.3,2.8
E02004208,12.8,41.4,6.4,36.5,3
E02004209,17,47.5,7.5,25,2.9
E02004210,19.9,43.8,6.6,26.5,3.2
E02004211,13,38.2,6.7,38.7,3.4
E02004212,15.4,46.8,6.4,28.9,2.5
E02004213,12.2,46.6,6.5,32.1,2.7
E02004214,19.4,47.9,6.3,24,2.4
E02004215,17.4,43.9,6.8,29.2,2.7
E02004216,19.5,44.1,7.8,25.5,3.2
E02004217,16.9,38.3,5.7,36.6,2.4
