areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02003122,89.1,4.4,6.5
E02003123,87,13,0
E02003124,76.5,23.5,0
E02003125,77.5,22.4,0.1
E02003126,86.7,13.2,0.1
E02003127,84.9,15,0.1
E02003128,78.9,21.1,0
E02003129,90.5,9.5,0
E02003130,85.5,14.4,0.1
E02003131,93,6.6,0.4
E02003132,86.2,13.8,0
E02003133,95.8,4.2,0
E02003134,85.6,14.4,0
E02003135,85.6,14.4,0
E02003136,88,12,0
E02003137,85.5,14.5,0
E02003138,81.9,18.1,0
E02003139,98.5,1.5,0
E02003140,96.1,3.8,0.1
E02003141,64.4,35.5,0.1
E02003142,83.6,16.1,0.3
E02003143,87.2,12.8,0
E02003144,46.2,53.8,0
E02003145,64.5,35.5,0
E02003146,63.3,36.6,0.1
E02003147,33.3,66.6,0.1
E02003148,16.2,83.7,0
E02003149,49.9,50,0.1
E02003151,95.6,4.4,0
E02003152,89.5,9.5,1
E02003153,91.7,8.3,0
E02003154,86.4,13.6,0
E02003155,65.7,34.1,0.1
E02003156,88.3,11.4,0.2
E02003157,59.8,40.2,0
E02003158,60.6,39.4,0
E02003159,71.8,28,0.1
E02003161,29.3,70.7,0.1
E02003163,40,60,0
E02003164,79.2,20.7,0
E02003165,87.1,12.8,0
E02003166,84.2,12.8,3
E02003167,35.2,64.7,0.1
E02003168,76.6,22.6,0.9
E02003169,94.7,5,0.3
E02003170,79.1,20.9,0
E02003171,85.8,14,0.2
E02003892,92.1,3.3,4.6
E02003893,96.6,2.3,1.1
E02003894,90.2,9.1,0.8
E02003895,93.2,6.5,0.3
E02003896,81.4,18.5,0
E02003897,96.9,2.8,0.3
E02003898,94.3,4.9,0.8
E02003899,87.9,12,0.1
E02003900,83.7,16.2,0.1
E02003901,87.6,8.5,3.9
E02003902,79.1,20.3,0.6
E02003903,90.4,8.3,1.3
E02003904,76.7,22.7,0.7
E02003905,94.8,4.2,1
E02003906,81.6,17.5,1
E02003907,91.8,6.2,2
E02003908,83.4,16.6,0.1
E02003909,88.5,10.3,1.2
E02003910,67.7,32.3,0
E02003911,95.1,4.1,0.8
E02003912,91.8,7.9,0.3
E02003913,93.7,5.2,1.2
E02003914,77.1,22,0.9
E02003915,71.4,28.5,0.1
E02003916,59.7,39.7,0.6
E02003917,88.7,9,2.3
E02003918,92.5,6.9,0.5
E02003919,76.6,21,2.4
E02003920,85.7,14.2,0.1
E02003921,95.8,3.2,1
E02003922,86.4,12.8,0.8
E02003923,81.6,14.8,3.6
E02003924,80.5,18.4,1.1
E02003925,90.6,8.8,0.6
E02003926,95,2.8,2.2
E02003927,91.1,4.5,4.4
E02003928,83.8,13.3,2.9
E02003929,90.2,7.5,2.3
E02003930,93.3,4,2.7
E02003933,89,8.3,2.7
E02003934,91.6,7.1,1.3
E02003935,78,21.9,0
E02003936,96.1,1.9,2
E02003937,92.4,6.1,1.5
E02003938,90.4,7.4,2.3
E02003939,80.7,19.2,0.1
E02003940,95.4,2.5,2.1
E02003941,83.3,16.6,0.1
E02003942,83.2,16.2,0.5
E02003943,78.8,20.9,0.3
E02003944,87.7,11.6,0.7
E02003945,87.3,11.1,1.6
E02003946,92.6,5.5,1.9
E02003947,94.9,4.2,1
E02003948,77,21.1,2
E02003949,57.5,42.3,0.2
E02003951,86.3,13.6,0.1
E02003952,82.2,16.8,1
E02003953,87,6.1,6.9
E02003954,55.2,43.8,1
