areacd,disability_3a-001,disability_3a-002
E02003122,20,80
E02003123,23.1,76.9
E02003124,23,77
E02003125,27.3,72.7
E02003126,20.4,79.6
E02003127,25.5,74.5
E02003128,25.4,74.6
E02003129,20,80
E02003130,24.6,75.4
E02003131,22.2,77.8
E02003132,20.4,79.6
E02003133,20.6,79.4
E02003134,23.6,76.4
E02003135,23.5,76.5
E02003136,21.2,78.8
E02003137,18.4,81.6
E02003138,14.8,85.2
E02003139,14.8,85.2
E02003140,18,82
E02003141,23.9,76.1
E02003142,23.6,76.4
E02003143,19.5,80.5
E02003144,21.6,78.4
E02003145,22.1,77.9
E02003146,19.5,80.5
E02003147,24.1,75.9
E02003148,21.5,78.5
E02003149,22.6,77.4
E02003151,20.6,79.4
E02003152,18.9,81.1
E02003153,19.4,80.6
E02003154,25.7,74.3
E02003155,26.2,73.8
E02003156,19.4,80.6
E02003157,24.1,75.9
E02003158,24.3,75.7
E02003159,21.5,78.5
E02003161,27.7,72.3
E02003163,27.1,72.9
E02003164,21.3,78.7
E02003165,22.1,77.9
E02003166,23.1,76.9
E02003167,30.4,69.6
E02003168,22.4,77.6
E02003169,22.8,77.2
E02003170,24.8,75.2
E02003171,24.6,75.4
E02003892,22.2,77.8
E02003893,20.6,79.4
E02003894,22.9,77.1
E02003895,21.4,78.6
E02003896,26.4,73.6
E02003897,17.3,82.7
E02003898,19.4,80.6
E02003899,24.8,75.2
E02003900,20.1,79.9
E02003901,22.4,77.6
E02003902,23.2,76.8
E02003903,20.6,79.4
E02003904,21.7,78.3
E02003905,18.3,81.7
E02003906,19.3,80.7
E02003907,18.3,81.7
E02003908,19.7,80.3
E02003909,20.9,79.1
E02003910,20.7,79.3
E02003911,18.2,81.8
E02003912,18.8,81.2
E02003913,19.5,80.5
E02003914,20.6,79.4
E02003915,24,76
E02003916,19.9,80.1
E02003917,17,83
E02003918,21.4,78.6
E02003919,24.2,75.8
E02003920,20.2,79.8
E02003921,21.2,78.8
E02003922,21.8,78.2
E02003923,22.9,77.1
E02003924,25.8,74.2
E02003925,23.9,76.1
E02003926,18.7,81.3
E02003927,19.4,80.6
E02003928,18.3,81.7
E02003929,19.6,80.4
E02003930,22.2,77.8
E02003933,20.5,79.5
E02003934,20.8,79.2
E02003935,21.5,78.5
E02003936,20.8,79.2
E02003937,19.6,80.4
E02003938,19.1,80.9
E02003939,21.2,78.8
E02003940,20.3,79.7
E02003941,21.5,78.5
E02003942,23,77
E02003943,21.8,78.2
E02003944,21.4,78.6
E02003945,20.6,79.4
E02003946,21.1,78.9
E02003947,23,77
E02003948,26.2,73.8
E02003949,27.6,72.4
E02003951,23.6,76.4
E02003952,17.6,82.4
E02003953,20,80
E02003954,21,79
E02003955,18.9,81.1
E02003956,21.8,78.2
E02003957,21.4,78.6
E02003958,21,79
E02003959,22.5,77.5
E02003960,21.9,78.1
E02003961,19.3,80.7
E02003962,21.9,78.1
E02003963,26.7,73.3
E02003964,20.5,79.5
E02004137,17.1,82.9
E02004138,25.1,74.9
E02004139,21,79
E02004140,23.8,76.2
E02004141,17.9,82.1
E02004142,16.1,83.9
E02004143,20.3,79.7
E02004144,19.8,80.2
E02004145,22.1,77.9
E02004146,20.3,79.7
E02004147,20.4,79.6
E02004148,25.4,74.6
E02004152,16.1,83.9
E02004153,18.3,81.7
E02004154,16.6,83.4
E02004155,20.8,79.2
E02004156,20.8,79.2
E02004157,17.1,82.9
E02004158,18.8,81.2
E02004159,14.2,85.8
E02004160,20,80
E02004161,21.6,78.4
E02004162,19.4,80.6
E02004163,19.5,80.5
E02004189,17.2,82.8
E02004190,19.1,80.9
E02004191,23.2,76.8
E02004192,18.5,81.5
E02004193,17.1,82.9
E02004194,16.7,83.3
E02004195,21.6,78.4
E02004196,17.8,82.2
E02004197,17.6,82.4
E02004198,21,79
E02004199,19.8,80.2
E02004200,18.3,81.7
E02004201,18.4,81.6
E02004202,17.9,82.1
E02004203,17.8,82.2
E02004204,18.5,81.5
E02004205,21.5,78.5
E02004206,25.6,74.4
E02004207,18.8,81.2
E02004208,19.9,80.1
E02004209,19.6,80.4
E02004210,25.8,74.2
E02004211,19,81
E02004212,18.3,81.7
E02004213,17.9,82.1
E02004214,23.1,76.9
E02004215,22.6,77.4
E02004216,21.5,78.5
E02004217,21.5,78.5
E02004218,20.6,79.4
E02004219,20.4,79.6
E02004231,20.9,79.1
E02004232,18.3,81.7
E02004233,21.3,78.7
E02004234,21.6,78.4
E02004235,21.6,78.4
E02004273,20.9,79.1
E02006840,20.1,79.9
E02006989,25.8,74.2
E02006990,26.7,73.3
