areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02003122,93.2,4.5,0.7,0.9,0.7
E02003123,94.4,4,0.8,0.4,0.4
E02003124,93.6,4.2,1.2,0.4,0.6
E02003125,95.7,3.2,0.7,0.3,0.1
E02003126,92.2,4.8,1.2,0.7,1.1
E02003127,94.2,4.1,0.9,0.4,0.4
E02003128,93.1,4.5,1.3,0.6,0.6
E02003129,93,5,0.9,0.5,0.7
E02003130,93.9,4.2,1,0.6,0.3
E02003131,95.5,3.3,0.7,0.3,0.3
E02003132,93.1,4.7,1.2,0.5,0.6
E02003133,95.1,3.8,0.7,0.3,0.2
E02003134,92.1,4.9,1.9,0.6,0.5
E02003135,91.7,5.1,1.2,1.2,0.8
E02003136,96.6,2.7,0.3,0.2,0.1
E02003137,91.5,6,1.4,0.7,0.5
E02003138,88.6,7.1,2.1,1,1.2
E02003139,95.7,2.9,0.9,0.4,0.1
E02003140,96.1,3,0.6,0.3,0.2
E02003141,90.2,5.5,2.2,1.4,0.8
E02003142,91.9,5,1.7,0.9,0.5
E02003143,95.6,3.2,0.6,0.5,0.1
E02003144,82.4,7.5,3.2,2.9,4.1
E02003145,87,7.3,2.3,2.1,1.3
E02003146,83.9,7.5,3.3,2.5,2.8
E02003147,84.5,8.3,4.2,1.9,1.1
E02003148,76.8,8.7,5,4,5.6
E02003149,82,7.9,4.4,3.1,2.5
E02003151,95.7,3,0.5,0.3,0.5
E02003152,95.2,3.5,0.8,0.4,0.2
E02003153,94.9,3.7,0.7,0.5,0.2
E02003154,94.5,3.9,0.9,0.5,0.2
E02003155,93.5,4.8,0.8,0.6,0.3
E02003156,91.9,5.2,1.1,0.7,1.1
E02003157,89,6.6,2.4,1.1,0.9
E02003158,92.5,4.6,1.4,1.1,0.4
E02003159,92.5,4,2,0.9,0.6
E02003161,83.4,8.8,3.6,1.9,2.4
E02003163,89.3,7.2,1.2,1.1,1.2
E02003164,94.9,3.8,0.5,0.6,0.2
E02003165,94.9,4,0.4,0.3,0.3
E02003166,95.1,3.4,0.8,0.4,0.3
E02003167,91.4,5.2,1.6,0.9,0.9
E02003168,95.5,3.3,0.8,0.3,0.1
E02003169,96.5,3,0.2,0,0.2
E02003170,95.5,3.3,0.4,0.3,0.5
E02003171,96.1,3.2,0.3,0.2,0.2
E02003892,95.5,3.5,0.5,0.3,0.2
E02003893,96.5,2.7,0.3,0.2,0.2
E02003894,94.7,3.3,0.6,1,0.4
E02003895,95.7,3.2,0.6,0.3,0.1
E02003896,95.9,3.1,0.6,0.3,0.1
E02003897,95.9,3.2,0.3,0.1,0.4
E02003898,95.1,3.7,0.5,0.3,0.4
E02003899,96.9,2.5,0.2,0.2,0.2
E02003900,95.3,3.1,0.7,0.4,0.4
E02003901,95.8,3,0.4,0.3,0.4
E02003902,95.3,3.1,0.6,0.5,0.4
E02003903,94.8,3.8,0.8,0.3,0.3
E02003904,94.9,3.7,0.8,0.4,0.3
E02003905,96.1,3.1,0.3,0.2,0.3
E02003906,95.3,3.2,0.7,0.3,0.4
E02003907,95,3.3,0.5,0.6,0.7
E02003908,93,4.8,0.9,0.7,0.7
E02003909,90.9,4.5,1.2,1.1,2.3
E02003910,89.4,5.4,1.7,1.4,2.1
E02003911,95.2,3.8,0.5,0.3,0.3
E02003912,94.7,3.7,0.6,0.5,0.5
E02003913,95,3.4,0.8,0.4,0.4
E02003914,92.8,3.6,1,1.2,1.4
E02003915,91.3,4,1.1,2.1,1.5
E02003916,89.5,5,1.5,1.6,2.4
E02003917,94.4,4,0.8,0.5,0.4
E02003918,96.4,2.7,0.4,0.3,0.2
E02003919,95.1,3,0.9,0.5,0.4
E02003920,94.4,3.5,1.1,0.6,0.4
E02003921,96.3,2.6,0.4,0.5,0.1
