areacd,heating_type_3a-001,heating_type_3a-002
E00089297,0.8,99.2
E00089298,2.2,97.8
E00089299,1.4,98.6
E00089300,7.7,92.3
E00089399,0,100
E00089408,1.3,98.7
E00089410,0.5,99.5
E00138679,1,99
E00138692,3.5,96.5
E00138696,1.7,98.3
E00138697,1.8,98.2
E00138698,0,100
E00138699,2.3,97.7
E00138700,0,100
E00138701,0.7,99.3
E00138702,3.2,96.8
E00138703,1.8,98.2
E00138704,0.8,99.2
E00138705,3.1,96.9
E00138706,0,100
E00138707,2.1,97.9
E00138708,1.5,98.5
E00138709,1.4,98.6
E00138710,2,98
E00138711,2.4,97.6
E00138712,0.9,99.1
E00138713,0,100
E00138714,0,100
E00138715,0,100
E00138716,0.8,99.2
E00138717,0.6,99.4
E00138718,1.4,98.6
E00138719,1.8,98.2
E00138720,0.7,99.3
E00138721,0,100
E00138722,0,100
E00138723,0,100
E00138724,0,100
E00138725,0,100
E00138726,0.9,99.1
E00138727,0,100
E00138728,2.5,97.5
E00138729,0,100
E00138730,0.8,99.2
E00138731,0,100
E00138732,0,100
E00138733,0,100
E00138819,1.6,98.4
E00138820,0,100
E00138821,1.9,98.1
E00138822,0.8,99.2
E00138823,0.8,99.2
E00138824,0.7,99.3
E00138825,0,100
E00138833,1.4,98.6
E00138834,0.6,99.4
E00138835,5.6,94.4
E00138836,1.4,98.6
E00138837,0.7,99.3
E00138838,0,100
E00138839,2.1,97.9
E00138869,0,100
E00138870,1.3,98.7
E00144833,0.8,99.2
E00144834,0,100
E00144835,0,100
E00144836,2.1,97.9
E00144837,0,100
E00144838,0.5,99.5
E00144839,0.7,99.3
E00144840,0,100
E00144841,0,100
E00144843,0.6,99.4
E00144844,1.2,98.8
E00144845,0,100
E00144848,0,100
E00144849,2.2,97.8
E00144850,2.5,97.5
E00144857,1.3,98.7
E00144858,1.7,98.3
E00144859,0,100
E00144860,0,100
E00144861,0,100
E00144863,0.8,99.2
E00144864,0,100
E00144865,0,100
E00144866,0,100
E00144867,0,100
E00144869,0.8,99.2
E00144870,0.8,99.2
E00144871,0.8,99.2
E00144872,0.8,99.2
E00144873,0.8,99.2
E00144874,0,100
E00144888,0.9,99.1
E00144889,1,99
E00144891,0,100
E00144892,0.4,99.6
E00144991,1.5,98.5
E00144992,0.8,99.2
E00144993,0.9,99.1
E00144994,0.8,99.2
E00144995,0,100
E00144996,0.8,99.2
E00144997,1.9,98.1
E00144998,2.3,97.7
E00144999,0,100
E00145000,0,100
E00145001,0,100
E00145002,0,100
E00145003,0.9,99.1
E00145004,3.7,96.3
E00145005,0,100
E00145006,0,100
E00145007,0,100
E00145008,0,100
E00145009,1.5,98.5
E00145010,0,100
E00145011,2.8,97.2
E00145012,1.9,98.1
E00145013,1.4,98.6
E00145014,1.6,98.4
E00145015,2.7,97.3
E00145016,0.8,99.2
E00145017,1.7,98.3
E00145018,0.7,99.3
E00145019,0,100
E00145021,1,99
E00145022,0,100
E00145023,0,100
E00145024,1,99
E00145025,0,100
E00145026,1.5,98.5
E00145027,0,100
E00145028,0.7,99.3
E00145029,2.4,97.6
E00145030,0.8,99.2
E00145031,0.8,99.2
E00145032,0,100
E00145033,2.4,97.6
E00145034,0.8,99.2
E00145035,2.4,97.6
E00145036,2,98
E00145037,0.6,99.4
E00145039,0,100
E00145040,1.7,98.3
E00145041,0.9,99.1
E00145042,0.9,99.1
E00145043,0.8,99.2
E00145044,2.1,97.9
E00145045,0.8,99.2
E00145046,0.8,99.2
E00145047,1.1,98.9
E00145048,2.2,97.8
E00145049,0.8,99.2
E00145050,1.5,98.5
E00145051,2.4,97.6
E00145052,3.5,96.5
E00145053,3.6,96.4
E00145054,2.7,97.3
E00145055,0,100
E00145056,1.9,98.1
E00145057,1.4,98.6
E00145058,2.5,97.5
E00145060,2.1,97.9
E00145061,2.3,97.7
E00145062,0.8,99.2
E00145063,0,100
E00145064,1.4,98.6
E00145065,1.9,98.1
E00145066,1.6,98.4
E00145067,1.6,98.4
