areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00089048,88.1,3.7,8.2
E00089054,87.7,1.4,10.9
E00089055,90.3,1.1,8.5
E00089056,82.7,4.3,13
E00089244,91.3,3.9,4.7
E00089245,86.6,0.3,13.1
E00089256,92,2.7,5.3
E00089257,77.9,7.6,14.5
E00145147,68.2,23.8,7.9
E00145148,86.6,6.1,7.3
E00145149,80.8,4.6,14.6
E00145150,83.3,13,3.8
E00145151,66.9,14.8,18.3
E00145152,65.9,22.7,11.4
E00145153,87.5,7.8,4.7
E00145154,73.4,15.5,11.1
E00145155,64.1,29.5,6.5
E00145156,74.8,10.8,14.3
E00145157,62.9,26.8,10.3
E00145158,69.6,20.7,9.7
E00145159,88.6,3.3,8.1
E00145160,77.7,9.2,13.1
E00145161,76.1,6,17.9
E00145162,67.1,16,16.9
E00145163,74.9,13.7,11.5
E00145164,87.4,4.5,8.2
E00145165,81.7,10.9,7.5
E00145166,73.4,18,8.6
E00145167,77.7,14.2,8.1
E00145168,74.3,7.4,18.3
E00145169,76.8,10.6,12.6
E00145170,73.4,20.1,6.6
E00145171,83.4,7.1,9.5
E00145172,79,17.4,3.7
E00145173,69.7,13.9,16.4
E00145174,76.4,15.3,8.2
E00145175,81,9.5,9.5
E00145176,81.2,8.3,10.5
E00145177,66.8,10.8,22.4
E00145178,65.4,11.3,23.3
E00145179,75.4,11.7,12.9
E00145180,64,27.3,8.7
E00145181,80.1,8.9,11
E00145182,67.3,18.3,14.4
E00145183,72.9,15.5,11.5
E00145184,76.4,10.4,13.1
E00145185,78,10.9,11.1
E00145186,76.3,13,10.7
E00145187,78,15.1,6.9
E00145188,75.3,14.7,10
E00145189,75.6,16.3,8.1
E00145190,77.7,9.9,12.4
E00145194,88.5,3,8.5
E00145211,86.8,6.5,6.7
E00145212,90.6,4,5.4
E00145213,84.9,5.9,9.1
E00145215,85.1,7.5,7.5
E00145216,92.6,4.1,3.3
E00145249,85.4,7,7.6
E00145250,82.7,8.9,8.5
E00145251,85.4,7.1,7.5
E00145252,70.6,17.3,12.1
E00145253,67.6,22.1,10.3
E00145254,75.8,10.6,13.6
E00145255,86.3,4.8,8.9
E00145256,78.4,6.2,15.5
E00145257,83.4,8.3,8.3
E00145258,79.5,15,5.5
E00145259,76.8,11.4,11.8
E00145260,76.8,11.2,12.1
E00145261,75.9,13.5,10.6
E00145262,78.9,5.9,15.2
E00145263,82.7,7.7,9.6
E00145264,82.4,10.9,6.8
E00145265,64,21.6,14.5
E00145266,35.7,50.2,14.1
E00145267,68.8,21.8,9.4
E00145268,61,23,15.9
E00145269,58.5,20,21.5
E00145270,53.4,28.2,18.4
E00145271,58.7,23.5,17.7
E00145272,69.3,13.5,17.3
E00145273,67.1,21,11.9
E00145274,70.5,10.5,19
E00145275,59.3,32.9,7.8
E00145278,68.2,23.5,8.3
E00145279,64.8,18.2,17
E00145280,79.8,11.3,8.9
E00145281,81.5,13.6,4.9
E00145282,68.9,26.3,4.7
E00145283,62.8,15.8,21.4
E00145284,66.7,19.4,13.9
E00145285,73.1,11.1,15.7
E00145286,62.8,26.3,11
E00145287,45.4,42.5,12.1
E00145288,59.1,13.7,27.2
E00145289,59.5,13.5,27
E00145290,63.5,23.2,13.3
E00145291,69.2,11.8,19
E00145292,68,14.4,17.6
E00145293,64.5,10.4,25.1
E00145294,68.4,11.4,20.3
E00145295,56,14.5,29.5
E00145296,62,18.4,19.6
E00145297,59.3,25.1,15.7
E00145298,64.4,25.3,10.4
E00145299,62.6,20.2,17.2
E00145300,64.5,13.2,22.3
E00145302,30,68.2,1.9
E00145303,75.7,23.6,0.7
E00145308,49.7,39.6,10.6
E00145309,66.1,19.7,14.2
E00145310,60.4,18.1,21.5
E00145311,73.2,19.9,6.8
E00145312,68.7,21.7,9.5
E00145313,75.3,20,4.7
E00145314,67,25.2,7.8
E00145315,88.3,9.5,2.2
E00145316,65.5,22.5,12
E00145317,60.9,29,10.1
E00145318,56.2,38.4,5.4
E00145319,56.6,26,17.4
E00145321,77.2,17.3,5.6
E00145322,62.9,23.8,13.3
E00145323,73.6,12.1,14.3
E00145324,64.9,21,14.1
E00145325,66.9,22.1,11
E00145326,65.5,19.4,15.1
E00145327,72.5,16.1,11.3
E00145328,67.4,25.7,6.9
E00145329,59.3,36,4.7
E00145330,58.6,34.3,7.2
E00145331,54.9,26.5,18.5
E00145332,65.7,25.9,8.4
E00145333,55.8,38.6,5.6
E00145334,57.6,26.2,16.3
E00145335,70.5,25.3,4.2
E00145336,54.8,35.5,9.6
E00145338,60.8,29,10.2
E00145339,65.1,14.6,20.3
E00145340,67.1,25.1,7.9
E00145341,56.9,35,8
E00145342,67.1,27.1,5.7
E00145343,65.1,24.1,10.8
E00145344,74.7,18,7.3
E00145345,53.8,40.5,5.7
E00145346,69.7,15.9,14.4
E00145349,58.1,35.2,6.6
E00145350,57.6,25.5,16.9
E00145351,61.9,31.6,6.5
E00145352,75.8,19.4,4.8
E00145356,73.7,20.4,5.9
E00145357,67.5,25.1,7.5
E00145359,69.9,23.7,6.4
E00145360,70.2,21.7,8
E00145361,71.8,20.9,7.3
E00145362,72.1,17.9,10
E00145363,51.2,43.1,5.7
E00145364,75.4,13.3,11.3
E00145365,80.3,14.1,5.6
E00145366,70.1,23.7,6.2
E00145367,61.8,30.9,7.3
E00145368,67.8,24.8,7.3
E00145369,67.4,25.9,6.6
E00145370,85.8,11.5,2.8
E00145371,76.7,18.8,4.6
E00145372,80.1,17.2,2.7
E00145373,25.9,72.7,1.4
E00145374,63.2,35.2,1.6
E00145375,71.5,19.3,9.2
E00145377,79,18.3,2.7
E00145378,67.1,29.9,3
E00145379,79.8,16.9,3.3
E00145381,60.3,21.8,17.9
E00145382,64,31.6,4.3
E00145383,60.2,30.1,9.8
E00145384,57.4,36.5,6.1
E00145385,70.8,18.1,11.1
E00145386,72.9,16.7,10.4
E00145387,60.5,22,17.5
E00145388,56.1,36.3,7.6
E00145389,69.7,26.1,4.1
E00145390,76.4,17.5,6.1
E00145391,71.8,15.8,12.4
E00145392,68.6,28,3.4
E00145393,75.8,19.5,4.7
E00145395,69.6,23.2,7.2
E00145396,64.7,18.3,17
E00145397,70.5,21.8,7.8
E00145398,68.2,23.6,8.2
E00145399,63.6,25.7,10.7
E00145400,72.3,24.5,3.2
E00145401,64.5,25.5,10
E00145402,68.4,21.6,10
E00145403,60.4,15.7,23.9
E00145404,64.6,31.9,3.5
E00145405,67.6,27.4,5
E00145406,65.3,16,18.8
E00145407,71.4,25,3.6
E00145408,66.3,31.7,2
E00145409,70.8,25.9,3.3
E00145410,84,12.6,3.4
E00145411,67.9,25.4,6.7
E00145412,80.4,16.4,3.2
E00145413,73.4,21.9,4.7
E00145414,74.4,20,5.6
E00145415,68.8,27.4,3.8
E00145416,72.5,24.7,2.7
E00145417,75.3,23.7,1
E00145420,64.8,20.5,14.8
E00145421,65.7,22.8,11.5
E00145422,64.1,20.8,15.1
E00145423,81.8,10.3,7.9
E00145424,83,12.5,4.5
E00145425,72.2,24.7,3.1
E00145426,68.7,26.4,5
E00145427,58.5,39.1,2.4
E00145428,70.2,26.4,3.4
E00145429,86.7,10.4,2.9
E00145430,77.8,17,5.2
E00145431,69.9,26.8,3.3
E00145432,79.2,18,2.8
E00145433,72.5,25.3,2.2
E00145434,76.5,16.7,6.8
E00145435,77.6,11.7,10.7
E00145436,75.7,16.1,8.2
E00145437,68.6,22,9.4
E00145438,62.2,36,1.8
E00145439,76.5,19.7,3.7
E00145440,67.2,23.6,9.2
E00145441,75,20.7,4.3
E00145442,79.9,16.2,4
E00145443,48.2,48.2,3.6
E00145444,75.5,21.8,2.7
E00145446,70.5,24,5.5
E00145447,49.8,44.9,5.3
E00145448,56.4,40.3,3.3
E00145449,68.4,28.5,3.1
E00145450,66.8,23.7,9.5
E00145451,58.6,34.6,6.8
E00145452,64.2,27.2,8.6
E00145454,54.6,43.7,1.7
E00145455,67.5,30.4,2.1
E00145456,52.6,39.4,8
E00145457,75.3,15.3,9.4
E00145458,69.4,27.4,3.1
E00145459,55.9,34.7,9.4
E00145460,48.2,40.9,10.8
E00145461,67.3,15.4,17.4
E00145462,62.8,25.6,11.6
E00145463,66.3,27,6.7
E00145464,74.5,13.5,12.1
E00145465,50,12.4,37.6
E00145466,68.9,20.5,10.6
E00145467,65.4,23.4,11.3
E00145468,68.4,17.2,14.4
E00145469,68.1,15,16.9
E00145470,76,13.9,10.1
E00145471,66.5,25.2,8.3
E00145472,65.7,26,8.3
E00145473,66.9,11.1,22
E00145474,57.4,23.3,19.3
E00145475,56.5,15.6,27.9
E00145476,80.8,13.5,5.7
E00145477,72.7,16.3,10.9
E00145478,65.7,27,7.3
E00145479,75.2,20.5,4.2
E00145481,66.7,27.6,5.8
E00145482,68.5,24.6,6.9
E00145483,61.9,22.3,15.8
E00145484,65.3,21.7,13
E00145485,63.5,17.3,19.2
E00145486,61.3,31.1,7.7
E00145487,71.4,23.5,5.1
E00145488,61.5,34.1,4.4
E00145489,53.1,28.6,18.2
E00145490,67.5,25.6,7
E00145491,52.8,42.4,4.8
E00145492,62.3,31,6.7
E00145493,60.5,24.3,15.1
E00145494,74.3,24.7,1
E00145495,51.2,40.1,8.7
E00145497,65.6,23.9,10.4
E00145498,64.2,22.8,13
E00145499,63.1,30.3,6.7
E00145500,72.6,24.9,2.5
E00145501,66.9,26.8,6.3
E00145502,85.8,11.9,2.3
E00145503,73.2,17.1,9.7
E00145504,79,20.2,0.8
E00145506,74.6,12.5,12.9
E00145507,69.4,21.3,9.3
E00145508,72,18.6,9.5
E00145509,49.3,40.4,10.3
E00145510,61.6,16.4,21.9
E00145511,73.5,16.2,10.3
E00145512,84.6,14.3,1.1
E00145514,78.2,13.6,8.2
E00145515,71,24.7,4.4
E00145516,70.7,22.2,7.1
E00145518,77.6,20.8,1.7
E00145522,79.2,20.1,0.7
E00145523,63.7,31.1,5.2
E00145524,64.6,33.2,2.2
E00145525,61.3,35.5,3.2
E00145526,80.1,18.8,1
E00145527,78.7,15.7,5.6
E00145528,83.9,14.2,1.8
E00145529,46.8,43.9,9.3
E00145530,77.7,18,4.2
E00145531,64.9,21,14.1
E00145532,69,3.7,27.3
E00145533,65.9,11.8,22.3
E00145534,66.2,22.8,11
E00145535,66.4,8.4,25.2
E00145536,75.5,21.6,2.9
