areacd,sex-001,sex-002
E00089048,48.5,51.5
E00089054,50.7,49.3
E00089055,50.9,49.1
E00089056,50.2,49.8
E00089244,50.8,49.2
E00089245,47.8,52.2
E00089256,51.8,48.2
E00089257,51.4,48.6
E00145147,48.8,51.2
E00145148,55.5,44.5
E00145149,55.4,44.6
E00145150,49.7,50.3
E00145151,53.6,46.4
E00145152,52.4,47.6
E00145153,52,48
E00145154,49.7,50.3
E00145155,49.5,50.5
E00145156,46.5,53.5
E00145157,49.1,50.9
E00145158,53.2,46.8
E00145159,47.6,52.4
E00145160,52.8,47.2
E00145161,53.7,46.3
E00145162,51,49
E00145163,45,55
E00145164,53.9,46.1
E00145165,47.4,52.6
E00145166,50.9,49.1
E00145167,46.2,53.8
E00145168,51.2,48.8
E00145169,51.9,48.1
E00145170,49.7,50.3
E00145171,54.1,45.9
E00145172,50.2,49.8
E00145173,48.3,51.7
E00145174,49,51
E00145175,55,45
E00145176,46.3,53.7
E00145177,53.1,46.9
E00145178,48.8,51.2
E00145179,49.1,50.9
E00145180,49.4,50.6
E00145181,49.5,50.5
E00145182,52.4,47.6
E00145183,52.3,47.7
E00145184,48.3,51.7
E00145185,52.2,47.8
E00145186,51.3,48.7
E00145187,48.5,51.5
E00145188,52,48
E00145189,53.4,46.6
E00145190,50.2,49.8
E00145194,51.2,48.8
E00145211,52.5,47.5
E00145212,50,50
E00145213,48.9,51.1
E00145215,57,43
E00145216,51.6,48.4
E00145249,50.2,49.8
E00145250,51.4,48.6
E00145251,51.2,48.8
E00145252,49.7,50.3
E00145253,52.6,47.4
E00145254,49.7,50.3
E00145255,50.5,49.5
E00145256,55.7,44.3
E00145257,51.9,48.1
E00145258,51.3,48.7
E00145259,49.8,50.2
E00145260,51.6,48.4
E00145261,48.2,51.8
E00145262,53,47
E00145263,50.6,49.4
E00145264,56,44
E00145265,52.6,47.4
E00145266,38.8,61.2
E00145267,47.1,52.9
E00145268,53.7,46.3
E00145269,47.8,52.2
E00145270,44.5,55.5
E00145271,54.3,45.7
E00145272,47.8,52.2
E00145273,51.2,48.8
E00145274,48.6,51.4
E00145275,45.6,54.4
E00145278,52.8,47.2
E00145279,48.5,51.5
E00145280,51.3,48.7
E00145281,49.3,50.7
E00145282,50.3,49.7
E00145283,53.9,46.1
E00145284,51,49
E00145285,50.2,49.8
E00145286,46.1,53.9
E00145287,48.4,51.6
E00145288,50.6,49.4
E00145289,55,45
E00145290,49.9,50.1
E00145291,48.4,51.6
E00145292,55.2,44.8
E00145293,53.1,46.9
E00145294,49.5,50.5
E00145295,48.9,51.1
E00145296,51.3,48.7
E00145297,50.4,49.6
E00145298,48.7,51.3
E00145299,49.6,50.4
E00145300,49.9,50.1
E00145302,49.8,50.2
E00145303,48.8,51.2
E00145308,45.3,54.7
E00145309,48.2,51.8
E00145310,52.3,47.7
E00145311,51.9,48.1
E00145312,53.8,46.2
E00145313,47.2,52.8
E00145314,55,45
E00145315,53.4,46.6
E00145316,51.6,48.4
E00145317,55.8,44.2
E00145318,52.4,47.6
E00145319,48.9,51.1
E00145321,47.1,52.9
E00145322,53.5,46.5
E00145323,49,51
E00145324,53.2,46.8
