areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00041562,5.6,29.3,3.7,58.9,2.6
E00042615,14.9,40.4,9.2,31.6,3.9
E00042619,14.9,34.9,13.3,33.7,3.2
E00042622,13.7,34,9,40.5,2.8
E00042624,15.9,45.1,10.5,25.3,3.2
E00042630,31.1,43.6,6.2,17.6,1.5
E00042631,26.9,48,6.3,17.1,1.7
E00042635,13,38.3,5.2,43.2,0.3
E00139689,8.6,42.7,3.6,43.3,1.8
E00139690,10.9,38,5.8,38,7.3
E00139691,12.4,37.3,4.1,43.2,3
E00139692,7.8,39.3,4.5,46.3,2
E00139694,18.6,36.8,4.9,34.4,5.3
E00139701,22.4,37.5,4.7,32.3,3
E00139702,10,30.6,9.6,48.4,1.4
E00139703,13.1,32.9,7.6,44.5,1.8
E00139704,9.5,41.3,4.2,45,0
E00139705,11.6,35.6,6.8,41.4,4.5
E00139789,7.6,32.9,5.8,52.7,1.1
E00139796,11.7,30.9,3.5,52.1,1.8
E00139797,7.4,32,1.9,57.2,1.5
E00139800,6.1,31.1,5.3,54.9,2.5
E00139801,10.1,32.9,6.7,48.3,2
E00139802,8.8,26,3.7,59,2.6
E00139803,6.2,31.1,3.7,54.2,4.8
E00139804,7.6,27.1,1.2,61.8,2.4
E00139806,11.4,26.9,3.7,55.4,2.6
E00139808,12,25.6,1.9,57,3.5
E00139811,8.1,26.2,2.2,61.6,1.8
E00139812,7.8,34.2,2.1,52.8,3.1
E00139813,10.3,43.7,1.1,42.5,2.3
E00139814,13.8,39.7,4.8,38.6,3.2
E00139815,8.5,38,4.2,47.5,1.8
E00139816,16,39.4,7.1,34.8,2.8
E00139817,9.9,33.1,8.3,45.4,3.2
E00139818,2.7,73.4,11.8,10.1,2.1
E00139823,8.2,35.7,5.9,48.6,1.5
E00139836,10.9,32.8,6.7,47.1,2.5
E00139838,6.1,30.7,3.8,59.4,0
E00139856,15.6,39.3,3.8,38.4,2.8
E00139858,8.1,30.8,3.2,57,0.8
E00139862,20.5,44.1,8.7,22.8,3.8
E00139863,7.5,32.4,4.3,52.3,3.6
E00139864,13.6,38.4,5.8,40.5,1.7
E00139865,10,36.7,3.3,50,0
E00139867,12,34.8,6.5,44.3,2.5
E00139870,12.2,33.8,5.8,47.3,1
E00139871,12.3,37,6.5,41.9,2.3
E00139984,12.7,33.5,4.1,48.6,1.2
E00139985,14.1,35.6,5.4,44.3,0.7
E00140013,10.7,32.5,4.4,50,2.4
E00140014,18.5,33.7,5.4,38.6,3.8
E00140031,11.8,27.6,1.6,58.3,0.8
E00140032,7.4,33.1,2.9,56.6,0
E00140033,19.3,40,2.8,35.9,2.1
E00140034,8.3,30.4,4.8,52.2,4.3
E00176361,10.2,29.1,4.7,53.5,2.5
E00190017,4.7,35,2.5,57.8,0
E00190091,8.7,32.6,4.8,51.9,1.9
E00190117,8.2,28.7,3,58.2,1.9
