areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00041562,32.4,32.4,21.4,13.8
E00042615,34.7,37.9,13.7,13.7
E00042619,34.9,33.3,17.8,14
E00042622,23.7,46.7,17.8,11.8
E00042624,21.3,47.8,20.6,10.3
E00042630,51.4,21.2,11.7,15.6
E00042631,51.2,27.3,10.7,10.7
E00042635,29.8,37.4,15.2,17.7
E00139689,22.1,49.6,17.7,10.6
E00139690,31.4,40,10,18.6
E00139691,32.6,45.3,10.5,11.6
E00139692,16.5,51.3,13.9,18.3
E00139694,37.3,38,11.4,13.3
E00139701,39.8,35.3,13.5,11.3
E00139702,28.7,48,12,11.3
E00139703,24.6,41.9,13.2,20.4
E00139704,16.3,39.5,17.4,26.7
E00139705,27.3,53.2,7.8,11.7
E00139789,18.7,40.3,14.2,26.9
E00139796,23.5,46.3,14.7,15.4
E00139797,15.8,40.8,15.8,27.5
E00139800,16.5,43.5,15.7,24.3
E00139801,20,37.2,11.7,31
E00139802,16.8,45,19.8,18.3
E00139803,21.1,48.9,9.8,20.3
E00139804,21.1,39.8,14.6,24.4
E00139806,15.3,43.2,17.8,23.7
E00139808,20.8,42.4,17.6,19.2
E00139811,15.7,41.7,15.7,26.8
E00139812,22.5,31.5,19.1,27
E00139813,23.4,40.4,14.9,21.3
E00139814,27.9,42.3,19.2,10.6
E00139815,19.7,45.1,15.5,19.7
E00139816,30.2,35.6,14.8,19.5
E00139817,27.3,41.2,13.9,17.5
E00139818,10.2,40.8,20.4,28.6
E00139823,22.2,43.4,17.7,16.7
E00139836,19.4,53.2,11.3,16.1
E00139838,29.3,49.1,10.3,11.2
E00139856,30.3,38.5,17.4,13.8
E00139858,22.9,47.4,14.6,15.1
E00139862,25.2,38.1,17.3,19.4
E00139863,16.5,52.5,15.1,15.8
E00139864,26.3,47.4,16.5,9.8
E00139865,35,38,17,10
E00139867,26,43.2,11.8,18.9
E00139870,30.8,37.1,16.4,15.7
E00139871,31.6,39,12.8,16.6
E00139984,22.8,44.6,11.9,20.8
E00139985,30.9,40.7,12.3,16
E00140013,28.3,42.5,12.4,16.8
E00140014,26.9,50.5,6.5,16.1
E00140031,20.6,49.2,12.7,17.5
E00140032,28.2,36.3,17.7,17.7
E00140033,27.3,31.2,22.1,19.5
E00140034,25.6,45.5,15.7,13.2
E00176361,25.9,39.5,12.2,22.4
E00190017,12.7,27,17.5,42.9
E00190091,16.2,45.3,18.2,20.3
E00190117,11.7,45.3,20.3,22.7
