areacd,disability_3a-001,disability_3a-002
E00041562,17.1,82.9
E00042615,23.4,76.6
E00042619,17.6,82.4
E00042622,16.6,83.4
E00042624,20.9,79.1
E00042630,30.3,69.7
E00042631,21.4,78.6
E00042635,15.8,84.2
E00139689,13.2,86.8
E00139690,12.5,87.5
E00139691,21.1,78.9
E00139692,14.7,85.3
E00139694,16.6,83.4
E00139701,22.6,77.4
E00139702,17.9,82.1
E00139703,16.5,83.5
E00139704,11.6,88.4
E00139705,22.1,77.9
E00139789,9,91
E00139796,12.7,87.3
E00139797,13,87
E00139800,10.7,89.3
E00139801,12.3,87.7
E00139802,14.3,85.7
E00139803,13.8,86.2
E00139804,13.4,86.6
E00139806,12.5,87.5
E00139808,12.5,87.5
E00139811,12.6,87.4
E00139812,15,85
E00139813,13.5,86.5
E00139814,18.8,81.2
E00139815,13,87
E00139816,20.3,79.7
E00139817,16.9,83.1
E00139818,7.4,92.6
E00139823,13.3,86.7
E00139836,17.6,82.4
E00139838,16,84
E00139856,15,85
E00139858,12.6,87.4
E00139862,20,80
E00139863,12.7,87.3
E00139864,18.8,81.2
E00139865,20.1,79.9
E00139867,13.5,86.5
E00139870,12.8,87.2
E00139871,16.1,83.9
E00139984,18.7,81.3
E00139985,14.5,85.5
E00140013,12.9,87.1
E00140014,20.8,79.2
E00140031,19.6,80.4
E00140032,15.2,84.8
E00140033,19.2,80.8
E00140034,15,85
E00176361,17.3,82.7
E00190017,11.1,88.9
E00190091,12.3,87.7
E00190117,11.1,88.9
