geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00026519,14,41.4,40.3,4.3
E00026522,13.9,32.7,46.7,6.7
E00026523,18.2,40.3,37.7,3.8
E00026524,14.2,37.5,45,3.3
E00026525,10.2,40.2,49.6,0
E00026529,14.5,17.7,67.7,0
E00026530,32.4,22.2,44.4,0.9
E00026531,10.1,33.8,52,4.1
E00026533,20.7,10.9,63.7,4.7
E00026534,18.7,16,63.1,2.1
E00026537,11.7,15.6,65.4,7.3
E00026539,9,20.9,64.3,5.7
E00026540,12.1,28.9,52.3,6.7
E00026542,14.9,35.1,44.6,5.4
E00026543,8.5,44.4,43.6,3.4
E00026544,13.4,43.3,38.8,4.5
E00026545,16,42.7,37.4,3.8
E00026547,17.8,32.2,41.4,8.6
E00026548,15.3,30.6,47.1,7
E00026550,14.7,33.5,46.7,5.1
E00026552,14.9,33.7,45.5,5.9
E00026553,14.6,23,56.2,6.2
E00026554,10.5,25,60.5,4.1
E00026555,12.3,18.8,64.3,4.5
E00026556,15.6,17.2,61.7,5.6
E00026557,16,20.8,55.6,7.6
E00026558,18,20.1,56.7,5.2
E00026561,11.4,32.9,51.4,4.3
E00026563,11,29.7,58.2,1.1
E00026564,15.2,28.3,53.6,2.9
E00026565,14.5,32.7,49.1,3.6
E00026566,19.6,24.7,49,6.7
E00026567,19.4,27.1,48.1,5.4
E00026568,17,31.4,46.5,5
E00026569,16.8,29.5,46.3,7.4
E00026570,14.8,34.9,47,3.4
E00026571,11.1,20.6,61.9,6.3
E00026572,16,36,43.2,4.8
E00026573,10.4,26.7,62.2,0.7
E00026574,13,37,46,4
E00026702,27.3,24,38.8,9.9
E00026703,17,15.2,62.4,5.5
E00026704,17,26.2,51.8,5
E00026705,17,19.7,57.1,6.1
E00026722,19.5,22.1,55.2,3.2
E00026723,37.7,22.5,35.5,4.3
E00026724,15.1,24.3,53.5,7
E00026726,40.1,24.1,32.8,2.9
E00026727,11.8,31.1,52.1,5
E00026728,27.7,27.7,40,4.6
E00026730,20,17.9,57.9,4.2
E00026731,14.6,29.7,51.9,3.8
E00026732,15.7,17.6,59.3,7.4
E00026733,10.7,28.6,58,2.7
E00026734,20,18.9,56.8,4.2
E00026735,13.1,21.4,58.6,6.9
E00026736,9,12.4,68.9,9.6
E00026737,17.1,22.5,56.6,3.9
E00026738,28.8,12,53.4,5.8
E00026739,12.5,25,54.7,7.8
E00026750,15.8,42.4,39.2,2.5
E00026752,18.5,20.8,54.6,6.2
E00026753,12.3,29,53.5,5.2
E00026754,11.7,23,55.9,9.5
E00026755,11.1,25,56.7,7.2
E00026756,30,18,44.7,7.3
E00026758,58.1,21,21,0
E00026759,30.3,23,41.8,4.9
E00026760,47.1,25.4,27.5,0
E00026761,12,8.8,66.4,12.8
E00026764,23,13.3,56.3,7.4
E00026766,21.6,25.6,48.3,4.5
E00026767,16.9,26.5,53.7,2.9
E00026768,11.3,30.2,56,2.5
E00026769,24.8,24.8,46,4.4
E00026770,13.9,26.6,54.4,5.1
E00026771,12.5,31.3,46.4,9.8
E00026772,31.3,25.7,40.3,2.8
E00026773,11.3,20.1,58.5,10.1
E00026774,16.7,29.2,48.3,5.8
E00026775,16.1,27.2,51.7,5
E00026776,17.6,23.5,58.8,0
E00026777,16.2,21.2,58.6,4
E00026778,16.1,26.5,54.8,2.6
E00026779,19.7,28.9,44.7,6.6
E00026780,23,15.2,59.4,2.4
E00026781,18.5,22.1,53.3,6.2
E00026782,22,22,50,6.1
E00026783,18.7,38,38.6,4.7
E00026784,18.1,27.7,52.3,1.9
E00026821,12.9,24.9,56.9,5.3
E00026822,10.3,21.8,60,7.9
E00026823,10.2,16.2,67.2,6.4
E00026824,10.7,18.2,64.8,6.3
E00026825,8.6,13.2,70.4,7.9
E00026826,5.9,24.2,63.4,6.5
E00026827,11,22,59.5,7.5
E00026828,9.3,24.7,59.3,6.6
E00026829,7.2,19.7,63.8,9.2
E00026830,11.3,20.1,57.9,10.7
E00026831,11.1,22.8,59.3,6.8
E00026832,8.6,12.2,66.7,12.6
E00026833,11,15.7,66.7,6.7
E00026834,12.8,21.9,59.7,5.6
E00026835,8.1,19.7,65.2,7.1
E00026837,8.5,19.8,59.9,11.9
E00026838,7.3,20.7,62,10
E00026840,5.8,18.6,69.2,6.4
E00026841,12.6,19.3,61.5,6.7
E00026842,9.7,16.9,66.9,6.4
E00026843,7.8,22.2,62.9,7.2
E00026844,11.8,25.5,54,8.7
E00026845,8.5,16,71.7,3.8
E00026846,8.8,24,58.5,8.8
E00026847,10,16.9,68.1,5
E00026848,9.8,26.8,56.8,6.6
E00026849,9.9,19.9,59.7,10.5
E00026850,10.9,18.2,57,14
E00026851,14.6,19.8,58,7.5
E00026852,9.6,19.2,67.7,3.6
E00026854,13.1,24.7,55,7.2
E00026855,15.4,22.1,57,5.4
E00026856,9,17.5,65.7,7.8
E00026857,8.6,15.5,63.1,12.8
E00026858,8.1,20.2,64.7,6.9
E00026859,2.3,23.3,67.4,7
E00026860,12,16,61.3,10.7
E00026861,17.5,21.7,52.4,8.4
E00026867,15.7,21.6,56.9,5.9
E00026868,19,20.3,48.1,12.7
E00026871,14.5,14.5,65.9,5
E00026892,12.7,22,56.8,8.5
E00026893,27.6,19.2,46.3,6.9
E00026894,44.4,24.2,27.4,4
E00026895,14,25.4,56.1,4.4
E00026896,17,23.6,54.7,4.7
E00026897,29.6,20,48.1,2.2
E00026898,21.1,23.7,50,5.3
E00026899,21,26.6,49.2,3.2
E00026900,30,19.2,45.4,5.4
E00026901,38.7,14.4,40.5,6.3
E00026902,22.8,19.9,50.9,6.4
E00026903,28.9,17.4,48.4,5.3
E00026905,40.3,25,28.2,6.5
E00028372,3.6,27.1,61.4,7.9
E00028375,6.8,21.9,65.8,5.5
E00028378,13.6,18.3,62.4,5.6
E00028379,9.8,5.9,66.7,17.6
E00028620,18.4,18.4,63.1,0
E00028628,5.2,22.4,65.5,6.9
E00028629,14.8,28.7,50,6.5
E00028677,5.9,17.6,68.1,8.4
E00028681,9.9,22.7,65.2,2.2
E00028684,10.3,29.4,50.7,9.6
E00028686,11.6,21.4,58,8.9
