areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00005280,10.4,11.9,6.7,70.1,0.9
E00005282,10.7,18.9,6.8,61.6,1.9
E00005285,6.4,11.9,7.9,70.4,3.4
E00005286,7.4,21.6,6.7,64.2,0
E00005337,8.8,3.4,6.3,81.5,0
E00005364,9.1,11.2,7.5,70.1,2.1
E00005365,9.3,23.8,9.3,56.5,1.2
E00005368,8.1,25.7,7.8,57.3,1.2
E00005369,3.7,24.4,11,57.2,3.7
E00005370,11.7,19.3,3.5,63.9,1.6
E00005371,5.1,25.3,6.7,58.9,4
E00005372,4.6,30.3,4.2,59.5,1.4
E00005373,7.3,21.3,3.9,66.2,1.3
E00005374,3.3,16,5.5,71.4,3.8
E00005375,7.1,29.8,3.9,57.3,1.9
E00005376,2.3,22.5,5.6,65.9,3.6
E00005377,3.1,26,6.3,63,1.6
E00005378,5.1,21.4,7.8,61.8,4
E00005379,1.2,24.7,5.5,65.4,3.2
E00005380,4.8,23.9,4.8,65.4,1.1
E00005381,2.7,22.8,5.4,66.5,2.7
E00005382,3.9,18.5,9.5,67.2,0.9
E00005383,7.7,24.6,4.5,63.2,0
E00005384,4.4,25.5,4,66.1,0
E00005385,5.3,19.3,3.6,71.1,0.8
E00005386,3.7,16.2,4.6,74.9,0.6
E00005387,7.6,28.4,6.6,57.4,0
E00005388,7.5,23.6,8,58.7,2.1
E00005390,6.6,26.5,4.2,61.3,1.5
E00005393,6.4,14.8,5.7,73.2,0
E00005394,5.6,18.6,4.8,70.3,0.6
E00005395,6.6,16.3,4.4,71.8,0.8
E00005482,18.9,4.8,5.6,67.3,3.5
E00005483,14.1,6.2,7,71.9,0.8
E00005484,13.8,8.4,6.4,69.8,1.5
E00005485,16.3,5.5,6.9,71.3,0
E00005486,4.5,2.7,4.8,87.3,0.7
E00005487,13.1,2.2,4.5,78.8,1.3
E00005488,11.8,9.2,5.5,70.5,2.9
E00005490,6,3.4,5.6,80.6,4.3
E00005491,17.5,8.9,8.3,65.1,0.3
E00005492,12.8,9.5,10.4,66.4,0.9
E00005496,12,3.9,6.6,75,2.4
E00005497,15.8,8.5,6.3,66.1,3.3
E00005499,11.7,4.8,11.1,71.2,1.1
E00005500,7.4,10.2,8.6,71.2,2.6
E00005501,7.6,9,4.2,78.4,0.8
E00005502,10.4,7.7,7.4,72.6,1.8
E00005503,13.2,9.6,6,69,2.2
E00005504,9,8.4,3.6,72.1,6.9
E00005505,15.7,10,3.7,68.3,2.3
E00005507,16.9,1.8,5.1,74.9,1.3
E00005509,12.7,4,8.7,72.8,1.9
E00005510,17.6,4,4,74.4,0
E00005512,6.4,5.8,8.2,77.3,2.4
E00005513,19.3,5.1,4.8,69.5,1.2
E00005515,12,1,5.5,81.5,0
E00005516,11.8,1.5,3,83.4,0.3
E00005517,16,2.7,4.1,73.8,3.4
E00005518,7,4.9,6.7,81.1,0.3
E00005576,6,5.7,1.5,86.4,0.3
E00005577,9.8,5.2,4.6,78.5,1.9
E00005578,11.2,6.4,3.6,78.1,0.8
E00005579,10,5.1,2,80.9,2
E00005580,18.1,1.5,3.9,72.5,3.9
E00005581,4.6,1.5,4.9,89,0
E00005582,14,17.8,3.8,58.9,5.5
E00005583,8.2,7,3.3,80.3,1.2
E00005585,9.6,3.9,2.5,82.6,1.4
E00005586,7.4,7.4,9.4,74.6,1.3
E00005587,16.3,5.9,11,62.9,3.9
E00005588,17.9,9.7,5.8,63.8,2.7
E00005589,9.1,9.4,4.7,75.9,0.9
E00005590,14.8,8,1.5,74,1.8
E00005591,6.3,3,6.3,84.4,0
E00005592,15.4,1.8,5.2,76.3,1.3
E00005603,24.8,4.2,3.9,65.3,1.9
E00005606,25.3,15.9,6.5,50.1,2.1
E00157276,6.9,0,7.4,85.7,0
E00157294,3.3,2.4,9.9,82.2,2.1
E00157296,0.9,3.4,7.8,85.9,1.9
E00157297,3.5,1.9,4.5,88.8,1.3
E00157298,6.9,2.2,11.5,77.6,1.9
E00157299,4.7,5.6,7,80.1,2.6
E00157300,6,4.2,6.7,81.2,1.9
E00157308,0.9,4.3,3.4,91.1,0.3
E00157309,3.3,1.8,6.9,88,0
E00157310,0.3,0.3,5.4,94,0
E00157311,5.6,3.3,0.9,88.7,1.5
E00157312,1.7,4.6,9.7,81.1,2.9
E00157313,1.3,1.7,2.2,93.9,0.9
E00157314,3.6,2.7,1.8,91.9,0
E00157315,5.6,3,4.9,86.6,0
E00157316,1.6,3.9,4.7,89.8,0
E00157317,3.9,1.6,3.6,88.9,2
E00157318,2.7,1.7,3.4,91.7,0.5
E00157319,0.3,1.3,5.4,93,0
E00157320,4.5,0,2.6,92.9,0
E00157321,2.5,2.8,3,89,2.8
E00157322,4.9,2.4,5.9,84.4,2.4
E00157323,11.9,0.5,5,82.7,0
E00157324,7.9,0,5,86.8,0.3
E00157325,10.4,2.7,5.4,80.1,1.5
E00157326,4.3,5,6.3,84.1,0.3
E00157327,4.5,0,2,91.9,1.6
E00157328,8.2,7.3,4.3,79.9,0.3
E00157329,4.8,2.3,6.5,86.5,0
E00157330,3.2,2.1,7.4,87,0.4
E00157331,6.1,1.3,3.5,87.5,1.6
E00157332,5.2,1.6,5.2,87.4,0.5
E00157333,4.5,0,2.1,92.3,1
E00157346,4.1,9.1,6.4,78.2,2.3
E00157347,7.2,6,10,73.6,3.2
E00157348,8.6,3.7,6,81.7,0
E00157349,11.9,4.3,9.1,72.9,1.8
E00157350,4.8,9,6.6,77.9,1.8
E00157352,9.4,4.4,4.7,81.3,0.3
E00157353,6.1,17.4,6.4,69.3,0.8
E00157355,6.2,5.4,9.4,79,0
E00157356,9.5,2.9,6.5,79.4,1.6
E00157357,5.4,4.9,4.9,84.6,0.3
E00157360,5.6,3,1.3,89.5,0.7
E00157361,9.1,1.3,5,83.6,0.9
E00170412,10.9,4,5.6,78.1,1.3
E00170413,7.8,7.2,6.6,74.9,3.6
E00170414,10.8,8,10.8,69.6,0.8
E00170421,2.6,0.4,3,93.6,0.4
E00170422,2.6,1.7,5,90.4,0.3
E00170425,10.6,5.3,4.3,78.1,1.7
E00174957,5.1,2.7,3.4,87.9,1
E00174959,7.6,7.9,9.2,73.7,1.6
E00190495,1.4,10.2,6.9,79.2,2.3
E00190498,3.4,7.7,8.7,79.3,0.9
