areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00005280,34.3,31.3,24.6,9.7
E00005282,23.3,47.5,15,14.2
E00005285,32.5,46.3,6.5,14.6
E00005286,23.7,37,5.9,33.3
E00005337,44,46.6,5.2,4.3
E00005364,13.6,42.9,33.1,10.4
E00005365,8.5,23.2,8.5,59.8
E00005368,18.3,28.6,45.2,7.9
E00005369,21.1,30.9,37.4,10.6
E00005370,22.6,24.3,41.7,11.3
E00005371,3.9,8.6,79.7,7.8
E00005372,13.9,26.9,48.1,11.1
E00005373,32.8,31.2,29.6,6.4
E00005374,7.8,5.5,83.6,3.1
E00005375,5.6,9.3,74.8,10.3
E00005376,27.4,31,27.4,14.2
E00005377,8.3,16.7,65.6,9.4
E00005378,24.4,32.3,33.9,9.4
E00005379,16.8,14.4,64,4.8
E00005380,18,29.5,39.3,13.1
E00005381,22.8,42.5,23.6,11
E00005382,5,8.9,80.2,5.9
E00005383,28.9,31.3,32,7.8
E00005384,19.3,30.3,37.8,12.6
E00005385,30.7,27,35.8,6.6
E00005386,22.7,29.1,33.6,14.5
E00005387,7.9,10.2,74,7.9
E00005388,19,19,49.6,12.4
E00005390,36.6,35.9,21.1,6.3
E00005393,37.1,40.3,8.9,13.7
E00005394,33.6,42.6,14.8,9
E00005395,19.4,30.2,43.4,7
E00005482,52.6,43.1,0,4.4
E00005483,48.4,46.9,0,4.7
E00005484,39.9,46.6,4.7,8.8
E00005485,47.7,41.4,4.7,6.3
E00005486,63.2,32,2.4,2.4
E00005487,59.8,33.6,1.6,4.9
E00005488,38.7,52.1,0.8,8.4
E00005490,42,10.7,21.4,26
E00005491,47.2,46.5,3.1,3.1
E00005492,20.8,28.3,44.2,6.7
E00005496,59,31.3,0.7,9
E00005497,33.3,45.5,17.1,4.1
E00005499,27.1,34.1,31,7.8
E00005500,34.6,44.2,13.5,7.7
E00005501,35.4,39.2,18.5,6.9
E00005502,38.7,46,9.7,5.6
E00005503,27,53.2,12.7,7.1
E00005504,32.8,49.2,10.9,7
E00005505,45.7,29.5,10.1,14.7
E00005507,53.9,41.4,0.7,3.9
E00005509,47.4,49.6,1.5,1.5
E00005510,68.7,17.9,1.5,11.9
E00005512,43.2,49.2,4.2,3.4
E00005513,52.4,43.7,0,4
E00005515,50.4,46.7,0.7,2.2
E00005516,49.2,45.9,0.8,4.1
E00005517,51.2,33.1,1.6,14.2
E00005518,53.8,39.3,0.9,6
E00005576,50,38.2,5.9,5.9
E00005577,54.6,40.8,2,2.6
E00005578,48.7,42.1,3.9,5.3
E00005579,39.9,50,4.3,5.8
E00005580,55.9,39.4,0.8,3.9
E00005581,61.3,37.1,0.8,0.8
E00005582,42.3,36,5.4,16.2
E00005583,52.5,41.8,1.6,4.1
E00005585,48.7,40,0.9,10.4
E00005586,39.7,45.7,9.5,5.2
E00005587,36.9,45.1,13.1,4.9
E00005588,46.3,43.9,0,9.8
E00005589,44.6,41.3,5,9.1
E00005590,63.6,25.8,4.6,6
E00005591,54.3,41.4,0,4.3
E00005592,53.7,39.5,0.7,6.1
E00005603,51.2,42.1,0,6.6
E00005606,25.4,27.6,6.7,40.3
E00157276,42.4,32.9,14.6,10.1
E00157294,15.6,35.6,40,8.9
E00157296,21.1,47.2,25.2,6.5
E00157297,41.1,40.3,3.9,14.7
E00157298,32.8,55.2,0.8,11.2
E00157299,34.4,51.1,4.6,9.9
E00157300,22.6,57.1,10.1,10.1
E00157308,34.7,37.5,7.6,20.1
E00157309,50,43,1.3,5.7
E00157310,44.2,43.4,5.4,7
E00157311,71.1,19.3,0.6,9
E00157312,27.9,41.1,14,17.1
E00157313,32.4,25.9,34.3,7.4
E00157314,22,15.4,52,10.6
E00157315,48.1,49,1,1.9
E00157316,36.9,41.6,8.1,13.4
E00157317,31.1,45.9,12.3,10.7
E00157318,55.3,36.2,2.6,5.9
E00157319,33.8,48.1,3.8,14.3
E00157320,47.8,35.8,5.2,11.2
E00157321,57.7,18.1,19.2,4.9
E00157322,35.2,44,16,4.8
E00157323,46.3,48.1,0.6,5
E00157324,56.1,40.2,0,3.8
E00157325,38.2,43.4,0.7,17.8
E00157326,40.8,45.6,0,13.6
E00157327,57.1,27.8,0.8,14.3
E00157328,38.2,46.3,2.4,13
E00157329,40.1,52.6,1.5,5.8
E00157330,50.9,43,1.8,4.4
E00157331,47.1,32.4,5.1,15.4
E00157332,64,30,0.7,5.3
E00157333,58.8,22.1,2.9,16.2
E00157346,16.8,41.2,3.4,38.7
E00157347,11.8,44.7,10.5,32.9
E00157348,46.1,35.2,2.3,16.4
E00157349,20.5,48.8,9.4,21.3
E00157350,18.3,39.6,21.3,20.7
E00157352,42.3,50.8,0,6.9
E00157353,16.2,24.7,31.3,27.8
E00157355,22.6,29.3,6.8,41.4
E00157356,23.6,36.3,3.8,36.3
E00157357,32,53.7,4.1,10.2
E00157360,53.1,41.6,0.9,4.4
E00157361,49.6,44.1,0,6.3
E00170412,30.4,44.3,0.9,24.3
E00170413,2.6,70.7,16.4,10.3
E00170414,11.7,64,11.7,12.6
E00170421,50.5,34.7,2.1,12.6
E00170422,34.3,38,11.1,16.7
E00170425,30.8,43.3,11.7,14.2
E00174957,37.6,55.6,0,6.8
E00174959,38.5,53,3.4,5.1
E00190495,1.7,71.7,18.3,8.3
E00190498,24.6,49.3,4.5,21.6
