areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00004881,69.4,2.7,27.9
E00004885,65.3,2.1,32.6
E00004888,67.3,5.3,27.4
E00004892,69,4,27
E00004894,59.4,5.2,35.4
E00004905,62.3,5.4,32.3
E00004910,70.5,4.2,25.3
E00004956,80.4,1.5,18.1
E00004957,72,3.4,24.6
E00004958,74.7,1.9,23.4
E00004959,82.3,2.8,14.9
E00004960,76.1,6,17.9
E00004961,70.5,3,26.5
E00004965,74.3,1.1,24.6
E00004966,56.7,6.8,36.5
E00004967,70.5,2.1,27.4
E00004968,72.2,2.6,25.3
E00004969,70.2,4,25.8
E00004970,74.5,6.7,18.8
E00004971,72.3,2.6,25.1
E00004973,66.2,2.2,31.6
E00004974,76.5,1.6,21.9
E00004984,62.8,1.6,35.6
E00004986,56.7,2.7,40.6
E00004987,65.7,2.9,31.4
E00004988,66.7,7.9,25.4
E00004989,73.1,4.4,22.5
E00004990,78.6,4.3,17.1
E00004992,79.3,3.8,16.9
E00004994,75.5,1.2,23.3
E00004996,78.6,0.7,20.7
E00004998,75.3,4.3,20.4
E00004999,76.3,1.9,21.8
E00005000,70,1.7,28.4
E00005001,63.1,3.3,33.6
E00005002,61.2,2.8,36
E00005003,66.9,2.8,30.3
E00005004,65.6,3.7,30.7
E00005005,78.9,5.3,15.8
E00005006,70,6.1,23.9
E00005007,70.8,4,25.2
E00005008,69.5,4.9,25.6
E00005009,78.8,5.4,15.8
E00005011,71.6,4.2,24.2
E00005012,70.6,4.3,25.1
E00005013,86.8,1.1,12.1
E00005014,64.7,2.6,32.7
E00005015,64.5,6.1,29.4
E00005016,69.7,3.8,26.5
E00005017,81.4,1,17.6
E00005018,73.1,2.4,24.6
E00005019,70.1,1.8,28.1
E00005021,81.4,4.8,13.8
E00005022,75.8,4.5,19.7
E00005023,55.1,2.8,42
E00005024,91.9,0.7,7.4
E00005025,73.1,2.5,24.4
E00005026,85.9,3.2,10.9
E00005027,76.5,2.5,21
E00005028,69,2.8,28.2
