geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00049183,44.9,45.8,1.7,7.6
E00049184,54.6,39.3,0,6.1
E00049185,50.8,39.8,1.6,7.8
E00049186,21.8,32.3,39.1,6.8
E00049187,66.4,26.6,0,7
E00049188,48.7,43.7,0.8,6.7
E00049190,7.6,21.4,63.4,7.6
E00049191,50,37.3,0,12.7
E00049192,58.3,28.7,2.8,10.2
E00049193,11.7,53.9,2.3,32
E00049194,8.7,16.5,67,7.8
E00049195,36.8,32.2,21.7,9.2
E00049196,47.1,48.8,0.8,3.3
E00049197,43,39.6,4.7,12.8
E00049198,57.9,35,0.7,6.4
E00049199,48.8,38,0,13.2
E00049200,52.3,34.4,2,11.3
E00049201,59.7,30.6,0,9.7
E00049202,50,41.7,1.7,6.7
E00049203,54.3,37.1,2.6,6
E00049204,56.9,39.8,0,3.3
E00049205,26.1,29.1,35.1,9.7
E00049206,35,52.9,0,12.1
E00049207,58.2,34.2,1,6.6
E00049208,54.1,42.2,0,3.7
E00049209,64.9,30.7,0,4.4
E00049210,30.8,34.9,4.1,30.1
E00049211,28,30.3,10.6,31.1
E00049212,55.2,39.2,0,5.6
E00049213,30.3,64.1,0,5.6
E00049214,49.2,34.9,10.3,5.6
E00049215,39.6,37.8,1.8,20.7
E00049216,45,46.8,0.9,7.2
E00049217,31.1,47.1,2.5,19.3
E00049218,20,29.7,26.9,23.4
E00049219,55.8,38.3,1.7,4.2
E00049220,50.8,39,1.7,8.5
E00049221,44,46.3,0,9.7
E00049222,57.7,33.3,0,8.9
E00049223,29.9,50.6,0,19.5
E00049224,31.5,42.7,7.3,18.5
E00049225,28,33.6,2.8,35.7
E00049226,45.3,47.9,0,6.8
E00049227,58.8,38.9,0.8,1.5
E00049228,66.7,31.8,1.6,0
E00049229,32.5,38.2,13.2,16
E00049230,43.7,42.2,2.2,11.9
E00049231,11.6,11.6,71,5.8
E00049232,55.9,31.5,0,12.6
E00049233,45.4,30.5,7.1,17
E00049234,52.9,36.8,0,10.3
E00049235,31.8,30.2,26.4,11.6
E00049236,29.3,53.5,0,17.2
E00049237,55.3,37.1,0,7.6
E00049238,13,16.8,61.1,9.2
E00049239,56,34.9,2.8,6.4
E00049240,48.2,37.7,2.6,11.4
