areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00072563,31.7,46.7,14.2,7.5
E00072564,20.5,66.1,12.5,0.9
E00072565,50.4,33.3,10.3,6
E00072566,48,32.9,11.8,7.2
E00072567,32.6,48.1,10.9,8.5
E00072568,38.5,38.5,17.4,5.6
E00072569,56.3,37.9,2.9,2.9
E00072570,37.4,42.1,13.1,7.5
E00072571,43.5,30.4,14.1,12
E00072572,73.9,18.5,3.3,4.3
E00072573,39,36,15.2,9.8
E00072574,46.7,33.3,11.9,8.1
E00072575,41.2,49.4,6.2,3.3
E00072576,58.4,13.5,10.1,18
E00072577,51.7,22,18.6,7.6
E00072578,50,29.7,16.2,4.1
E00072579,47.7,30.6,12.6,9
E00072580,47.3,30.4,8.9,13.4
E00072581,28.7,31,19.4,20.9
E00072582,50,30.4,10.9,8.7
E00072583,22.8,48.8,18.7,9.8
E00072584,40.4,43.9,7.9,7.9
E00072585,39.6,32.1,15.1,13.2
E00072586,42.6,33.9,19.1,4.3
E00072587,35.7,40.9,12.2,11.3
E00072588,1.6,21.3,42.6,34.4
E00072589,3.4,16,43.7,37
E00072590,2.5,5.9,30.5,61
E00072591,2.8,25,28.7,43.5
E00072592,5.5,35.5,28.2,30.9
E00072593,26.8,11.1,40.5,21.6
E00072607,2.3,9.9,29,58.8
E00072608,24.8,22.2,38.5,14.5
E00072611,12.3,21.5,26.2,40
E00072614,4.2,16.7,34.7,44.4
E00072615,5.3,10.6,27.7,56.4
E00072616,0,13.5,33.3,53.2
E00072617,3.7,15.9,37.8,42.7
E00072618,12.8,28.4,28.4,30.4
E00072619,2.2,26,39.2,32.6
E00072620,0,14,28.1,57.9
E00072621,4.2,16.1,19.5,60.2
E00072622,1.6,4.1,28.5,65.9
E00072623,21.4,17.3,36.7,24.5
E00072624,0.7,20.7,42.2,36.3
E00072625,5.1,10.9,53.3,30.7
E00072626,3.2,11.1,34.9,50.8
E00072627,4.1,17.5,32,46.4
E00072628,6.7,14.3,40.3,38.7
E00072629,3.2,12.9,40.3,43.5
E00072630,5.1,38.5,41,15.4
E00072631,1,9.7,35,54.4
E00072632,19.8,39.7,16.8,23.7
E00072633,0,15.6,44.4,40
E00072634,5.4,27.9,24.8,41.9
E00072635,4.9,30.1,15.4,49.6
E00072636,23.8,30.6,19,26.5
E00072637,19.1,41.2,11,28.7
E00072638,6.1,15.9,34.8,43.2
E00072640,3.1,7.9,20.5,68.5
E00072666,7.7,12.8,26.5,53
E00072667,33.1,10.8,16.2,40
E00072668,1.1,8,32.2,58.6
E00072669,33.1,12.7,34.7,19.5
E00072671,7.2,66.3,22.9,3.6
E00072672,1.8,7.2,45,45.9
E00072673,23.7,45.9,25.9,4.4
E00072674,0.9,41.4,50,7.8
E00072675,33.9,55.9,10.2,0
E00072676,2.4,17.1,34.1,46.3
E00072677,5.2,29.3,44.8,20.7
E00072678,1.5,42.6,52.9,2.9
E00072680,6.2,23.3,36.4,34.1
E00072681,9.3,23.6,39.1,28
E00072682,0,5.6,36.8,57.6
E00072683,23.8,29.5,38.5,8.2
E00072684,0.8,34.7,53.7,10.7
E00072687,15,27.5,42.5,15
E00072688,4.5,11.8,32.7,50.9
E00072755,60,20,14,6
E00072756,46.8,27,12.1,14.2
E00072757,48.7,46.2,4.2,0.8
E00072758,22.5,65.7,4.9,6.9
E00072759,32.1,40.4,21.1,6.4
E00072760,1.9,6.8,36.9,54.4
E00072761,44.2,29.2,8.8,17.7
E00072762,35.9,30.5,16,17.6
E00072763,30.7,39.4,15,15
E00072764,30.9,47.3,13.6,8.2
E00072765,0,1.7,60.3,38
E00072766,7.8,15.5,37.1,39.7
E00072767,0,30.1,45.9,24.1
E00072768,41.9,32.4,11.7,14
E00072769,12,50.7,26,11.3
E00072770,24.5,22.7,27.3,25.5
E00072771,21.8,15.8,23.8,38.6
E00072772,28.4,33.1,15.5,23
E00072773,66.2,23.5,7.4,2.9
E00072774,56.1,28,12.1,3.7
E00072775,60.2,23.1,9.3,7.4
E00072776,0.9,1.7,73.3,24.1
E00072777,14.5,18.3,37.4,29.8
E00072778,3.3,16.3,55.3,25.2
E00072787,25.5,47.8,22.9,3.8
E00072788,0.7,22.9,56.4,20
E00072790,0.9,34.5,55.2,9.5
