geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00072563,5.6,26.1,4.4,59.4,4.4
E00072564,6.8,23.9,0.6,66.5,2.3
E00072565,3.6,33.4,0,59.3,3.6
E00072566,8,34.3,0.4,55.8,1.5
E00072567,6.2,24.8,1.9,67.1,0
E00072568,8.1,32,3.1,52.1,4.6
E00072569,9.1,38.4,2,46.5,4
E00072570,2.4,23,0,72.1,2.4
E00072571,6.3,27.2,1.3,63.9,1.3
E00072572,21.2,39.4,2.9,34.3,2.2
E00072573,5,39.1,1.6,52.2,2.2
E00072574,4.6,41.5,1.7,49.8,2.5
E00072575,3.7,35.1,0,57.6,3.5
E00072576,13.9,46.4,0,38,1.8
E00072577,9,38.7,5.2,45.3,1.9
E00072578,24.9,29.3,4.8,36.2,4.8
E00072579,7.7,34.3,2.8,52.5,2.8
E00072580,2.6,37.4,3.1,53.8,3.1
E00072581,4.8,29,4.8,59,2.4
E00072582,6.3,30.6,1.4,61.1,0.7
E00072583,4.1,26.4,2,64,3.6
E00072584,5.4,25.6,1.5,65,2.5
E00072585,7.3,29.4,0.6,59.3,3.4
E00072586,5.3,32.3,0,60.8,1.6
E00072587,7,26.5,1.1,62.7,2.7
E00072588,9.4,25.1,8.1,54.9,2.6
E00072589,11.5,22.1,4.6,59,2.8
E00072590,12.2,22.1,3.6,58.6,3.6
E00072591,4.6,29.2,0.9,63,2.3
E00072592,4,31.5,4,58.5,2
E00072593,14.7,35.6,5.1,41.8,2.7
E00072607,6.9,30,2.5,59.6,1.1
E00072608,25.4,35.9,3.8,31.6,3.3
E00072611,0,27,1.7,71.3,0
E00072614,9.1,28.4,1.8,59.3,1.5
E00072615,3.8,26.9,0,67,2.2
E00072616,6.9,35.5,1.5,55.3,0.8
E00072617,8.3,32.1,6.5,50.6,2.4
E00072618,10.1,41.5,1.2,46.6,0.7
E00072619,10.3,37.7,4,48,0
E00072620,1.7,22.5,5.8,66.7,3.3
E00072621,6.7,26.1,2,61.3,4
E00072622,5.6,34.6,3,56.9,0
E00072623,12.7,38.6,3.6,42.1,3
E00072624,16,35.1,6.7,40.4,1.8
E00072625,21.2,44.7,3.8,27.6,2.7
E00072626,5.6,44,4.8,43.2,2.4
E00072627,10.9,26.9,6.7,53.4,2.1
E00072628,20.4,35.9,6.9,35.9,0.8
E00072629,16,26.7,4.2,50,3.1
E00072630,1.3,88.2,0.8,8.9,0.9
E00072631,5.8,33.8,3.4,55.1,1.9
E00072632,21.5,26.5,8.2,39.3,4.6
