areacd,in_full_time_education-001,in_full_time_education-002
E00114745,13.5,86.5
E00114746,13.3,86.7
E00114747,23.5,76.5
E00114748,16.1,83.9
E00114749,13.7,86.3
E00114750,15.5,84.5
E00114751,17.8,82.2
E00114752,12,88
E00114753,15.6,84.4
E00114754,9,91
E00114755,10.7,89.3
E00114756,12.6,87.4
E00114757,16.3,83.7
E00114758,13.9,86.1
E00114759,21.2,78.8
E00114760,19.4,80.6
E00114761,21.6,78.4
E00114762,11.8,88.2
E00114763,11.1,88.9
E00114764,20.5,79.5
E00114765,24.1,75.9
E00114766,21.5,78.5
E00114767,2.1,97.9
E00114768,31.1,68.9
E00114769,13.3,86.7
E00114770,18.3,81.7
E00114771,8.1,91.9
E00114772,8.2,91.8
E00114773,6.7,93.3
E00114774,8.6,91.4
E00114776,18.7,81.3
E00114777,13.8,86.2
E00114778,8.9,91.1
E00114779,12.9,87.1
E00114780,18.8,81.2
E00114781,21.7,78.3
E00114783,12.5,87.5
E00114784,21.8,78.2
E00114785,11.3,88.7
E00114789,21.2,78.8
E00114790,15.5,84.5
E00114791,14.1,85.9
E00114792,9.2,90.8
E00114793,8.6,91.4
E00114794,15.5,84.5
E00114798,20.6,79.4
E00114799,20.1,79.9
E00114800,22,78
E00114802,18.7,81.3
E00114804,14.8,85.2
E00114805,17.1,82.9
E00114806,20.7,79.3
E00114807,11.9,88.1
E00114808,19.2,80.8
E00114809,20.2,79.8
E00114810,16.4,83.6
E00114811,15.7,84.3
E00114812,24.9,75.1
E00114813,24.7,75.3
E00114814,21.9,78.1
E00114815,24.6,75.4
E00114816,25,75
E00114817,20.7,79.3
E00114818,13.9,86.1
E00114819,20.7,79.3
E00114820,18.7,81.3
E00114821,18.8,81.2
E00114822,21.1,78.9
E00114823,22,78
E00114824,18.3,81.7
E00114825,21.3,78.7
E00114826,16.8,83.2
E00114827,13,87
E00114845,14.2,85.8
E00114846,17.2,82.8
E00114847,12.5,87.5
E00114848,14.7,85.3
E00114850,16.8,83.2
E00114851,13.2,86.8
E00114852,14,86
E00114853,14,86
E00114854,16.3,83.7
E00114855,20.9,79.1
E00114856,12.5,87.5
E00114857,15.5,84.5
E00114858,16,84
E00114859,20,80
E00114861,13.9,86.1
E00114862,21.4,78.6
E00114863,20.4,79.6
E00114864,15.6,84.4
E00114865,15.3,84.7
E00114866,16.9,83.1
E00114867,17.6,82.4
E00114869,16.1,83.9
E00114876,8.2,91.8
E00114877,12.3,87.7
E00114878,13.4,86.6
