areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00110701,11.1,25.4,63.5
E00110702,8.5,20.8,70.8
E00110706,11.3,24.6,64.1
E00118325,6.2,21.5,72.3
E00118326,7,6.2,86.8
E00118327,5.7,32.1,62.1
E00118328,6.1,50,43.9
E00118329,6.5,13.8,79.7
E00118330,1.5,11.3,87.2
E00118331,14.2,10.1,75.7
E00118332,4.1,14.9,81
E00118333,3.5,23.5,73
E00118334,3.9,14,82.2
E00118335,3.5,25.4,71.1
E00118336,4.7,17.3,78
E00118337,5,21.7,73.3
E00118338,3.4,29.7,66.9
E00118339,7,34.5,58.5
E00118340,8.5,17.1,74.4
E00118341,7,17.8,75.2
E00118342,5.2,16.5,78.3
E00118343,3.4,43.2,53.4
E00118453,8.3,16.7,75
E00118454,6.3,16.2,77.5
E00118455,5.5,14.2,80.3
E00118456,2.8,20.4,76.9
E00118457,4,21,75
E00118458,4.8,31.7,63.5
E00118459,1.6,19,79.4
E00118460,6.2,16.8,77
E00118461,5.6,12.7,81.7
E00118462,4.6,24.4,71
E00118463,5.6,13.6,80.8
E00118465,5.2,27.6,67.2
E00118466,5.2,19,75.9
E00118467,7.7,22.2,70.1
E00118468,4.6,21.5,73.8
E00118469,4.3,20,75.7
E00118470,2.4,16.8,80.8
E00118471,4.8,17.5,77.8
E00118472,5.4,36.2,58.5
E00118473,6.7,26.9,66.4
E00118474,3.6,50.7,45.7
E00118476,2.6,19.1,78.3
E00118477,4,26.4,69.6
E00118478,3.6,30.1,66.3
E00118479,10.5,44.4,45.2
E00118480,4,36.5,59.5
E00118481,3.4,50.4,46.2
E00118482,5,16.5,78.5
E00118483,4,59.4,36.6
E00118484,7.9,40.8,51.3
E00118485,6.8,32.3,60.9
E00118486,4,34.7,61.3
E00118488,6.7,43.3,50
E00118489,8.3,46.8,45
E00118490,3.3,30.7,66
E00118491,2.8,51.4,45.8
E00118492,11.3,28.6,60.2
E00118493,2.6,69.6,27.8
E00118494,5,40.4,54.6
E00118509,5.1,16.9,78
E00118510,5.3,33.3,61.4
E00118512,7.6,22.7,69.7
E00118513,6.5,21,72.6
E00118515,8.2,18.9,73
E00118516,9.6,30.9,59.6
E00118517,6.5,23.2,70.3
E00118518,6.1,22.9,71
E00118519,7.4,15.6,77
E00118521,6.3,29.4,64.3
E00118522,9,25.4,65.6
E00118523,6.2,14.7,79.1
E00118524,4.7,20.2,75.2
E00118525,8.4,21.4,70.2
E00118526,8.9,17.8,73.3
E00118528,9.4,17.2,73.4
E00118529,6.3,27.3,66.4
E00118530,8.3,23.1,68.6
E00118576,11.3,27,61.6
E00118578,4.9,25.4,69.7
E00118579,3.3,17.4,79.3
E00118580,4,27.2,68.8
E00118581,5.3,27.6,67.1
E00118582,5.4,22.5,72.1
E00118583,4.3,22.1,73.6
E00118584,4.1,29.5,66.4
E00118585,2.8,45.4,51.9
E00118586,4,31,65.1
E00118587,6.3,15,78.7
E00118588,3.1,24.8,72.1
E00118589,4.7,28.3,66.9
E00118590,3.1,27.1,69.8
E00118591,2.8,20,77.2
E00118592,4.7,24.4,70.9
E00118593,3.4,41.9,54.7
E00119199,5.3,22.7,72
E00119200,3.1,14.1,82.8
E00119201,0.6,53.2,46.1
E00119202,4.1,25.7,70.3
E00119203,6,22.6,71.4
E00119204,2.3,34.4,63.3
E00119206,3.1,13.4,83.5
E00119207,6,10.9,83.1
E00119208,4.1,18.2,77.7
E00119209,2.2,22.3,75.5
E00119210,3,17.9,79.1
E00119211,1.7,54.8,43.5
E00119212,2.8,34,63.1
E00119213,4.5,46,49.5
E00119214,6,36,58
E00119215,7.4,14.7,77.9
E00119216,2.4,16.5,81.2
E00119217,3.1,25.2,71.7
E00119218,3.2,36,60.8
E00119219,2.3,27.9,69.8
E00119220,3.1,52,44.9
E00119221,4.6,33,62.4
E00119222,3.4,22.4,74.1
E00119223,3.6,33,63.4
E00119224,5,15.8,79.2
E00119225,4.3,15.7,80
E00119226,0.8,19.7,79.5
E00119227,3.7,28.4,67.9
E00119228,4.1,18.9,77
E00119229,3.4,27.7,68.9
E00119230,1.8,20.7,77.5
E00119231,2.9,27.9,69.1
E00119232,2.3,31.8,65.9
E00119233,1.5,55.3,43.2
E00119234,9.5,27.7,62.8
E00119236,0.8,19.2,80
E00119237,0,32.7,67.3
E00119238,5.4,18.5,76.2
E00119239,6.2,33.1,60.8
E00119240,2.3,28.9,68.8
E00119241,5.2,23.7,71.1
E00119242,0.9,39.7,59.5
E00119244,6.3,22.7,71.1
E00119246,4.1,26,69.9
E00119248,3.6,42.3,54
E00119249,5.9,58.4,35.6
E00119250,3.8,24.8,71.3
E00119252,2.3,31.3,66.4
E00119253,4.5,38.1,57.4
E00119254,8.8,31.3,60
E00119255,2.8,28.4,68.8
E00119256,5.7,26.4,67.9
E00119257,3.6,34.5,61.8
E00119259,2.9,23.5,73.5
E00119260,3.6,32.4,64
E00119261,2.9,20.7,76.4
E00119263,4,28.2,67.7
E00119264,6.5,26.8,66.7
E00119265,2.2,31.4,66.4
E00119266,5.6,26.8,67.6
E00119267,3.2,39.4,57.4
E00119268,2.1,26.3,71.7
E00119269,3.6,17.1,79.3
E00119270,5.1,29,65.9
E00119271,2.5,29.5,68
E00119272,1.9,26.4,71.7
E00119273,0,13.7,86.3
E00119274,3.6,16.2,80.2
E00119275,2.8,21.4,75.9
E00119276,6.6,25.4,68
E00119277,5.4,19.6,75
E00119278,4.4,29.2,66.4
E00119279,3.8,45.3,50.9
E00119281,3.3,13.2,83.5
E00119283,2.1,48.9,48.9
E00119284,3.4,29.9,66.7
E00119287,2.7,21.2,76.1
E00119288,4.3,10.4,85.2
E00119289,6.1,17.4,76.5
E00119290,7.1,25.1,67.8
E00119291,3.8,23.3,72.9
E00119292,5.3,13.5,81.2
E00119293,11,14,75
E00119294,6.1,31.6,62.3
E00119295,4,12.8,83.2
E00119296,5.8,26,68.3
E00119297,5.9,20.7,73.3
E00119298,3.7,27.4,68.9
E00119299,3.9,46.1,50
E00119300,3.7,34.3,61.9
E00119301,6,24.8,69.2
E00119302,2.6,23.1,74.4
E00119303,1.4,34.7,63.9
E00119304,7.6,26.4,66
E00119305,4.1,46.9,49
E00119306,3.7,46.3,50
E00119307,3.3,10.8,85.8
E00119308,2.3,19.4,78.3
E00119309,0,30.3,69.7
E00119310,0.8,12.3,86.9
E00119311,9.5,24.1,66.4
E00119312,1.5,40.8,57.7
E00119313,4.5,18,77.5
E00119314,0,53.3,46.7
E00119315,6,28.1,65.8
E00119316,6.8,28.8,64.4
E00119400,5.4,31.1,63.5
E00119412,2.8,18.2,79
E00119413,4.3,39.6,56
E00119415,0.8,68.5,30.7
E00119416,2.3,11.3,86.5
E00119417,2.4,17.3,80.3
E00119418,5.2,19.4,75.4
E00119419,6,51.3,42.7
E00119420,6,25.6,68.4
E00119421,4.7,44.4,50.9
E00119422,0.7,31.9,67.4
E00119423,4.9,51.6,43.6
E00119424,5.1,17.1,77.8
E00119425,3.8,42.9,53.4
E00119426,5.4,18.8,75.9
E00119427,3.1,13.6,83.2
E00119428,6.1,53.9,40
E00119429,2.9,55.3,41.8
E00119430,2.8,31.7,65.5
