areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00110701,50.2,49.8
E00110702,67.8,32.2
E00110706,50.6,49.4
E00118325,55,45
E00118326,62,38
E00118327,44.3,55.7
E00118328,33.8,66.2
E00118329,65.2,34.8
E00118330,66.1,33.9
E00118331,63.5,36.5
E00118332,65.8,34.2
E00118333,57.6,42.4
E00118334,60.6,39.4
E00118335,56,44
E00118336,63.2,36.8
E00118337,55.4,44.6
E00118338,56.1,43.9
E00118339,44.1,55.9
E00118340,63.1,36.9
E00118341,63.4,36.6
E00118342,63.2,36.8
E00118343,38.8,61.2
E00118453,53.5,46.5
E00118454,61.3,38.7
E00118455,64.7,35.3
E00118456,44.5,55.5
E00118457,54.7,45.3
E00118458,43.4,56.6
E00118459,60.1,39.9
E00118460,61.7,38.3
E00118461,62.5,37.5
E00118462,57,43
E00118463,57.5,42.5
E00118465,40.2,59.8
E00118466,56.5,43.5
E00118467,50,50
E00118468,46.9,53.1
E00118469,54.4,45.6
E00118470,49.8,50.2
E00118471,57.3,42.7
E00118472,35.7,64.3
E00118473,35.1,64.9
E00118474,28.2,71.8
E00118476,57,43
E00118477,44.2,55.8
E00118478,46.1,53.9
E00118479,30.1,69.9
E00118480,46.2,53.8
E00118481,27.8,72.2
E00118482,51.5,48.5
E00118483,18.1,81.9
E00118484,37.2,62.8
E00118485,43.6,56.4
E00118486,52.5,47.5
E00118488,29.8,70.2
E00118489,39,61
E00118490,54.3,45.7
E00118491,31,69
E00118492,47.7,52.3
E00118493,28.4,71.6
E00118494,45.5,54.5
E00118509,43.4,56.6
E00118510,33.7,66.3
E00118512,40.3,59.7
E00118513,37.3,62.7
E00118515,49.2,50.8
E00118516,33.8,66.2
E00118517,40.6,59.4
E00118518,52.8,47.2
E00118519,55.4,44.6
E00118521,50.6,49.4
E00118522,31.4,68.6
E00118523,58.4,41.6
E00118524,38.3,61.7
E00118525,47.7,52.3
E00118526,49.7,50.3
E00118528,37.7,62.3
E00118529,45.9,54.1
E00118530,51,49
E00118576,42.8,57.2
E00118578,35,65
E00118579,56,44
E00118580,38.1,61.9
E00118581,51.3,48.7
E00118582,56.6,43.4
E00118583,37,63
E00118584,49.3,50.7
E00118585,34.8,65.2
E00118586,50,50
E00118587,50.5,49.5
E00118588,48.1,51.9
E00118589,46,54
E00118590,36.7,63.3
E00118591,63.5,36.5
E00118592,33.6,66.4
E00118593,25.4,74.6
E00119199,66.5,33.5
E00119200,63.2,36.8
E00119201,30.9,69.1
E00119202,38,62
E00119203,59.9,40.1
E00119204,45.2,54.8
E00119206,69.5,30.5
E00119207,64.5,35.5
E00119208,71.5,28.5
E00119209,57.7,42.3
E00119210,54.3,45.7
E00119211,28.5,71.5
E00119212,40.6,59.4
E00119213,39.2,60.8
E00119214,41.6,58.4
E00119215,64.1,35.9
E00119216,66.3,33.7
E00119217,55,45
E00119218,39.4,60.6
E00119219,39.6,60.4
E00119220,28.5,71.5
E00119221,52.1,47.9
E00119222,45.3,54.7
E00119223,37.8,62.2
E00119224,68.7,31.3
E00119225,64.3,35.7
E00119226,51.4,48.6
E00119227,51.5,48.5
E00119228,53.8,46.2
E00119229,50.5,49.5
E00119230,62.9,37.1
E00119231,50.2,49.8
E00119232,44.9,55.1
E00119233,37.8,62.2
E00119234,46.3,53.7
E00119236,68.2,31.8
E00119237,42.4,57.6
E00119238,45.1,54.9
E00119239,50.5,49.5
E00119240,63.9,36.1
E00119241,41,59
E00119242,31.2,68.8
E00119244,40.1,59.9
E00119246,45,55
E00119248,28,72
E00119249,18.2,81.8
E00119250,50.3,49.7
E00119252,48.7,51.3
E00119253,45.8,54.2
E00119254,42.6,57.4
E00119255,45.1,54.9
E00119256,44.9,55.1
E00119257,53.3,46.7
E00119259,49.8,50.2
E00119260,54.9,45.1
E00119261,57.3,42.7
E00119263,47.6,52.4
E00119264,47,53
E00119265,54.2,45.8
E00119266,46.1,53.9
E00119267,32,68
E00119268,50.7,49.3
E00119269,41.1,58.9
E00119270,36.4,63.6
E00119271,47.9,52.1
E00119272,55.4,44.6
E00119273,65.5,34.5
E00119274,58.7,41.3
E00119275,52.8,47.2
E00119276,36.9,63.1
E00119277,48.7,51.3
E00119278,46.6,53.4
E00119279,30.8,69.2
E00119281,67.8,32.2
E00119283,41.3,58.7
E00119284,54.7,45.3
E00119287,63.6,36.4
E00119288,72.3,27.7
E00119289,66.2,33.8
E00119290,55,45
E00119291,61.8,38.2
E00119292,51.4,48.6
E00119293,67.6,32.4
E00119294,47.5,52.5
E00119295,65.2,34.8
E00119296,59.8,40.2
E00119297,48.5,51.5
E00119298,45.9,54.1
E00119299,18.9,81.1
E00119300,33.8,66.2
E00119301,42.2,57.8
E00119302,23.7,76.3
E00119303,35.3,64.7
E00119304,55.6,44.4
E00119305,34.9,65.1
E00119306,37.8,62.2
E00119307,63.2,36.8
E00119308,50.9,49.1
E00119309,50,50
E00119310,63.3,36.7
E00119311,29.2,70.8
E00119312,39.7,60.3
E00119313,45.6,54.4
E00119314,21,79
E00119315,41,59
E00119316,39.6,60.4
E00119400,44.5,55.5
E00119412,62.5,37.5
E00119413,37.5,62.5
E00119415,30.7,69.3
E00119416,65.3,34.7
E00119417,47.4,52.6
E00119418,56.6,43.4
E00119419,23.7,76.3
E00119420,46.5,53.5
E00119421,44.1,55.9
E00119422,53.6,46.4
E00119423,34,66
E00119424,61,39
E00119425,17.4,82.6
E00119426,57.7,42.3
E00119427,52.7,47.3
E00119428,22.4,77.6
E00119429,22.4,77.6
E00119430,47.5,52.5
E00119431,34.4,65.6
E00119432,58.1,41.9
E00119433,44.1,55.9
E00119434,40.8,59.2
E00119435,48.5,51.5
E00119436,54.2,45.8
E00119437,68.1,31.9
E00119438,44.3,55.7
E00119439,43.5,56.5
E00119440,26.4,73.6
E00119441,39.3,60.7
E00119442,58.3,41.7
E00119443,45.1,54.9
E00119444,61.8,38.2
E00119445,51.1,48.9
E00119446,48.8,51.2
E00119447,60.7,39.3
E00119448,45.3,54.7
E00119449,54,46
E00119450,43.3,56.7
E00119451,27.9,72.1
E00119452,43.5,56.5
E00119453,35.4,64.6
E00119454,38.8,61.2
E00119455,39.1,60.9
E00119456,62.2,37.8
E00119457,61.2,38.8
E00119459,41.1,58.9
E00119460,32.6,67.4
E00119461,61,39
E00119462,52.7,47.3
E00119463,45.4,54.6
E00119464,42.5,57.5
E00119465,53.6,46.4
E00119466,43.3,56.7
E00119467,34.7,65.3
E00119468,62.6,37.4
E00121396,57.1,42.9
E00121423,56.5,43.5
E00121426,34.6,65.4
E00121427,38.4,61.6
E00121430,37.7,62.3
E00121480,61.3,38.7
E00121481,43.9,56.1
E00121583,38.5,61.5
E00121585,47.3,52.7
E00121587,49,51
E00121588,46.4,53.6
E00121589,52.9,47.1
E00121610,66.3,33.7
E00121611,26,74
E00121612,54,46
E00121613,42.6,57.4
E00121614,54.5,45.5
E00121615,47.7,52.3
E00121616,32.8,67.2
E00121617,27.6,72.4
E00121618,39.5,60.5
E00121619,40.7,59.3
E00121620,22.9,77.1
E00121622,46.4,53.6
E00121623,53.2,46.8
E00121624,36.8,63.2
E00121625,45.8,54.2
E00121626,33.7,66.3
E00121627,54.5,45.5
E00121628,46.3,53.7
E00121629,40.2,59.8
E00121630,47.3,52.7
E00121632,52.2,47.8
E00169427,34.7,65.3
E00169429,53.6,46.4
E00169430,41.2,58.8
E00169432,42.2,57.8
E00169715,47.8,52.2
E00169716,28.3,71.7
E00169717,26.7,73.3
E00169718,26.4,73.6
E00169727,74,26
E00169728,57.3,42.7
E00169729,27.9,72.1
E00169730,66.8,33.2
E00169731,36.4,63.6
E00169732,17.2,82.8
E00169733,31.5,68.5
E00169734,42.1,57.9
E00169735,41.4,58.6
E00169736,60.7,39.3
E00190219,32.4,67.6
E00190220,26.1,73.9
E00190223,27.1,72.9
E00190252,36.6,63.4
E00190258,68.1,31.9
E00190261,62.8,37.2
E00190279,41.5,58.5
E00190281,21,79
E00190291,25.7,74.3
E00190295,52.7,47.3
E00190307,24.1,75.9
E00190309,17.7,82.3
E00190310,51.6,48.4
E00190320,58.2,41.8
E00190327,24.9,75.1
E00190328,28.3,71.7
E00190333,20.7,79.3
E00190342,26.7,73.3
E00190344,68.4,31.6
