geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02001682,98.6,1.1,0.3
E02001683,99.2,0.7,0.1
E02001684,92.7,5.7,1.7
E02001685,98.3,1.3,0.3
E02001686,98.8,0.9,0.3
E02001688,90.4,7.4,2.1
E02001689,88.8,8.2,3.1
E02001690,97.7,1.9,0.3
E02001691,87.8,8.9,3.3
E02001692,92.4,5.4,2.2
E02001693,95.9,3.1,1.1
E02001694,97.6,2,0.4
E02001695,98.2,1.6,0.2
E02001696,97.7,1.5,0.8
E02001697,97.7,1.8,0.6
E02001698,98.9,0.9,0.1
E02001699,97.4,2,0.6
E02001700,98,1.6,0.4
E02001701,98.6,0.9,0.5
E02001702,93.9,4.3,1.8
E02001703,98.5,1.1,0.4
E02001704,97.6,1.9,0.5
E02001706,96.4,2.7,0.9
E02001707,96.6,2.4,1
E02001709,94.3,4.9,0.8
E02001710,91.7,6.6,1.7
E02001711,95,3.6,1.4
E02001712,94.3,5,0.7
E02001713,94.8,4.5,0.7
E02001714,91.9,6.8,1.3
E02001715,89.9,7.9,2.2
E02001718,94.1,5,1
E02001719,94.7,4.3,1
E02001720,96.4,3.1,0.5
E02001721,97.9,1.6,0.4
E02001722,96.1,3.1,0.8
E02001723,86.8,10.4,2.8
E02001724,94.8,4.6,0.6
E02001725,89.1,9.5,1.4
E02001726,87,9.7,3.2
E02001727,94.6,4.2,1.1
E02001728,98,1.6,0.4
E02001729,71.1,21.4,7.5
E02001732,90.9,7.1,1.9
E02001734,85.3,10.7,4
E02001735,91.8,5.8,2.4
E02001737,89.9,7.1,3.1
E02001738,98.7,1.1,0.2
E02001739,98.8,0.9,0.3
E02001740,98.6,1.3,0.2
E02001741,98.6,1.2,0.2
E02001742,99,0.8,0.1
E02001743,97.6,1.7,0.7
E02001744,98.8,1.1,0.2
E02001745,98.6,1.1,0.3
E02001746,98.2,1.4,0.4
E02001747,98.9,0.9,0.2
E02001748,97.4,2.2,0.4
E02001749,98.2,1.4,0.4
E02001750,98.6,1.2,0.3
E02001751,97.9,1.8,0.3
E02001752,97,2.4,0.6
E02001753,97.9,1.8,0.3
E02001754,98.8,1,0.2
E02001755,97,2.6,0.4
E02001756,94.3,4.8,0.8
E02001757,98.2,1.4,0.5
E02001758,98.7,1,0.3
E02001759,96.7,2.3,1
E02001760,96.5,2.5,1
E02001761,98.7,1.2,0.1
E02001762,97.2,1.7,1.1
E02001763,98.4,1.4,0.2
E02001764,95.5,3.6,1
E02001765,96.4,2.6,1
E02001766,93.6,4.5,1.9
E02001767,96.5,2.3,1.1
E02001768,91.8,5.2,3.1
E02001769,91.7,5.9,2.3
E02001770,98,1.6,0.4
E02001771,98.7,1,0.3
E02001772,96.5,2.7,0.8
E02001773,99.3,0.6,0.1
E02001774,97.5,1.9,0.6
E02001775,99.3,0.5,0.2
E02001776,98.3,1.4,0.3
E02001777,97.9,1.6,0.5
E02001778,97,2.4,0.6
E02001779,98.2,1.5,0.3
E02001780,98.6,1.1,0.3
E02001781,98.9,0.9,0.3
E02001782,98.7,0.9,0.4
E02001783,97.8,1.8,0.4
E02001784,99.1,0.7,0.1
E02001785,99.4,0.4,0.2
E02001786,99.1,0.7,0.2
E02001787,98.5,1.1,0.3
E02001788,98.2,1.4,0.4
E02001789,98.2,1.6,0.2
E02001790,99.2,0.7,0.1
E02001791,99,0.8,0.2
E02001792,99.6,0.3,0.1
E02001793,98.6,1.1,0.3
E02001794,98.8,0.9,0.3
E02001795,98,1.6,0.4
E02001796,96.1,3.1,0.8
E02001797,98.6,1.3,0.2
E02001798,98.7,0.9,0.4
E02001799,97.6,2.1,0.3
E02001800,98.8,0.9,0.3
E02001801,84.2,13.2,2.5
E02001802,97.6,2.1,0.3
E02001803,85.2,12.2,2.6
E02001804,98.3,1.4,0.3
E02001805,96.2,3.1,0.7
E02001806,92.3,5.2,2.5
E02001807,98.5,1.2,0.3
E02001808,89.9,7.7,2.4
E02001809,98.7,1,0.3
E02001810,98.7,1,0.3
E02001811,98.8,0.9,0.3
E02001812,97.7,1.8,0.5
E02001813,98.5,1.2,0.3
E02001814,97.9,1.7,0.5
E02001815,98.4,1.4,0.2
E02001816,99.2,0.6,0.3
E02001817,98.9,0.9,0.2
E02001818,98.6,1.1,0.3
E02001819,99.1,0.8,0.1
E02001820,99,0.7,0.3
E02001821,99.3,0.6,0.1
E02001822,99,0.8,0.2
E02001823,99.3,0.6,0.1
E02001824,98.7,1.1,0.3
E02001825,98.8,1,0.2
E02001826,99,0.7,0.3
E02002483,99.1,0.7,0.2
E02002484,98.3,1.3,0.4
E02002485,97.2,1.9,0.9
E02002489,96,2.8,1.2
E02002490,94.9,3,2.1
E02002491,98.4,1.1,0.4
E02002492,98.4,1,0.6
E02002493,99.3,0.5,0.2
E02002494,98.9,0.9,0.2
E02002496,73.9,19.3,6.9
E02002497,89.4,7.2,3.4
E02002498,68.7,22.9,8.4
E02002499,97.7,1.8,0.5
E02002500,90.5,7.1,2.4
E02002501,91.3,6.8,1.9
E02002502,97.9,1.6,0.4
E02002503,93.8,4.6,1.6
E02002504,91.3,6.3,2.4
E02002505,98,1.4,0.6
E02002506,93.3,5.5,1.2
E02002507,96.6,2.6,0.8
E02002508,96.1,3.2,0.7
E02002509,97.3,2,0.7
E02002510,98.3,1.5,0.2
E02002512,98.7,1,0.2
E02002513,99,0.8,0.2
E02002514,98.6,1,0.4
E02002515,97.4,1.7,0.9
E02002516,99,0.8,0.2
E02002517,98.8,0.9,0.4
E02002518,99.3,0.5,0.2
E02002519,99,0.7,0.3
E02002520,99.4,0.4,0.2
E02002521,98.6,1.3,0.1
E02002523,97.6,1.7,0.7
E02002524,99.8,0.1,0
E02002525,99,0.6,0.4
E02002526,99.5,0.4,0.1
E02002527,99.2,0.6,0.2
E02002529,99.1,0.5,0.4
E02002530,99.7,0.3,0
E02002532,99.3,0.5,0.2
E02002533,99.4,0.5,0.1
E02002534,99.5,0.4,0.1
E02002535,99.4,0.4,0.1
E02002536,99,0.9,0.1
E02002537,98.5,1.2,0.3
E02002538,98.7,1.2,0.1
E02002539,98.5,1.3,0.2
E02002540,99.3,0.6,0.2
E02002541,98.3,1.3,0.4
E02002542,98.3,1.5,0.2
E02002543,98.1,1.6,0.3
E02002544,97.2,2.3,0.5
E02002545,98.9,0.8,0.4
E02002546,95.2,3.4,1.4
E02002547,98.3,1.2,0.5
E02002549,99,0.8,0.2
E02002550,96.4,2.5,1.2
E02002551,90.5,6.6,2.8
E02002552,98,1.6,0.4
E02002553,97.9,1.6,0.6
E02002554,99,0.8,0.3
E02002555,97.8,1.9,0.3
E02002556,97.6,2,0.3
E02002558,97.1,2.6,0.3
E02002559,98.8,0.9,0.2
E02002560,98.4,1.2,0.4
E02002561,97.9,1.7,0.5
E02002562,94.6,4.1,1.2
E02002563,97.6,2,0.4
E02002564,97.5,2,0.4
E02002567,94.3,4.7,1
E02002568,97.6,2.1,0.3
E02002569,98.2,1.6,0.2
E02002570,94,4.7,1.3
E02002571,92.5,6.2,1.3
E02002572,93.1,5.5,1.5
E02002573,98.5,1.3,0.2
E02003988,99.3,0.6,0.1
E02004008,99.6,0.4,0
E02004009,99.5,0.5,0
E02004010,91.5,6.8,1.7
E02004011,96.8,2.6,0.6
E02004013,99.3,0.6,0.1
E02004014,99.4,0.5,0.1
E02004017,97.2,2.5,0.3
E02004018,94.9,4.1,1
E02004019,98.7,1.1,0.1
E02004020,97.8,1.8,0.4
E02004023,98.5,1.4,0.1
E02004024,99.2,0.7,0
E02004025,99,0.9,0.1
E02004290,99.1,0.7,0.2
E02004291,99.2,0.7,0.1
E02004292,99.2,0.7,0.1
E02004293,97.7,1.7,0.6
E02004294,98.9,0.9,0.2
E02004295,99.3,0.6,0.1
E02004296,98.6,1.3,0.2
E02004297,99.2,0.7,0.1
E02004298,98.8,1,0.2
E02004299,98.8,0.8,0.4
E02004300,98.6,1.2,0.2
E02004301,98.5,1,0.5
E02004302,98.6,1.1,0.3
E02004303,98.5,1.1,0.4
E02004304,97.8,1.7,0.5
E02004305,97.4,2.1,0.5
E02004306,98.9,0.9,0.1
E02004307,99,0.9,0.1
E02004308,96.7,2.7,0.6
E02004309,94.2,5.1,0.7
E02004310,98.2,1.6,0.2
E02004311,99,0.8,0.2
E02004312,97.9,1.9,0.3
E02004313,91.1,7.7,1.2
E02004314,89.6,9.8,0.5
E02004315,92.6,6.7,0.7
E02004316,97.9,1.8,0.3
E02004317,98.2,1.3,0.5
E02004318,96.6,3,0.4
E02004319,98.6,1.2,0.2
E02004320,99.3,0.6,0.1
E02004321,98.4,1.2,0.4
E02004322,98.3,1.5,0.3
E02004323,98.6,0.9,0.5
E02004324,99,0.9,0.1
E02004325,98.6,1,0.4
E02004326,98.6,1.1,0.3
E02004327,98.9,0.9,0.1
E02004328,99,0.8,0.2
E02004329,99,0.7,0.3
E02004330,99.4,0.4,0.1
E02004331,98.8,1,0.2
E02004332,99.2,0.6,0.2
E02004333,99.2,0.6,0.1
E02004334,99.3,0.6,0.1
