geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02001682,8.9,19.4,63.2,8.5
E02001683,8.7,19.1,63.3,8.9
E02001684,6.9,20,66,7.2
E02001685,8.4,19.7,64.3,7.6
E02001686,8,19.8,62.7,9.4
E02001688,8.2,18.8,64.9,8.1
E02001689,12.3,30.2,51.9,5.7
E02001690,8.4,20.9,62.2,8.5
E02001691,8.8,21.7,61.5,7.9
E02001692,8.2,25.6,59.7,6.5
E02001693,8.3,22.3,63.1,6.4
E02001694,7.7,20.1,64.2,8
E02001695,8,19.6,64.2,8.2
E02001696,7.7,22.3,63,7
E02001697,8.1,18.8,64.2,8.9
E02001698,9,20.9,60.2,10
E02001699,7,20.5,65.1,7.3
E02001700,7.8,19.9,63.5,8.8
E02001701,7.7,19,63.7,9.6
E02001702,9.3,23.6,61.6,5.5
E02001703,10.4,20.3,59.5,9.8
E02001704,8.4,22,63.2,6.4
E02001706,8.7,18.7,63.7,9
E02001707,7.4,20.9,64,7.7
E02001709,8.6,17.3,63,11
E02001710,10.4,23.9,59.8,5.9
E02001711,8.3,22.7,60.3,8.7
E02001712,9.2,16.5,60.8,13.5
E02001713,9,18.2,59.8,13.1
E02001714,8.1,18.8,62.8,10.3
E02001715,10.3,23.2,58.4,8
E02001718,9.9,23,59.3,7.8
E02001719,8.3,20.1,62,9.6
E02001720,23.9,16.9,47.3,11.8
E02001721,8.4,20.3,63,8.2
E02001722,8.1,24,61.6,6.2
E02001723,10.2,24.6,57.4,7.8
E02001724,19.6,15.3,53.7,11.4
E02001725,11.5,16.8,64.1,7.5
E02001726,11,26.4,56.2,6.3
E02001727,9.3,21.2,62.2,7.3
E02001728,9.2,21.8,62.1,7
E02001729,17.1,26.7,50,6.2
E02001732,9.8,22,60.4,7.8
E02001734,10.6,26.2,56,7.2
E02001735,11,26.2,55.6,7.1
E02001737,10,26.3,57,6.8
E02001738,10,20,57.4,12.6
E02001739,8.1,21.2,63.9,6.8
E02001740,10.5,20.5,57.2,11.8
E02001741,7.6,20.9,62.6,8.9
E02001742,8.4,20.7,62.1,8.9
E02001743,8,20,62.3,9.7
E02001744,6.8,18.3,65.1,9.8
E02001745,7.4,21.6,64.3,6.7
E02001746,9.2,22,60.7,8.2
E02001747,7.6,21.7,61,9.7
E02001748,8,19.1,64,8.9
E02001749,6.8,20.8,63.3,9.1
E02001750,9.3,19.6,61.8,9.4
E02001751,6.3,20.4,64.9,8.4
E02001752,8.3,23.6,61.5,6.6
E02001753,9.2,20,59.6,11.2
E02001754,8.3,20.6,60.9,10.2
E02001755,7,17.9,65.6,9.4
E02001756,7.6,19.3,66.1,7.1
E02001757,9.2,22.4,59.3,9.1
E02001758,7.4,23.5,62.7,6.4
E02001759,8.5,17.5,65.4,8.5
E02001760,10.2,26.2,57.5,6.1
E02001761,7.6,22,64,6.4
E02001762,6.8,20.2,65.2,7.7
E02001763,8.1,21.5,64.5,5.9
E02001764,9.5,21.6,60.7,8.2
E02001765,7.6,22.7,62.4,7.2
E02001766,7.7,21.3,63.3,7.7
E02001767,8.7,21.7,62.9,6.7
E02001768,9,23,58.4,9.6
E02001769,8.6,22.9,59.8,8.7
E02001770,8.1,19.3,63.5,9.1
E02001771,9.4,23.9,58.7,8.1
E02001772,8,21.2,62.3,8.5
E02001773,9.2,20.2,59.2,11.4
E02001774,8.3,22,62,7.6
E02001775,9.2,23.8,58.1,8.9
E02001776,6.7,20.2,64.5,8.6
E02001777,6.8,16.3,68.3,8.5
E02001778,8.4,21.1,63.1,7.4
E02001779,8.7,22.3,60.8,8.2
E02001780,7.6,22.1,61,9.3
E02001781,8.7,23.2,59.8,8.4
E02001782,6.7,21.6,62.8,8.9
E02001783,8.3,25.5,57.4,8.8
E02001784,6.8,22.5,62.2,8.5
E02001785,8.8,21.2,58.7,11.4
E02001786,8.4,23.3,60.7,7.6
E02001787,8,21.7,63.3,7
E02001788,8,20.5,62.1,9.4
E02001789,9.9,19.6,56.4,14.1
E02001790,8.9,19.4,60.9,10.8
E02001791,7.9,18.5,65.1,8.5
E02001792,8.8,20.5,62,8.7
E02001793,7.9,24.4,61.1,6.6
E02001794,8.1,25.7,60.1,6.1
E02001795,9,23.3,61.2,6.5
E02001796,8.5,21,62.9,7.7
E02001797,6.8,18.7,65.3,9.2
E02001798,8.4,22.8,62.4,6.3
E02001799,6.6,21.8,64.9,6.7
E02001800,7.6,21.2,63.8,7.5
E02001801,11,25.4,58.5,5.2
E02001802,7.6,24.2,62.7,5.5
E02001803,12.6,21.1,59.5,6.7
E02001804,7.9,23.8,61.4,6.9
E02001805,8.1,21.5,63.5,6.9
E02001806,10.1,23.9,58.3,7.8
E02001807,7.2,19,64.2,9.5
E02001808,8.3,23.6,61.8,6.4
E02001809,8.2,21.3,62.6,7.9
E02001810,6.5,19.8,65.8,7.9
E02001811,6.8,25,61.3,6.9
E02001812,8.9,20.2,61.8,9.1
E02001813,8.1,25.9,60.3,5.7
E02001814,8.5,23.5,60.9,7.1
E02001815,9.4,20.2,61.3,9.2
E02001816,6.8,24,63.3,6
E02001817,7.7,23.3,61.8,7.2
E02001818,7.4,20,64.4,8.2
E02001819,8,19.1,64,8.9
E02001820,6.7,20.3,64.3,8.8
E02001821,7.6,20.2,63.5,8.7
E02001822,7.4,18.6,64.4,9.6
E02001823,7.2,19.6,66.6,6.6
E02001824,7.5,20.6,63.5,8.3
E02001825,7.2,19.9,63.9,9
E02001826,7.8,20.9,63.6,7.6
E02002483,6.9,20.3,62.5,10.3
E02002484,9.6,23.6,57.8,8.9
E02002485,10.4,25.7,57,6.9
E02002489,11,23.4,57.2,8.3
E02002490,7.9,24.4,59.8,7.9
E02002491,9.3,25.1,57.9,7.7
E02002492,8.8,25.4,57.8,8
E02002493,8.1,19.7,62.3,9.9
E02002494,10.7,27.6,53.6,8.1
E02002496,17.3,29.4,47.5,5.8
E02002497,10.2,25.9,56.2,7.6
E02002498,15.4,29.4,49.3,5.9
E02002499,9.7,26.7,57.6,6
E02002500,10.6,23.3,57.7,8.5
E02002501,8.9,26,57.1,8
E02002502,10.4,26.5,55.6,7.5
E02002503,10.3,24.9,57.8,7.1
E02002504,9.5,22.5,59.2,8.7
E02002505,10.4,28.6,54.9,6.1
E02002506,10.3,25.2,57.5,7.1
E02002507,8.1,20.8,60.9,10.1
E02002508,8.7,21.6,60,9.6
E02002509,8.2,25.3,58.4,8.1
E02002510,8.5,19,61.9,10.6
E02002512,8.5,19.4,60.4,11.6
E02002513,8.8,22,59.1,10.1
E02002514,9.4,22,59.6,9.1
E02002515,10.3,24.6,55.8,9.3
E02002516,8.4,23.4,58.9,9.3
E02002517,9.5,23.9,56.5,10.1
E02002518,8.6,21.2,60,10.2
E02002519,9.3,24.7,56.8,9.2
E02002520,8.8,21.2,59.1,10.9
E02002521,11.6,23.5,53.4,11.5
E02002523,8.3,30.1,53.2,8.4
E02002524,10,22,58.2,9.9
E02002525,8.9,23.9,57.7,9.5
E02002526,10.2,22.8,56.7,10.2
E02002527,9.5,25.5,56.7,8.2
E02002529,8.7,22.5,57.8,11
E02002530,10.6,22.8,54.6,12
E02002532,10.9,21.2,57,10.9
E02002533,10.6,21.4,56.5,11.5
E02002534,9.4,20.5,58.7,11.4
E02002535,7.9,19,62.8,10.4
E02002536,8.8,23,59.9,8.3
E02002537,9.3,24.9,57.7,8.1
E02002538,9,22.3,59.8,9
E02002539,10.1,16.8,58.5,14.6
E02002540,8.3,20.2,60.5,10.9
E02002541,8,22.9,61,8.1
E02002542,8.4,26.2,57.5,7.9
E02002543,8.1,23.6,59.9,8.5
E02002544,9.3,23.1,59.3,8.3
E02002545,9.4,21.3,60.3,9
E02002546,10.3,24.1,56.5,9.1
E02002547,10.2,20.1,61.4,8.3
E02002549,8.7,21.8,60.2,9.3
E02002550,9.4,20.9,60.1,9.6
E02002551,9.8,22.9,60.1,7.2
E02002552,7.9,22.9,61.1,8.1
E02002553,8.2,21.7,61.1,9
E02002554,9.5,23.8,58.8,8
E02002555,9,19.7,58.5,12.8
E02002556,8.6,18.5,60.4,12.4
E02002558,9.1,17.4,60.2,13.2
E02002559,8.6,17.4,60,14
E02002560,7.9,21,62,9
E02002561,8.2,20.5,62.6,8.7
E02002562,9.2,21.3,62.2,7.4
E02002563,9.1,21.5,60.1,9.3
E02002564,7.8,22.3,61.8,8.1
E02002567,8.1,21.5,62.9,7.6
E02002568,8.2,18.3,61.4,12.2
E02002569,9.4,19.4,60.3,11
E02002570,7.5,20.1,63.7,8.7
E02002571,8.5,20.9,61.4,9.2
E02002572,8.4,20.1,62.5,9
E02002573,9.3,18.8,59.6,12.3
E02003988,11.7,21.1,52,15.2
E02004008,14.4,22,44.5,19.1
E02004009,12.5,19,47.1,21.3
E02004010,10.2,21.3,56.8,11.7
E02004011,12,20.5,53.6,13.8
E02004013,12,21.1,47.8,19.1
E02004014,13.5,21.3,45.2,19.9
E02004017,13.6,22.2,54.7,9.5
E02004018,12.3,23.4,56.3,8.1
E02004019,12.5,22.1,53.3,12.1
E02004020,12.2,22.2,57.2,8.4
E02004023,15,21.6,44.8,18.5
E02004024,12.7,22.7,48.2,16.4
E02004025,13.1,22.8,51.6,12.4
E02004290,8.6,19.5,62.2,9.8
E02004291,7.6,19.1,64.6,8.7
E02004292,8.7,17.6,64.4,9.3
E02004293,8.9,20.8,61.5,8.8
E02004294,8.5,18.8,61.9,10.7
E02004295,8.3,21.5,59.6,10.6
E02004296,8.7,20.7,62,8.6
E02004297,7.4,18.8,63.7,10.1
E02004298,9,19.5,60.8,10.6
E02004299,8.2,19,64.2,8.6
E02004300,7.6,20.6,62.4,9.4
E02004301,8.5,19.7,64.4,7.3
E02004302,8.5,21.4,61,9.1
E02004303,8.3,19,63.8,8.9
E02004304,8.2,20,63.4,8.4
E02004305,7.9,19.3,62.8,10
E02004306,9.3,20.3,58.1,12.3
E02004307,8.2,20.7,60,11
E02004308,9.4,20,60.1,10.4
E02004309,8.7,18.9,63.4,8.9
E02004310,8.4,21.4,60.4,9.7
E02004311,10.3,19.2,60.9,9.6
E02004312,8.8,18.5,64,8.7
E02004313,17,20.9,54.5,7.6
E02004314,48.3,13,29.7,9
E02004315,13.4,15.7,57.8,13.1
E02004316,8.1,20.2,62.7,9
E02004317,9.2,22.4,60.6,7.9
E02004318,8.6,17.2,62,12.2
E02004319,7.1,17.3,66.2,9.4
E02004320,7.1,19.2,64.8,8.9
E02004321,7.8,20.9,62.6,8.6
E02004322,7.6,23.5,61.6,7.4
E02004323,6.8,19.6,64.8,8.8
E02004324,7.8,19.9,63.2,9
E02004325,8.3,21.4,63,7.3
E02004326,8,19.4,63.7,8.9
E02004327,9.1,23.3,60.6,7
E02004328,8.1,19.6,65,7.3
E02004329,7.8,18.8,65.4,8
E02004330,7.2,20.1,63.6,9.1
E02004331,8.2,17.9,64.8,9
E02004332,8.6,19.8,62.1,9.5
E02004333,8.5,18.7,63.9,8.9
E02004334,8.8,21.2,60.7,9.4
E02004335,7.6,18.5,65.3,8.6
E02004336,7.8,19.5,64.3,8.5
E02004337,7.3,17,65.5,10.1
E02004338,7,17,66.5,9.6
E02004339,9.1,18,59.6,13.2
E02004340,8.4,20.8,62.9,8
E02004341,7.2,17,65.8,10
E02004342,8,20.3,63.5,8.1
E02004343,8.1,18.8,64.3,8.9
E02004344,8.8,18.1,64.5,8.6
E02004345,9.4,19.8,56.1,14.7
E02004348,10.1,20.9,51.4,17.6
E02004349,8.1,20.7,61.4,9.7
E02004350,7.7,19.7,61.8,10.8
E02004351,8.7,22,59.5,9.8
E02004352,8.3,20.5,62.5,8.7
E02004353,8.4,21.5,61.5,8.6
E02004354,8,20.7,61,10.2
E02004355,9.9,23.6,59.2,7.3
E02005702,12,22.1,51.5,14.3
E02005703,10.7,24.8,54.2,10.3
E02005704,12.5,23.6,53,10.9
E02005705,13.3,20.8,49.1,16.8
E02005706,11.5,26.7,52.9,8.8
E02005707,12.8,22.8,50.6,13.8
E02005708,14.9,21.4,46.7,17.1
E02005709,9.1,24.3,59.9,6.8
E02005710,7.9,19.3,64,8.7
E02005711,8.6,23.5,60.5,7.4
E02005712,6.9,18.5,64.4,10.1
E02005713,7.1,20.9,63.4,8.6
E02005715,8.8,20.6,62.4,8.2
E02005717,9.3,21.9,59.2,9.6
E02005718,9,19.6,63.3,8.1
E02005719,7.7,19.2,64.4,8.7
E02005720,10.1,21.8,57.3,10.8
E02005721,10.4,21.8,56.8,11
E02005722,10.9,18.5,53.6,17
E02005723,12,21,57.9,9
E02005724,9.1,18.7,60.9,11.3
E02005725,12,20.9,52.5,14.7
E02005726,10.9,20.1,52.4,16.6
E02005727,12.6,21.5,44.9,21.1
E02005728,11.5,21.8,48.6,18.1
E02005729,11.6,19,55.9,13.6
E02005730,12,23.8,51.7,12.5
E02005731,9.2,20.9,60,9.9
E02005733,12.4,22.1,47.3,18.1
E02005734,8.8,23.6,58.5,9.1
E02005735,8.7,25,59.3,7
E02005736,7.8,21.1,63.2,7.8
