geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02001682,2.9,30.2,66.9
E02001683,2.2,30.7,67.1
E02001684,4.7,39,56.3
E02001685,3.5,34.5,62
E02001686,3.1,34.4,62.4
E02001688,4.4,43.8,51.8
E02001689,8.6,39.8,51.7
E02001690,3,34.6,62.4
E02001691,7.4,37.9,54.7
E02001692,4.8,30.9,64.3
E02001693,3.9,40.2,55.9
E02001694,3.4,29.5,67
E02001695,2.2,31.2,66.6
E02001696,3.8,28.8,67.4
E02001697,3.1,30.8,66.1
E02001698,2,30.3,67.7
E02001699,2.8,35,62.2
E02001700,2.9,29.1,68
E02001701,2.7,31.9,65.4
E02001702,3.8,35.6,60.6
E02001703,3,29.5,67.5
E02001704,3.2,40.5,56.3
E02001706,2.9,28.1,69
E02001707,3.4,32.4,64.2
E02001709,4.1,28.3,67.5
E02001710,4.5,37.2,58.3
E02001711,4.3,33.7,62
E02001712,6,34.1,59.9
E02001713,4.2,31.7,64.1
E02001714,4.9,25.4,69.7
E02001715,5.2,32.3,62.5
E02001718,3.5,35.5,61
E02001719,6.7,29.2,64.1
E02001720,41.7,25,33.3
E02001721,3.6,34.5,61.9
E02001722,3.8,33.4,62.8
E02001723,7.1,28.8,64.1
E02001724,32,34.7,33.3
E02001725,21.3,38.9,39.8
E02001726,5.9,31.5,62.5
E02001727,4.1,34.7,61.2
E02001728,3.1,33.3,63.6
E02001729,18.3,31.5,50.2
E02001732,5.1,33.5,61.3
E02001734,6,33.8,60.2
E02001735,4.1,34.8,61.1
E02001737,4.9,42.1,53.1
E02001738,2.2,25.4,72.4
E02001739,2.4,35.9,61.7
E02001740,3,22.4,74.6
E02001741,1.8,36.3,61.9
E02001742,1.8,31.1,67.2
E02001743,4.1,34.5,61.4
E02001744,2.6,31.5,65.9
E02001745,2.5,32.2,65.3
E02001746,3.4,32.6,64
E02001747,2.8,33.9,63.3
E02001748,2.9,28.3,68.9
E02001749,2.6,34.3,63.1
E02001750,3.5,27.2,69.3
E02001751,3,31,66.1
E02001752,3.7,33.8,62.5
E02001753,2.4,42.8,54.8
E02001754,2.1,36.2,61.7
E02001755,3,29.5,67.4
E02001756,3.5,36.7,59.8
E02001757,3.1,33.1,63.8
E02001758,2.5,32.3,65.2
E02001759,3,49.2,47.8
E02001760,4.2,37,58.9
E02001761,3.1,34.6,62.4
E02001762,2.5,30.3,67.2
E02001763,3.7,37.4,58.9
E02001764,3.4,47.6,48.9
E02001765,3.9,37.4,58.8
E02001766,3.3,40.8,55.9
E02001767,3.5,41,55.4
E02001768,4.8,41.9,53.3
E02001769,3.5,51.3,45.2
E02001770,2.6,44,53.5
E02001771,2.5,32.8,64.7
E02001772,2.7,39.5,57.8
E02001773,2.2,27.4,70.4
E02001774,3.3,42.4,54.3
E02001775,2.9,33.3,63.9
E02001776,3.1,34.2,62.7
E02001777,3,33.7,63.2
E02001778,3.3,45.1,51.6
E02001779,2.9,38.9,58.2
E02001780,3.3,31.5,65.2
E02001781,2.7,37.7,59.7
E02001782,3,32.1,64.9
E02001783,3.2,29.2,67.6
E02001784,3.3,32.7,64
E02001785,2.5,34.3,63.3
E02001786,2.8,36,61.2
E02001787,3,31.5,65.5
E02001788,2.1,33.8,64.1
E02001789,2.6,26.4,71
E02001790,2.4,30.6,67
E02001791,3.2,26.3,70.5
E02001792,1.5,28.8,69.7
E02001793,2.8,37.6,59.7
E02001794,3.7,32.6,63.7
E02001795,2.8,41,56.2
E02001796,3.6,41.9,54.5
E02001797,2.8,28.5,68.8
E02001798,3.6,29.2,67.2
E02001799,3.8,34.8,61.4
E02001800,3.2,31,65.8
E02001801,6.1,36.3,57.6
E02001802,4.6,31.1,64.3
E02001803,7.3,50.8,41.9
E02001804,3.4,31.5,65.1
E02001805,4.5,30.5,65
E02001806,5.4,49.7,44.9
E02001807,3.1,27.6,69.3
E02001808,7.6,33.3,59.1
E02001809,2.2,32.6,65.2
E02001810,3.1,31,65.9
E02001811,3.8,35,61.2
E02001812,3.9,27.3,68.8
E02001813,4.2,31.8,64
E02001814,3.2,32.3,64.5
E02001815,3.8,25.4,70.8
E02001816,2.7,42.4,54.9
E02001817,3.4,32.6,64
E02001818,3.8,29.6,66.6
E02001819,3.1,28.1,68.9
E02001820,2.6,26.2,71.2
E02001821,3.3,26.8,69.9
E02001822,3.8,28.5,67.6
E02001823,2.8,30,67.1
E02001824,2.9,33.2,64
E02001825,2.4,34.3,63.3
E02001826,3.2,31.4,65.4
E02002483,2.5,27.3,70.2
E02002484,3.5,36,60.5
E02002485,3.3,33.9,62.7
E02002489,5.4,45.1,49.5
E02002490,4.5,35.8,59.7
E02002491,4.2,34.4,61.4
E02002492,3.2,32.4,64.4
E02002493,2.7,28,69.3
E02002494,3.5,33.3,63.3
E02002496,14.6,44,41.4
E02002497,6.6,38.9,54.6
E02002498,14.9,39.5,45.5
E02002499,4.7,29,66.3
E02002500,8.2,33,58.8
E02002501,4.8,33.5,61.7
E02002502,4.2,38.4,57.4
E02002503,5.2,28.3,66.5
E02002504,6.7,30.3,63
E02002505,4.3,29.1,66.7
E02002506,4.6,38.1,57.3
E02002507,4.1,28,67.9
E02002508,4.4,30.5,65.1
E02002509,4.4,31.8,63.8
E02002510,2.5,27.2,70.3
E02002512,2.8,26.1,71.1
E02002513,3.3,33.8,62.9
E02002514,3.5,36.6,59.9
E02002515,4.6,46.4,49.1
E02002516,3.7,30.9,65.5
E02002517,4.3,34.2,61.5
E02002518,2.7,28.4,68.9
E02002519,3.2,38.3,58.5
E02002520,2.4,31.4,66.2
E02002521,3.2,41,55.8
E02002523,3.8,34,62.2
E02002524,2.9,28.4,68.7
E02002525,3.4,37.3,59.3
E02002526,2.9,29.6,67.5
E02002527,3.6,36,60.4
E02002529,2.8,33.3,63.8
E02002530,3.1,33.2,63.7
E02002532,2.4,40.2,57.4
E02002533,2.3,25.9,71.8
E02002534,2.2,25.8,71.9
E02002535,2.8,28.5,68.7
E02002536,3.4,34.8,61.8
E02002537,4.7,32.8,62.5
E02002538,3.6,31,65.5
E02002539,3.5,21.3,75.2
E02002540,2.2,31.4,66.4
E02002541,4,38.8,57.2
E02002542,4.6,29.9,65.5
E02002543,4.4,30.7,64.9
E02002544,4.2,38,57.8
E02002545,3,29.6,67.4
E02002546,7.1,31.1,61.8
E02002547,2.9,31,66.1
E02002549,3.1,29.3,67.6
E02002550,4.5,30.4,65.1
E02002551,5.2,48.2,46.6
E02002552,4.1,30.1,65.8
E02002553,3.8,33.2,63
E02002554,3.2,35.6,61.2
E02002555,2.8,28.7,68.5
E02002556,4.9,20.7,74.4
E02002558,2.3,29.7,68.1
E02002559,3.4,25.6,71
E02002560,2.8,27.7,69.6
E02002561,2.6,29.5,67.9
E02002562,4,46.5,49.6
E02002563,3.5,31.6,64.9
E02002564,3.7,33.3,62.9
E02002567,4.3,32.1,63.6
E02002568,2.8,33.7,63.5
E02002569,2.3,28.6,69.1
E02002570,4.5,42.3,53.2
E02002571,4.4,29.4,66.1
E02002572,5.7,35.5,58.8
E02002573,2.8,25.9,71.2
E02003988,3,34.7,62.3
E02004008,4.3,27.6,68.2
E02004009,3.8,25.3,70.9
E02004010,5.2,40.8,54
E02004011,3.7,30.5,65.8
E02004013,3,31.1,65.9
E02004014,3.6,29.6,66.7
E02004017,4.7,32.9,62.4
E02004018,4.8,40.2,54.9
E02004019,3.7,27.4,68.9
E02004020,3.4,31.1,65.6
E02004023,3.5,34.3,62.2
E02004024,3.1,25.1,71.9
E02004025,3.2,32.2,64.6
E02004290,2.3,28.4,69.3
E02004291,2.5,35.3,62.2
E02004292,3.1,30.7,66.2
E02004293,2.6,41.5,55.9
E02004294,1.7,31.1,67.3
E02004295,2.2,29,68.7
E02004296,3.5,33.2,63.3
E02004297,2.9,31.4,65.7
E02004298,3,28.7,68.3
E02004299,2.4,33.8,63.8
E02004300,3.2,36.9,59.8
E02004301,2.9,34.1,63
E02004302,3.5,38.8,57.7
E02004303,3,39.7,57.3
E02004304,3.4,31.4,65.2
E02004305,2.9,30.1,67
E02004306,2.9,32,65.1
E02004307,3.7,32,64.3
E02004308,2.6,29.6,67.8
E02004309,3,39.5,57.5
E02004310,2.7,33.7,63.6
E02004311,2.7,32.9,64.5
E02004312,2.8,33.4,63.8
E02004313,15.1,35.5,49.4
E02004314,40.7,35.5,23.8
E02004315,11.5,26,62.5
E02004316,3.1,36.8,60.1
E02004317,2.9,39.3,57.8
E02004318,3.2,33.8,63
E02004319,2.4,32.1,65.5
E02004320,3,29.4,67.6
E02004321,3.7,36.7,59.6
E02004322,3.5,32.5,64.1
E02004323,3.2,34,62.8
E02004324,2.9,34.9,62.2
E02004325,3.5,35.8,60.8
E02004326,3.7,34.2,62.1
E02004327,2.9,41.7,55.4
E02004328,2.9,31.6,65.5
E02004329,3.2,29.3,67.5
E02004330,2.6,39.5,57.9
E02004331,2.6,33,64.4
E02004332,3.4,30.4,66.2
E02004333,2.1,32.2,65.7
E02004334,2.5,34.1,63.4
E02004335,3,35.5,61.4
E02004336,2.1,39.7,58.2
E02004337,2.6,33.9,63.5
E02004338,2.9,36.7,60.4
E02004339,2.8,30.4,66.8
E02004340,2.9,39.6,57.5
E02004341,2.8,26.2,71
E02004342,4.5,34,61.6
E02004343,3,35.9,61.1
E02004344,3.2,34.7,62.1
E02004345,3.1,32.3,64.6
E02004348,2.8,32.7,64.5
E02004349,3.8,33.3,62.9
E02004350,2.9,34.5,62.6
E02004351,3.6,34.8,61.6
E02004352,3.2,39.4,57.4
E02004353,2.9,33.7,63.5
E02004354,3.5,30.2,66.3
E02004355,3,34.9,62.1
E02005702,2.1,27.1,70.8
E02005703,1.6,43.6,54.8
E02005704,2.5,30.2,67.4
E02005705,2.5,29.9,67.6
E02005706,3.2,39.1,57.7
E02005707,2.8,29.9,67.3
E02005708,3.2,34.1,62.7
E02005709,3.6,39.7,56.6
E02005710,2.6,42.6,54.8
E02005711,3,34.2,62.8
E02005712,3.4,28.1,68.5
E02005713,2.2,24.8,72.9
E02005715,3.7,33.3,63
E02005717,2.1,33.8,64.1
E02005718,1.9,36,62.1
E02005719,1.8,38.5,59.7
E02005720,3.1,32.1,64.8
E02005721,2.5,32.9,64.6
E02005722,2.9,22.8,74.4
E02005723,2,43.1,54.9
E02005724,2,24.3,73.6
E02005725,3.5,30,66.4
E02005726,3.7,21.2,75.1
E02005727,3.3,29.2,67.5
E02005728,2.7,32.9,64.3
E02005729,2.7,31,66.4
E02005730,2.8,35.8,61.4
E02005731,2.6,31.5,66
E02005733,2.7,28.8,68.5
E02005734,3.9,37.8,58.3
E02005735,2.9,41.8,55.3
E02005736,3.2,35.5,61.4
E02005739,2.7,32.5,64.8
E02005740,3.2,37.6,59.3
E02005741,2.5,29.2,68.3
E02005750,2.8,34.8,62.4
E02005751,2.7,28.4,68.9
E02005752,3.2,28.9,67.9
E02005754,3.7,24.8,71.5
E02005755,3.2,32.4,64.4
E02005756,3.7,23,73.3
E02005757,3.8,33.9,62.3
E02005758,3.4,25.9,70.8
E02005761,4.3,26.6,69
E02005782,3.2,26.2,70.6
E02005783,2.6,37,60.4
E02005784,3.8,28.8,67.4
E02005785,4.5,22.7,72.8
E02005786,2,32.1,65.9
E02005787,3.3,29.7,67
E02005788,3.3,31,65.6
E02005789,3.1,32.8,64.1
E02005790,3.6,30.1,66.3
E02005795,3,41.3,55.8
E02005796,4.3,30.4,65.3
E02005797,3.5,31.5,65
E02005798,3.5,28.9,67.5
E02005799,2.9,30.5,66.7
E02005800,5.2,49.3,45.5
E02005801,4.2,34.1,61.7
E02005802,5.5,35.5,59
E02005803,4.7,37,58.4
E02005804,4.5,56.4,39.1
E02005805,2.9,30.3,66.8
E02005806,4.4,27.3,68.3
E02005807,4,25.4,70.6
E02005808,3.7,33.2,63.1
E02006811,3.7,25.8,70.5
E02006812,3.8,33.9,62.4
E02006841,6.8,49.3,43.9
E02006842,5.1,41.2,53.7
E02006893,2.7,30.8,66.5
E02006909,2.9,25.6,71.5
E02006910,4.2,31.1,64.7
E02007022,2.8,34.3,62.8
E02007042,3.3,32,64.7
E02007043,3.8,37.9,58.3
E02007058,4.4,48.2,47.4
E02007059,4.4,37.9,57.7
E02007060,5.2,48.4,46.4
E02007061,7.6,36.3,56.2
E02007062,3.5,20.6,75.8
E02007063,3.8,14.3,81.9
E02007094,3.4,37.1,59.5
E02007095,4,28,68.1
E02007096,4.1,25.6,70.3
E02007097,29.7,34.9,35.4
