geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02001682,5.7,30.5,45.3,18.6
E02001683,5.1,38.7,40.8,15.4
E02001684,13.9,45.1,33,7.9
E02001685,10.2,32.4,50.5,7
E02001686,8.7,31.6,46.2,13.5
E02001688,14,46.3,33.1,6.5
E02001689,12,39.5,31.2,17.3
E02001690,6.1,36.1,41.2,16.7
E02001691,8.2,44.2,30.5,17.1
E02001692,7.2,43.4,43.6,5.8
E02001693,12.7,40.5,40.2,6.5
E02001694,5.5,31.9,52.4,10.3
E02001695,8.8,30.5,46.7,14
E02001696,7.4,39.2,48.9,4.5
E02001697,4.9,35.4,40.2,19.5
E02001698,3.5,27.5,44.5,24.5
E02001699,10,36.8,46,7.2
E02001700,3.4,32.8,46.8,17
E02001701,6.3,24.1,46.2,23.4
E02001702,11.2,33.8,48.2,6.8
E02001703,5.9,21.7,49.2,23.2
E02001704,11.2,36.4,47,5.4
E02001706,6.8,33.1,43.3,16.8
E02001707,7.2,34.1,44.5,14.3
E02001709,4,24.6,35.2,36.2
E02001710,11.6,33.2,47.2,8.1
E02001711,6.8,25.1,54.4,13.7
E02001712,6,29,34.6,30.4
E02001713,7.8,24.4,29.6,38.2
E02001714,2.1,18.4,46,33.5
E02001715,8.7,27.9,50.5,13
E02001718,6.8,31.2,54.3,7.7
E02001719,3.7,27.1,51,18.2
E02001720,8.9,27.2,20.3,43.6
E02001721,7,34.5,44.8,13.6
E02001722,7.2,24.6,59.1,9.1
E02001723,6,32,49.4,12.6
E02001724,16,36.8,16.1,31.1
E02001725,16.4,40.2,27.8,15.6
E02001726,5.5,34.9,48.7,10.9
E02001727,9.1,37.2,45.4,8.3
E02001728,7.9,32.7,49.5,9.8
E02001729,13.1,31.6,32.6,22.7
E02001732,7.7,37.7,47.7,6.9
E02001734,11.3,34.3,45.6,8.8
E02001735,12.9,36.5,47.7,2.9
E02001737,17.2,40.6,38,4.2
E02001738,2.4,15.7,32.3,49.6
E02001739,13.3,31.6,42.8,12.4
E02001740,4.3,12.1,39,44.6
E02001741,6.7,36.9,40.7,15.7
E02001742,3.8,28.8,46,21.3
E02001743,10.1,23.7,36.4,29.8
E02001744,6.9,29.4,43.3,20.3
E02001745,7,33,49,10.9
E02001746,8.6,23.1,50.3,18
E02001747,7.3,27.4,47.3,18.1
E02001748,7.1,29.3,42.7,21
E02001749,10.7,31.6,38.6,19.1
E02001750,3.9,24.7,42.4,29
E02001751,8.9,29.5,43.9,17.7
E02001752,10.3,25.5,56.7,7.5
E02001753,15.6,32.9,32.2,19.3
E02001754,7.4,32.7,33.8,26.2
E02001755,8.6,23.1,38,30.3
E02001756,6.3,37.4,48.7,7.7
E02001757,6.5,34.4,47.6,11.5
E02001758,6.2,31.2,49.6,13
E02001759,17.7,40.3,30.5,11.6
E02001760,8.9,40.7,43.8,6.6
E02001761,8.5,32.3,52.3,6.9
E02001762,6.5,31.6,45.8,16.1
E02001763,10.8,39.9,44,5.4
E02001764,21.8,37.1,34.5,6.5
E02001765,13.9,36.7,40.8,8.6
E02001766,8.8,42,38.7,10.5
E02001767,12.8,37.2,41,9.1
E02001768,11.9,38.7,37.3,12.1
E02001769,21.8,41.3,31,5.9
E02001770,10,42.7,35,12.4
E02001771,6.7,28.8,54.7,9.7
E02001772,10.2,31.2,47.8,10.8
E02001773,1.1,28.9,52.5,17.5
E02001774,17,27.7,45.8,9.5
E02001775,8.8,22.8,63.4,5
E02001776,6.3,37.9,46.5,9.3
E02001777,4.7,36.8,42.6,15.9
E02001778,11.6,43.6,37.2,7.6
E02001779,16.8,32.3,45.4,5.5
E02001780,9,19.9,59.9,11.2
E02001781,12.1,41.4,42.9,3.6
E02001782,8.3,24.6,55.3,11.9
E02001783,7,40,48.8,4.1
E02001784,9.7,22.1,59,9.2
E02001785,9.6,27.5,49.4,13.5
E02001786,10,30.3,54.5,5.3
E02001787,7.2,20.2,67,5.7
E02001788,11.4,31.2,44.4,13
E02001789,2.4,18.2,42.5,36.9
E02001790,6.1,24.6,50.2,19
E02001791,2.3,22.2,55.4,20.1
E02001792,5.7,24.4,48,21.9
E02001793,11,42.9,41.5,4.6
E02001794,6.9,40.9,46.2,6
E02001795,15.6,39.2,38.2,7
E02001796,13.2,40.9,34.5,11.5
E02001797,8.6,23,44.4,24
E02001798,7,43.3,41.5,8.2
E02001799,9.8,33.1,48.8,8.3
E02001800,3.5,28.4,53.4,14.8
E02001801,11.9,42.2,37.3,8.6
E02001802,5.5,36.8,51.5,6.2
E02001803,29.5,37.4,21,12.1
E02001804,6.3,36.4,49,8.3
E02001805,3.8,35.9,46.8,13.6
E02001806,22,38.2,28.9,10.8
E02001807,7.1,20.5,49.7,22.7
E02001808,6.4,31.2,46.3,16.2
E02001809,8.8,22.5,54.4,14.3
E02001810,8.3,23.6,52.5,15.7
E02001811,8.6,39.8,43.9,7.6
E02001812,4.1,19,48.1,28.8
E02001813,10.3,35.8,47.1,6.8
E02001814,10.9,26.8,46.4,16
E02001815,3.5,19.1,41.1,36.3
E02001816,12.5,49.8,32.5,5.3
E02001817,8.7,34.8,43.6,13
E02001818,9.1,29.9,41.8,19.2
E02001819,4.6,27.7,41.6,26.2
E02001820,6.8,28.5,44.7,20
E02001821,7.3,24.7,46,22.1
E02001822,4.7,29.7,43.9,21.7
E02001823,7.6,35.2,41.2,16.1
E02001824,8.2,29.3,49.4,13.1
E02001825,10,34.8,43.3,11.8
E02001826,9.3,33.4,45.2,12.2
E02002483,3.5,21.9,50.5,24.1
E02002484,12.3,31.1,47.2,9.4
E02002485,9.8,26.9,52.7,10.7
E02002489,17.6,26.8,33.5,22.2
E02002490,6.3,32,52.9,8.7
E02002491,8.5,23.1,60.6,7.9
E02002492,7.5,33.6,47.8,11.1
E02002493,5.2,19.4,45.3,30
E02002494,9.8,42.2,42.9,5.1
E02002496,20.8,36.8,29.1,13.4
E02002497,7.1,33.8,53.8,5.3
E02002498,9.4,43.8,38.8,7.9
E02002499,5.7,21.8,67.8,4.7
E02002500,6.3,20.9,58.6,14.2
E02002501,9.3,27.6,51.9,11.2
E02002502,14.7,22.8,56.2,6.2
E02002503,3,17.7,71.6,7.7
E02002504,4.9,20.4,53.2,21.5
E02002505,4.2,29.2,63.3,3.4
E02002506,13.9,22.3,56.2,7.6
E02002507,4,12.9,62.7,20.3
E02002508,2,19.1,60.1,18.8
E02002509,4.5,20.7,60.2,14.6
E02002510,2.2,23.1,52.3,22.5
E02002512,2.6,20.5,40.3,36.6
E02002513,12.4,19.5,48.9,19.2
E02002514,16.4,22.8,35.2,25.6
E02002515,17,33.6,37.2,12.2
E02002516,6.5,16.8,68.3,8.4
E02002517,8.9,25.2,59.4,6.5
E02002518,3.7,22.6,51.1,22.6
E02002519,15.4,28.2,43,13.4
E02002520,5,17.8,52.9,24.3
E02002521,14.1,28.3,36.2,21.4
E02002523,7,31.1,57.5,4.3
E02002524,3.9,29.5,51.6,15
E02002525,9,36.2,48.2,6.7
E02002526,3.6,32.8,40.4,23.2
E02002527,4.6,34,49.9,11.5
E02002529,11.1,24.2,48.5,16.1
E02002530,3.8,34.1,47.3,14.8
E02002532,15.3,27.9,41.9,14.8
E02002533,1.3,18.1,46.9,33.7
E02002534,1.2,14.6,49,35.3
E02002535,4.3,19.3,48.6,27.9
E02002536,5.6,25.4,59.9,9.2
E02002537,3.9,16.6,73.8,5.7
E02002538,9.3,15.4,66.8,8.5
E02002539,1.5,13.9,34.3,50.3
E02002540,6.2,25.5,40.4,27.9
E02002541,6.6,29.9,53.7,9.8
E02002542,8,23.7,61.4,6.9
E02002543,10.8,23.8,50.7,14.7
E02002544,10.5,32.1,49.7,7.7
E02002545,4.7,18.9,61.5,14.9
E02002546,8.3,27.4,54.2,10.2
E02002547,7,22.7,45.6,24.6
E02002549,4.5,20.4,56.4,18.7
E02002550,7.6,22,47.1,23.4
E02002551,19.9,34.3,38.8,7.1
E02002552,5.5,19,65.4,10.1
E02002553,6.9,27.5,49.3,16.2
E02002554,10.3,29.7,49.5,10.5
E02002555,3.9,20.7,46.2,29.2
E02002556,1.1,12.2,39.1,47.6
E02002558,4.8,20.1,33.8,41.3
E02002559,2.7,20,39.7,37.6
E02002560,1.4,30.9,53.5,14.1
E02002561,5.1,27.8,45.1,22.1
E02002562,18.6,43.8,29,8.6
E02002563,7.6,32.2,50.4,9.7
E02002564,9.5,29.1,52.7,8.7
E02002567,6.8,40.4,43.3,9.4
E02002568,12,20.1,30,37.9
E02002569,4.6,16.9,45.9,32.7
E02002570,15.6,40.7,36.7,7.1
E02002571,8.6,36.8,48.6,6.1
E02002572,8.7,36.8,41.5,13
E02002573,3.4,21.9,37.9,36.8
E02003988,6.9,25,42.6,25.5
E02004008,3.7,19.3,45.4,31.7
E02004009,2.6,19.7,43,34.7
E02004010,17.1,34.7,35,13.2
E02004011,3.5,25.5,44.9,26.1
E02004013,4.7,21.9,46.5,26.9
E02004014,4.2,19.7,47.6,28.6
E02004017,9.5,29.4,43.8,17.3
E02004018,19.2,31.3,36.5,13
E02004019,5.3,22.2,47.3,25.1
E02004020,6.8,26.9,45.9,20.4
E02004023,6.6,27.5,39.8,26.1
E02004024,2.4,20.2,43.6,33.8
E02004025,5,26.6,46,22.5
E02004290,4.6,23.3,50.9,21.2
E02004291,4.4,38.4,47,10.2
E02004292,5.7,25,48.2,21.1
E02004293,15.3,24.6,52.9,7.3
E02004294,2.2,34.1,35.2,28.5
E02004295,3.5,30.8,43.7,22.1
E02004296,6.1,31,48.6,14.3
E02004297,3.6,32.5,48,16
E02004298,2.3,26.8,46.3,24.6
E02004299,3.2,35.3,47.6,14
E02004300,2.7,43.1,43.8,10.4
E02004301,3.5,38.7,50.1,7.7
E02004302,5.4,40.1,45.7,8.8
E02004303,5.9,43.5,36.2,14.4
E02004304,2.4,30.6,52.4,14.6
E02004305,3.3,26.8,55.5,14.4
E02004306,3.1,27,47.1,22.8
E02004307,2.6,37.6,42.6,17.3
E02004308,3.3,22.5,42.9,31.3
E02004309,10.8,30.3,44.7,14.2
E02004310,5.9,27.4,49.6,17.1
E02004311,6.6,34.2,42.6,16.5
E02004312,4.7,25.4,46.8,23.1
E02004313,10.7,26.5,49.2,13.6
E02004314,16.8,23.7,19.4,40.2
E02004315,3.5,17.9,34.2,44.4
E02004316,4.4,37.4,45,13.2
E02004317,9.9,28.8,50.1,11.3
E02004318,5.4,27.5,45.5,21.6
E02004319,4.5,33.1,47.1,15.4
E02004320,9.7,28.2,44.5,17.6
E02004321,12.6,32.1,44.3,11
E02004322,8.8,42.6,39.9,8.7
E02004323,6.3,35.6,44.1,13.9
E02004324,6,29.4,49.7,14.9
E02004325,6.6,42.5,43.9,7.1
E02004326,7.5,33.2,46.5,12.8
E02004327,8.8,49,35.8,6.5
E02004328,5.3,25,60.7,9
E02004329,7.8,18.6,54.8,18.8
E02004330,8.5,44.4,39.2,7.9
E02004331,6.8,32.8,47.7,12.7
E02004332,5.2,27.4,47.5,20
E02004333,3.7,29.6,51,15.6
E02004334,5.8,35.5,48.4,10.3
E02004335,5.6,37.5,41.8,15.1
E02004336,9.2,42.6,40.4,7.7
E02004337,5.5,33.9,39.9,20.7
E02004338,7,36.4,42.8,13.7
E02004339,5.1,23.7,40.7,30.5
E02004340,6.6,44.3,39.8,9.3
E02004341,3.3,19.2,48,29.5
E02004342,5.2,27.6,59.4,7.8
E02004343,5.1,37.6,48.6,8.7
E02004344,4.3,31.1,50.8,13.9
E02004345,4.3,33.2,41.7,20.8
E02004348,3.5,31.7,42.4,22.4
E02004349,6.6,34.3,46.4,12.7
E02004350,4.8,35,42.7,17.5
E02004351,10.2,35.4,41,13.3
E02004352,8.8,37.2,36.1,18
E02004353,4.2,29.4,42.8,23.6
E02004354,3.7,34.7,43.4,18.2
E02004355,7.9,39.6,43.6,8.9
E02005702,3.6,21.3,39.2,35.9
E02005703,17.7,30.2,39.4,12.6
E02005704,6.1,25,45.5,23.4
E02005705,4.7,26.6,39.7,28.9
E02005706,12.7,41.2,37.1,9
E02005707,3.6,30.4,44.9,21.1
E02005708,5.7,33.2,40.6,20.4
E02005709,16.9,29.2,47.8,6
E02005710,12.1,33.4,40.1,14.4
E02005711,8,31.8,53.2,7
E02005712,5.3,26.1,46,22.6
E02005713,0.9,22.9,49.3,26.9
E02005715,8.2,29.2,48.8,13.8
E02005717,9.9,26.8,46.3,16.9
E02005718,4.9,36.9,40.4,17.8
E02005719,13.2,32.1,39.5,15.2
E02005720,5.1,29.6,49.1,16.2
E02005721,8,27.2,39.1,25.7
E02005722,3,19.1,34.9,43
E02005723,14.1,36.2,36.6,13.2
E02005724,1.7,15,40.6,42.6
E02005725,4.6,21.5,33.2,40.6
E02005726,2,12.3,30.5,55.2
E02005727,3.7,27.3,43.3,25.7
E02005728,6.9,27.2,44.9,21
E02005729,7.6,22.3,39.5,30.6
E02005730,8.7,30.4,34.8,26.2
E02005731,7.7,25.8,45.5,21
E02005733,6.1,23.8,38.7,31.3
E02005734,9.2,26,54.8,10
E02005735,3.5,49.2,43.2,4.1
E02005736,9.8,28.6,44.5,17.1
E02005739,5.4,30.2,51.5,12.9
E02005740,9,36,43.9,11.1
E02005741,5.6,22.7,44.8,26.9
E02005750,9,23,40.3,27.6
E02005751,3.8,19.1,33.7,43.3
E02005752,7,20.7,36.3,35.9
E02005754,2.9,18.3,44.4,34.4
E02005755,7.9,24.7,39.3,28.2
E02005756,2.8,18.5,41.8,36.9
E02005757,9.8,28.5,34.9,26.7
E02005758,5.4,26.6,39.9,28.1
E02005761,5.5,20.7,39.4,34.5
E02005782,4.8,21.3,38.9,35
E02005783,10.7,25.3,39.5,24.5
E02005784,4.5,28.7,43.3,23.5
E02005785,6.2,25.6,51.3,16.9
E02005786,6,23.4,43.5,27.1
E02005787,5.5,27.6,42.8,24.1
E02005788,5.4,29.2,39.2,26.1
E02005789,7.1,29,41.1,22.8
E02005790,5.5,25.1,38,31.4
E02005795,16.1,31.3,37.4,15.2
E02005796,4.8,26.3,40.2,28.7
E02005797,7,30.4,42.3,20.4
E02005798,4.8,25.1,41.8,28.3
E02005799,6.4,22.1,49.6,21.9
E02005800,30.4,29.3,26,14.3
E02005801,12.2,19.6,56.1,12
E02005802,10.3,34.6,31.8,23.3
E02005803,10.6,37.5,33.8,18.1
E02005804,34.4,43.9,12,9.7
E02005805,4.6,36.3,43.4,15.8
E02005806,8.3,25.7,52.7,13.3
E02005807,2.7,27.3,43,27
E02005808,6.9,37.7,39.4,16
E02006811,3.4,16.3,41.5,38.7
E02006812,9.4,24.1,50.2,16.3
E02006841,16.9,51.7,25.5,5.8
E02006842,12.5,35.4,37.4,14.7
E02006893,5.6,28.5,48.1,17.9
E02006909,2.5,20.1,39.2,38.2
E02006910,7.1,20.9,60.1,11.8
E02007022,5.8,28.8,40.1,25.3
E02007042,5.8,26.6,47.5,20.1
E02007043,13.4,31.6,41.7,13.3
E02007058,14.9,49.7,26.9,8.4
E02007059,9.1,30.4,39.7,20.8
E02007060,23,35.7,32.5,8.8
E02007061,13.4,27.3,35.4,23.8
E02007062,1.3,14.2,40.1,44.4
E02007063,0.4,5.7,27,66.9
E02007094,5.6,46.5,36.1,11.8
E02007095,5.2,22,39.9,32.9
E02007096,1.4,16,56.2,26.4
E02007097,12,41.4,23.7,23
E02007098,12.2,40.6,42.2,5.1
E02007099,41.4,40.8,11.3,6.5
E02007100,27.3,51.2,14.7,6.8
E02007101,9.2,38.7,39.8,12.3
E02007102,32.2,31.4,25.8,10.6
E02007103,25.6,35.8,33.9,4.8
E02007104,15.2,46.9,28.1,9.8
E02007105,6.6,28.4,46.4,18.6
E02007106,5,22.2,49.2,23.5
E02007107,5,21.9,35.5,37.5
