geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00071777,83.6,16.4,0
E00071778,67.5,32.5,0
E00071779,78.3,21.7,0
E00071785,78,22,0
E00071786,80.1,19.9,0
E00071787,62.1,37.9,0
E00071808,69,31,0
E00071811,74.5,25.5,0
E00071812,88.5,11.5,0
E00071813,75.7,24.3,0
E00071814,64.4,35.6,0
E00071815,34.6,65.4,0
E00071816,44.7,54.5,0.8
E00071817,76.5,23.5,0
E00071818,90.5,9.5,0
E00071827,17.6,82.4,0
E00071828,97,3,0
E00071829,100,0,0
E00071836,88.1,11.9,0
E00071840,97.5,2.5,0
E00071841,100,0,0
E00071842,100,0,0
E00071843,60.2,39.8,0
E00071844,99.2,0.8,0
E00071845,92.6,7.4,0
E00071846,72.6,27.4,0
E00071859,100,0,0
E00071860,86.5,13.5,0
E00071861,28.2,71.8,0
E00071862,64.4,35.6,0
E00071863,77.2,22.8,0
E00071864,81.9,18.1,0
E00071865,92.9,7.1,0
E00071866,75.5,24.5,0
E00071867,93,7,0
E00071868,87.3,12.7,0
E00071869,83.1,16.9,0
E00071870,75,25,0
E00071871,76.7,23.3,0
E00071872,87.8,12.2,0
E00071873,100,0,0
E00071874,100,0,0
E00071875,100,0,0
E00071876,99.2,0.8,0
E00071877,100,0,0
E00071878,97.6,2.4,0
E00071879,93.3,6.7,0
E00071880,92.9,7.1,0
E00071881,100,0,0
E00071882,69.1,30.9,0
E00071883,92,8,0
E00071884,93.2,6.8,0
E00071885,97.7,2.3,0
E00071886,99.4,0.6,0
E00071887,99.2,0.8,0
E00071888,100,0,0
E00071889,92.6,7.4,0
E00071890,100,0,0
E00071891,100,0,0
E00071892,77.1,22.9,0
E00071893,82.3,17.7,0
E00071894,58.2,41.8,0
E00071895,87.9,12.1,0
E00071896,88.3,11.7,0
E00071897,58.6,41.4,0
E00071898,63.4,35.8,0.7
E00072063,95,5,0
E00072064,89.2,10.8,0
E00072065,95.9,4.1,0
E00072066,95.1,4.9,0
E00072067,100,0,0
E00072068,99.3,0.7,0
E00072069,96.5,3.5,0
E00072070,99.1,0.9,0
E00072071,98.4,1.6,0
E00072072,91.7,8.3,0
E00072073,91.3,8.7,0
E00072074,96.8,3.2,0
E00072075,100,0,0
E00072076,91.9,8.1,0
E00072077,99.1,0.9,0
E00072078,73.6,26.4,0
E00072079,95.2,4.8,0
E00072080,90.8,9.2,0
E00072081,88.9,11.1,0
E00072082,100,0,0
E00072083,63.6,36.4,0
E00072084,92.4,7.6,0
E00072085,80.5,19.5,0
E00072086,99.2,0.8,0
E00072087,100,0,0
E00072088,86,14,0
E00072089,19.3,80.7,0
E00072090,94,6,0
E00072091,98.2,1.8,0
E00072092,97.7,2.3,0
E00072093,82,18,0
E00072094,79.1,20.9,0
E00072095,75.2,24.8,0
E00072096,89.4,10.6,0
E00072097,95.5,4.5,0
E00072098,96.5,3.5,0
E00072099,97.4,2.6,0
E00072100,98.5,1.5,0
E00072101,78.7,21.3,0
E00072102,92.1,7.9,0
E00072103,100,0,0
E00072104,94.7,5.3,0
E00072105,90.4,9.6,0
E00072106,89.3,10.7,0
E00072110,89.1,10.9,0
E00072112,87,12.2,0.8
E00072114,76.5,23.5,0
E00072117,76.2,23.8,0
E00072118,81.3,18.7,0
E00072120,93.8,5.4,0.8
E00072121,88.4,10.7,0.8
E00072122,92,8,0
E00072123,92.4,7.6,0
E00072138,81.5,18.5,0
E00072139,50.4,49.6,0
E00072140,87.4,12.6,0
E00072141,99.1,0,0.9
E00072142,91.9,8.1,0
E00072143,95.1,4.9,0
E00072144,92.2,7.8,0
E00072145,97.8,2.2,0
E00072146,87.3,12.7,0
E00072147,74.6,24.6,0.8
E00072148,88,12,0
E00072149,100,0,0
E00072150,40.8,59.2,0
E00072155,93.1,6.9,0
E00072156,97,3,0
