areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00037085,2.5,28.8,44.1,24.6
E00037086,2.8,30.3,57,9.9
E00037087,5.6,21.2,49.2,24
E00037089,1.5,14.2,78.4,6
E00037093,9.8,55.3,28,6.8
E00037094,2.5,40,47,10.5
E00037096,1.5,45.5,34.3,18.7
E00037097,17.1,40.2,36.8,6
E00037098,13.3,57.5,20.8,8.3
E00037099,1.6,32.8,55.9,9.7
E00037100,15,30,47.5,7.5
E00037101,5.7,46.5,38.2,9.6
E00037102,1.7,13.6,66.7,18.1
E00037103,5.9,26.1,46.2,21.8
E00037104,0,2.6,88.6,8.8
E00037105,0.7,25.7,66,7.6
E00037106,1.8,22.4,73.9,1.8
E00037107,6.3,26.8,48.6,18.3
E00037109,0.8,47.7,47.7,3.9
E00037110,0,30.2,64.8,4.9
E00037111,0.8,0.8,94.1,4.2
E00037112,22.3,32.4,37.4,7.9
E00037113,17.3,37.2,43.6,1.9
E00037114,2,34.7,58.7,4.7
E00037115,15.4,30.8,49,4.9
E00037116,8.8,24.8,65,1.5
E00037117,6.5,23.4,61.3,8.9
E00037118,0.8,8.4,86.3,4.6
E00037119,1.6,34.4,56.3,7.8
E00037120,7.4,46.7,44.3,1.6
E00037121,3.9,39.8,54.4,1.9
E00037122,0,44.1,53.4,2.5
E00037123,0,16.1,78,5.9
E00037124,2.5,21.2,73.7,2.5
E00037125,26.2,40.4,31.2,2.1
E00037126,0,47,51.2,1.8
E00037127,0.8,45.7,52,1.6
E00037128,0,15.4,77.8,6.8
E00037129,2.6,41.4,52.6,3.4
E00037130,16.5,18.6,59.8,5.2
E00037131,9.4,31.3,57.8,1.6
E00037132,0,36,57.9,6.1
E00037133,3.8,22.6,66.9,6.8
E00037134,0,22.1,75,2.9
E00037135,25.4,32.3,40,2.3
E00037136,15,27.5,51.5,6
E00037137,40.2,13.9,45.1,0.8
E00037138,3.6,31.8,57.3,7.3
E00037139,14.4,50.4,32.8,2.4
E00037140,0,29.3,66.2,4.5
E00037160,0.9,7.4,55,36.7
E00037161,6.6,61.2,21.5,10.7
E00037162,0.6,32.3,45.8,21.3
E00037165,1.3,30,44.3,24.5
E00037167,5.3,19.7,71.2,3.8
E00037168,3.8,36.9,48.5,10.8
E00037169,16.4,31,45.7,6.9
E00037170,9.5,45.7,34.3,10.5
E00037171,1.9,12.1,71,15
E00037172,0,3.8,78.1,18.1
E00037173,4.1,24.8,48.8,22.3
E00037174,5.4,63.1,28.2,3.4
E00037175,7.2,59.4,30.4,2.9
E00037176,2.7,45.3,46.6,5.4
E00037177,9.2,33.8,24.6,32.3
E00037178,37.8,18.9,19.5,23.8
E00037179,75.1,22.9,1.5,0.5
E00037181,57.9,25.5,10.3,6.2
E00037182,0,63.6,33.6,2.9
E00037183,7.8,41.8,39.9,10.5
E00037184,3.3,64.7,25.5,6.5
E00037186,7.3,61,28.5,3.3
E00037187,7.7,66.2,19.2,6.9
E00037188,82.4,14,2.2,1.5
E00037189,2.2,51.4,38.4,8
E00037190,50.5,47.6,1,1
E00037191,54.3,19.8,17.2,8.6
E00037192,3.5,12.1,60.3,24.1
E00037193,2.9,25.9,64,7.2
E00037194,4.1,59.3,30.3,6.2
E00037195,6.6,36.8,36.8,19.9
E00037196,3.9,22.2,66,7.8
E00037197,26.8,53.6,13.4,6.3
E00037198,7.8,53.4,34.5,4.3
E00037199,1.1,62.1,24.2,12.6
E00037200,0,5.5,82.6,11.9
E00037201,0,2.6,83.3,14
E00037202,0,12,73.5,14.5
E00037203,8.8,56.1,32.5,2.6
E00037204,10.2,8.5,73.7,7.6
E00037205,1.6,17.9,60.2,20.3
E00037206,2.2,40.7,41.5,15.6
E00037207,2.5,39,50.9,7.5
E00037208,0,25.3,51.3,23.4
E00037209,3.4,86.3,9.4,0.9
E00037210,6.3,23.6,66.9,3.1
E00037211,4.3,57.6,28.8,9.4
E00037212,1.7,33.3,52.5,12.5
E00037213,1.8,43.6,50,4.5
E00037215,0,58.6,38.7,2.7
E00037216,3.6,64.9,27,4.5
E00037217,1.4,43.3,41.8,13.5
E00037218,2.2,13.7,79.1,5
E00037219,0.8,16.1,66.9,16.1
E00037220,0.7,38,40.1,21.2
E00037221,0.6,7.1,82.8,9.5
E00037222,0.7,21,61.6,16.7
E00037223,1.4,24.2,52.6,21.9
E00037224,1.4,27.1,66.7,4.9
E00037225,0,13.2,50.4,36.4
E00037226,0,3.3,92.7,4.1
E00037229,10.8,13.1,71.5,4.6
E00037231,19.5,58.4,17.7,4.4
E00037232,0.8,18.5,54,26.6
E00037233,0,29.3,63.3,7.3
E00037234,1.4,9.8,74.8,14
E00037235,2,30.5,58.3,9.3
E00037236,0,26.7,54.1,19.2
E00037237,2.7,31.5,56.4,9.4
E00037238,0,49.6,48.7,1.7
E00037239,7.4,25,57.4,10.1
E00037276,1.6,2.3,39.5,56.6
E00037277,1.5,32.8,58,7.6
E00037278,10.3,15.9,58.7,15.1
E00037279,2,37.5,46.7,13.8
E00037280,0,18.8,39.9,41.3
E00037281,1.5,50,37.9,10.6
E00037282,2.3,32.3,43.8,21.5
E00037283,0.8,49.6,43.1,6.5
E00037284,0.8,12.7,52.5,33.9
E00037285,0,23.4,52.3,24.3
E00037286,0,9.2,54.6,36.1
E00037287,1.4,25,56.3,17.4
E00037288,2.4,35.7,46,15.9
E00037289,15.3,58.8,20.6,5.3
E00037290,0.8,16.8,60.3,22.1
E00037291,3.3,20,61.7,15
E00037292,11,17.8,62.7,8.5
E00037293,0.9,21.9,58.8,18.4
E00037294,0,31.9,64.6,3.5
E00037295,0,3.3,57.5,39.2
E00037296,35.2,40.8,18.4,5.6
E00037297,13.1,59.3,20.7,6.9
E00037298,0,9.4,81.9,8.7
E00037299,7.9,45.2,41.3,5.6
E00037300,32.6,20.2,44.2,3.1
E00037301,3.2,17.9,73.1,5.8
E00037302,5.5,67.1,26,1.4
E00037303,1,18.6,62.9,17.5
E00037304,18.3,37.4,35.7,8.7
E00037305,0.8,5.8,67.8,25.6
E00037306,0.8,24.2,66.1,8.9
E00037307,0.9,41,47.9,10.3
E00037309,2.1,18.6,60.7,18.6
E00037310,1.6,13.4,76.4,8.7
E00037311,7.6,18.2,31.1,43.2
E00037312,0,22.8,56.6,20.6
E00037313,2.7,37.6,49,10.7
E00037314,12.8,9.6,72,5.6
E00037315,21.9,32.8,43.1,2.2
E00037316,0.8,6.2,63.1,30
E00037317,0.8,12.1,28.8,58.3
E00037318,6.9,29,51.9,12.2
E00037320,10,67.7,20.8,1.5
E00037321,2.2,32.6,60.9,4.3
E00037395,1.5,9.7,25.4,63.4
E00037397,0,29.9,55.1,15
E00037398,3.9,51.2,36.4,8.5
E00037399,0,5.7,22.1,72.1
E00037400,0,9.7,37.9,52.4
E00037401,9.6,42.6,27.7,20.2
E00037402,2.5,35.6,50.6,11.3
E00037403,1.7,16.7,65,16.7
E00037404,0.7,33.6,40.3,25.4
E00037411,0.9,33.9,50.9,14.3
E00037412,0,38.5,54.6,6.9
E00037413,0,22.6,58.6,18.8
E00037414,0.9,20.9,51.3,27
E00037416,1.5,17.2,52.7,28.6
E00037417,0,26.6,42.2,31.2
E00037418,0.8,21.5,43,34.7
E00037419,3.8,26.1,38.6,31.5
E00037420,3.1,34.4,51.1,11.5
E00037421,27.2,29.6,31.2,12
E00037422,2.8,47.9,32.4,16.9
E00037423,0.8,19.7,63.1,16.4
E00037424,0.8,34.2,60.8,4.2
E00037425,4.2,20,35.8,40
E00037426,0,24.3,45.6,30.1
E00037427,2.7,36.6,38.3,22.4
E00037428,1.7,21.5,62.8,14
E00037429,1.5,18.5,67.7,12.3
E00037430,0,14.2,78,7.9
E00037431,1.5,9.9,59.5,29
E00037432,1.1,11.4,70.8,16.8
E00037433,16.8,48,28,7.2
E00037434,7.1,49.6,38.9,4.4
E00037435,0,18.4,76.8,4.8
E00037436,2.3,4.7,10.9,82
E00037437,9.2,41.2,41.2,8.5
E00037438,0.8,22.5,35.7,41.1
E00037439,0.4,11.7,38.8,49.2
E00037502,1.5,46.6,45,6.9
E00037503,9.4,28.3,55.1,7.1
E00037505,0,19.7,76.9,3.4
E00037507,17.9,39.6,33.6,9
E00037508,5.7,32.6,49.7,12
E00037509,0,40.2,56.5,3.3
E00037510,8.5,40.1,36.6,14.8
E00037511,0.8,28.5,54.5,16.3
E00037512,46.5,16.3,31.8,5.4
E00037513,25.6,29.6,36.8,8
E00037514,0,3.1,93.8,3.1
E00037515,0,21.5,41.6,37
E00037517,0,27.3,63.6,9.1
E00037518,0.8,42.5,55.8,0.8
E00037519,5.3,24,69.3,1.3
E00037520,0,57.4,37.7,4.9
E00037521,0,54.4,44.7,0.9
E00037522,2.7,45.5,47.3,4.5
E00037523,0,27.3,59.5,13.2
E00037525,4,57.3,28.2,10.5
E00037526,0.9,57.8,39.7,1.7
E00037527,2.4,36.5,57.1,4
E00037528,0,44,54.4,1.6
E00037529,0.6,7.5,67.9,23.9
E00037530,0,15.8,82.5,1.8
E00037531,9.4,46,38.8,5.8
E00037532,40,26.7,30,3.3
E00037533,23.8,16.3,48.3,11.6
E00037534,37.8,28.1,28.9,5.2
