areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00054703,37.2,38.8,2.3,21.7
E00054704,59.1,28.7,0.6,11.7
E00054705,54.7,28.3,0,17
E00054706,54.2,34.5,2.1,9.2
E00054707,66.2,23.8,0.7,9.3
E00054708,44,33.6,0.7,21.6
E00054709,45,39.2,0,15.8
E00054710,43,25.9,11.9,19.3
E00054711,27.4,29.2,15.9,27.4
E00054712,29.5,29.5,0.8,40.2
E00054713,64,23,0.6,12.4
E00054714,45.8,51.7,1.7,0.8
E00054715,52.9,31.1,1.7,14.3
E00054717,31.7,18.3,3.5,46.5
E00054718,24.6,26.3,22,27.1
E00054719,44.1,48.7,0,7.2
E00054720,32.4,26.1,2.7,38.7
E00054721,45.9,36.1,0,18
E00054722,31,27.8,7.9,33.3
E00054726,58.1,35.8,0.7,5.4
E00054727,36.8,42.7,0,20.5
E00054728,36.7,44.7,3.5,15.1
E00054729,47,32.3,0.6,20.1
E00054730,41.2,31.4,0.7,26.8
E00054731,21.8,26.6,37.1,14.5
E00054732,20.5,30.3,1.5,47.7
E00054733,40.4,31.3,5.4,22.9
E00054735,48.4,35.9,4.7,10.9
E00054736,36.4,50,0.9,12.7
E00054742,30.8,24.2,35.7,9.3
E00054743,37.1,37.1,3.8,21.9
E00054744,44.5,31.9,2.5,21
E00054745,34.5,53.4,0,12.1
E00054746,56.7,30.8,1.9,10.6
E00054747,46.6,36.2,0,17.2
E00054748,55.6,38,0.9,5.6
E00054749,32.6,30.4,0.7,36.3
E00054750,17.1,18.4,55.3,9.2
E00054751,41.7,43.3,0,15
E00054752,38.5,34.6,5.8,21.2
E00054753,43.9,46,0.7,9.4
E00054754,21,55.9,0,23.1
E00054755,33.7,46.6,4.9,14.7
E00054756,40.2,51,0,8.8
E00054757,28.7,43.4,0,28
E00054862,49.4,34.4,6.5,9.7
E00054863,57.4,26.4,0.8,15.5
E00054864,55.2,28,1.6,15.2
E00054881,42.6,42.1,1.1,14.2
E00054883,62.1,25,2.3,10.6
E00054884,46.6,28,0,25.5
E00054885,38,20.7,36.4,5
