areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00108712,15.7,40.7,18.6,25
E00109935,20.4,51,13.3,15.3
E00109936,20,50.4,15.2,14.4
E00109944,17.6,44,16.5,22
E00109945,22.3,43.4,11.4,22.9
E00109946,19.4,44.4,11.3,25
E00110193,31.3,36.5,15.1,17.2
E00110194,16.5,52.2,7.8,23.5
E00110198,23.2,45.2,15.5,16.1
E00110199,14.9,47.3,20.3,17.6
E00110200,22.3,47.5,10.1,20.1
E00110201,21.7,44.6,9.6,24.1
E00110336,18,43.8,18.5,19.7
E00110337,23.2,44.8,16.8,15.2
E00110338,29.1,27.7,14.9,28.4
E00110339,18.7,47.8,17.9,15.7
E00110340,21.7,39.9,17.4,21
E00110341,18,33.5,18,30.5
E00110342,37.3,42.2,13,7.6
E00110343,51.4,32.4,7.8,8.4
E00110344,37.1,28.1,21.3,13.5
E00110345,36.3,32.6,13,18.1
E00110346,25.6,41,12.8,20.5
E00110347,22.5,45.7,16.3,15.5
E00110348,21.2,41.6,19,18.2
E00110349,19.4,39.3,17.5,23.8
E00110350,24.1,39.8,15.8,20.3
E00110351,25.5,35.8,13.9,24.8
E00110352,37.7,32.8,10.7,18.9
E00110353,37.8,33.3,12.6,16.2
E00110354,23.9,40.3,14.9,20.9
E00110355,31.6,47.4,12,9
E00110356,27.9,39.5,15.6,17
E00110357,37.8,37,11.8,13.4
E00110358,42.2,37,13.3,7.4
E00110359,26,41.2,13.7,19.1
E00110377,36.8,38.3,12.8,12
E00110378,30.7,42.5,13.4,13.4
E00110379,33.1,46.8,7.9,12.2
E00110380,41.4,32.8,10.9,14.8
E00110381,22,52.8,13,12.2
E00110382,36.8,44.4,9,9.8
E00110383,27,52,10.1,10.8
E00110384,26.9,50,9,14.2
E00110385,24.3,50.7,13.2,11.8
E00110386,55,26.8,8.1,10.1
E00110387,56.3,24.3,12.5,6.9
E00110388,25.2,49.6,13,12.2
E00110389,34.7,43,12.4,9.9
E00110390,12.1,44.8,17.2,25.9
E00110391,25.4,45.1,9.8,19.7
E00110392,26.8,42.3,11.4,19.5
E00110393,24.4,39.8,20.3,15.4
E00110394,57,22.8,7.6,12.7
E00110395,18.5,50.8,14.6,16.2
E00110396,27,47.9,11,14.1
E00110397,36.4,32.2,10.7,20.7
E00110398,21.1,46.1,14.2,18.6
E00110399,31.9,41.6,14.2,12.4
E00110400,23.7,39.8,12.7,23.7
