areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00108712,85.4,11,3.6
E00109935,86.1,10.8,3
E00109936,87.8,7.3,4.9
E00109944,85.7,9.6,4.8
E00109945,84.3,11.4,4.2
E00109946,86.9,8.9,4.3
E00110193,73.3,16.6,10.1
E00110194,83.3,12.6,4.1
E00110198,82.5,13.8,3.7
E00110199,85.6,12.2,2.2
E00110200,82.7,13.7,3.6
E00110201,83.3,12,4.7
E00110336,86.4,11.3,2.3
E00110337,82.2,14.6,3.1
E00110338,85.1,12.4,2.6
E00110339,81.5,15.7,2.8
E00110340,86.8,10.3,2.9
E00110341,86.5,10.8,2.8
E00110342,75.1,16.3,8.6
E00110343,69.7,22.9,7.4
E00110344,81.9,14,4.1
E00110345,81.3,13.2,5.5
E00110346,86.4,10.6,2.9
E00110347,80.8,14,5.2
E00110348,83.1,13.9,3
E00110349,86.1,10.2,3.7
E00110350,83.8,12.8,3.4
E00110351,80.5,13.4,6.1
E00110352,75.2,15.2,9.6
E00110353,80.3,14.7,5
E00110354,82.3,13.1,4.6
E00110355,74.7,21.5,3.8
E00110356,79.4,14.1,6.5
E00110357,78,15.7,6.3
E00110358,78,16.1,5.9
E00110359,86.9,11.8,1.3
E00110377,74.3,17.5,8.2
E00110378,80.7,15.7,3.6
E00110379,74.4,19.5,6.1
E00110380,82.2,14.4,3.4
E00110381,82.2,15.2,2.6
E00110382,83.1,13.1,3.8
E00110383,84.2,11.9,3.9
E00110384,78.3,15,6.6
E00110385,83.8,12.4,3.8
E00110386,68.4,19.9,11.7
E00110387,75.1,17.3,7.6
E00110388,86.6,9.5,3.9
E00110389,82,13.6,4.4
E00110390,85.2,9.7,5.2
E00110391,79.3,16.8,3.9
E00110392,80.4,13.9,5.7
E00110393,83.9,12.9,3.1
E00110394,69.1,18,12.9
E00110395,82.7,12,5.3
E00110396,77.5,16.4,6.1
E00110397,79.4,15.5,5.1
E00110398,83.2,13.4,3.4
E00110399,81.6,14.3,4.1
E00110400,83.3,10.8,5.9
E00110401,76.3,18.7,5
E00110402,83.2,13.7,3.1
E00111111,79.4,13.5,7.1
E00111112,72.2,20.9,7
E00111113,70,20,10.1
E00111114,86.2,13.1,0.8
E00111115,86.6,11.2,2.2
E00111116,84.7,10.2,5.1
E00111117,82.2,13,4.8
E00111118,82.2,11,6.8
E00111119,84,11.4,4.6
E00111120,84.5,11.3,4.2
E00111121,81.6,13.6,4.8
E00111122,78.7,13.7,7.6
E00111123,76.9,17.5,5.6
E00111124,67.8,18.7,13.6
E00111125,73.2,22.4,4.5
E00111126,75.7,19.5,4.8
E00111127,86.3,10.5,3.2
E00111128,83.4,11.3,5.2
E00111130,78.1,15.3,6.6
E00111131,82.6,12.4,5
E00111132,75.8,20.7,3.5
E00111133,76.9,17.4,5.7
E00111134,77.4,17.2,5.4
E00111135,86,12.9,1.1
E00111136,87.6,9.7,2.7
E00111137,83.1,12.1,4.8
E00111138,73.8,18.4,7.8
E00111139,77.3,16.9,5.8
E00111140,83.1,11.5,5.4
E00111141,74.1,15.1,10.8
E00111142,81.3,14.6,4.1
E00111143,75.7,17.7,6.6
E00111144,81.1,15.2,3.7
E00111145,87.7,12.3,0
E00111146,67.6,19.7,12.8
E00111147,84.2,8.4,7.4
E00111148,79.4,12.8,7.8
E00111149,81.9,15.2,3
E00111150,83.7,11.2,5
E00111151,78.4,12.2,9.4
E00111159,83,13.3,3.7
E00111161,73.4,19.4,7.2
E00111162,86.5,11.6,1.9
E00111164,84.4,12.1,3.5
E00111167,87.4,8.6,4
E00111235,86.8,9,4.2
E00111236,82.7,12.2,5.1
E00111237,81.4,14.5,4.1
E00111238,83.5,12.8,3.8
E00111239,82.8,12.1,5.1
E00111240,87.6,8.6,3.8
E00111241,82.7,13.5,3.8
E00111242,73.2,19,7.8
E00111243,79.3,15.7,5
E00111245,79.6,15,5.4
E00111246,78.4,16,5.5
E00111254,87.4,11.6,1
E00111258,81.1,12.5,6.4
E00111259,79.3,14.1,6.6
E00111261,79.6,13.1,7.3
