areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00049840,9.7,21.4,63,5.8
E00049841,8.8,28,54.4,8.8
E00049842,18,26,54,2
E00049843,6.9,23.6,62.5,6.9
E00049844,10,17.5,59.2,13.3
E00049845,7.9,28.1,52.6,11.4
E00049846,6.8,18.9,62.2,12.2
E00049847,15.3,26.4,51.4,6.9
E00049848,11.1,22.2,56.3,10.4
E00049849,10.5,24.6,50,14.9
E00049850,5.8,15.4,67.3,11.5
E00049851,8.4,21.4,59.7,10.4
E00049852,10.7,19,58.7,11.6
E00049853,13.1,14.8,59,13.1
E00049854,10.1,21.5,58.4,10.1
E00049855,8.2,21.4,58.5,11.9
E00049856,8,18.6,61.1,12.4
E00049857,8.8,11.8,66.9,12.5
E00049858,12.8,16.9,57.6,12.8
E00049859,8.6,25,56.9,9.5
E00049860,9.9,19.7,56.3,14.1
E00049861,7.8,19.4,64.1,8.7
E00049862,13.9,13.9,57.6,14.6
E00049863,13.1,18.1,56.3,12.5
E00049864,9.6,14.8,61.5,14.1
E00049865,9.3,16.8,62.6,11.2
E00049866,8.2,30.9,52.7,8.2
E00049867,15.4,10.5,54.5,19.6
E00049868,10.6,20.5,49.2,19.7
E00049869,17.4,17.4,50,15.2
E00049870,14,20.8,47.8,17.4
E00049871,16.7,24.2,54.2,5
E00049872,11.4,12,68.3,8.4
E00049873,8.1,14.4,64,13.5
E00049874,7.8,16.2,66.9,9.1
E00049875,6.7,16.9,64.6,11.8
E00049876,6.2,25.3,58.9,9.6
E00049877,12.6,22.5,58.6,6.3
E00049878,10.2,20.5,63,6.3
E00049879,8.5,24.5,54.7,12.3
E00049880,9.2,13.9,67.6,9.2
E00049881,9.8,18.2,63.6,8.3
E00049882,10,17.7,58.5,13.8
E00049883,10.1,21.1,62.4,6.4
E00049884,3.9,17.1,66.4,12.5
E00049885,10.1,18,60.7,11.2
E00049929,8.6,17.9,60,13.6
E00050095,4.5,22.4,64.1,9
E00050096,12.6,19.5,59.2,8.6
E00050097,9.8,22.8,55.3,12.2
E00050098,10.7,20,59.3,10
E00050099,12.3,21.3,49.2,17.2
E00050100,5.7,19.5,65.4,9.4
E00050101,9.6,19.3,61.5,9.6
E00050102,9.3,18.6,64,8.1
E00050103,13.5,21.2,65.4,0
E00050104,9.8,21.7,59.4,9.1
E00050105,6,19.5,60.4,14.1
E00050106,5.4,20.9,62,11.6
E00050107,9.4,26.3,52.6,11.7
E00050108,11.7,26.2,47.6,14.5
E00050109,7.2,21.6,57.6,13.7
E00050110,10.6,22.8,58.5,8.1
E00050111,6.8,19.8,62.5,10.9
E00050112,12.1,21,59.2,7.6
E00050113,8.9,28.9,48.9,13.3
E00050114,9,23.4,55,12.6
E00050115,7.5,22.5,55,15
E00050116,7,25.4,58.8,8.8
E00050117,11.7,24.2,55,9.2
E00050118,6.7,24.2,61.7,7.5
E00050119,7.7,26,54.8,11.5
E00050120,7.1,23.2,59.6,10.1
E00050121,6.1,14.5,65.4,14
E00050122,5.5,20.9,65.5,8.2
E00050123,6.3,13.5,74,6.3
E00050124,12.3,18.9,63.9,4.9
E00050125,6.1,20.4,59.2,14.3
E00050126,17.9,23.8,46.4,11.9
E00050127,13.8,18.5,56.9,10.8
E00050128,7.1,16.4,66.4,10
E00050129,10.3,20,56.6,13.1
E00050130,6.4,19.2,59.6,14.7
E00050131,8.1,15.3,62.2,14.4
E00050132,7.8,18.4,60.3,13.5
E00050133,7,25,53.9,14.1
E00050134,7.2,23.1,62.5,7.2
E00050135,19.7,16.9,53.5,9.9
E00050136,11.5,21.7,54.1,12.7
E00050137,9.1,20.5,59.1,11.4
E00050138,2.5,21.3,61.5,14.8
E00050139,9.6,14.2,62.1,14.2
E00050140,7.3,19.7,60.6,12.4
E00050141,9.9,22.9,57.3,9.9
E00050142,16.3,15.6,57.8,10.4
E00050143,8,18,65,9
E00050144,12.4,15.7,68.5,3.4
E00050145,6.9,25.7,57.6,9.7
E00050146,8.7,20.2,59.6,11.5
E00050147,8.1,14.3,69.9,7.7
E00050148,5,20.2,66.4,8.4
E00050149,3.8,22.2,67.1,7
E00050150,8.5,29.1,51.8,10.6
E00050151,5.9,18.3,68.3,7.5
E00050166,6.8,23.2,59.9,10.2
E00050169,12.3,22.1,54.1,11.5
E00050170,10.8,23,56.1,10.1
E00050172,4.9,21.6,64.7,8.8
E00050173,12.9,19.7,61.2,6.1
E00050174,13.2,19.4,62.8,4.7
E00050175,7.7,19.9,63.5,9
E00050176,9,18.7,60.6,11.6
E00050177,12.2,20.6,58,9.2
E00050178,8.8,18.6,64.4,8.2
E00050179,8.7,18.5,64.6,8.2
E00050180,7.8,18.8,61,12.3
E00050181,10.1,22.5,58.9,8.5
E00050182,6.1,24.4,64.4,5
E00050183,6.9,27.6,55.9,9.7
E00146821,8.5,25.5,56.4,9.6
E00146822,14.1,22,43.9,20
E00146823,13.6,22.3,48.5,15.5
E00146824,5.8,26.7,43,24.4
E00146825,3.7,21.3,61.1,13.9
E00146826,12.8,22.3,48.9,16
E00146827,16.1,20.2,56.5,7.3
E00146829,13.6,22,37.3,27.1
E00146912,20.3,22.8,42.3,14.6
E00146914,7.9,18.9,54.3,18.9
E00146924,14.2,27.6,50.4,7.9
E00146925,8.1,17.4,59.6,14.9
E00146926,11.7,17.5,57.5,13.3
E00146927,9,21.5,59.7,9.7
E00146928,7,22.8,58.9,11.4
E00146929,10.8,25,54.2,10
E00146930,9.8,16.8,62.4,11
E00146931,10.2,19.9,57.2,12.7
E00146932,6.5,21,58,14.5
E00146933,11.4,18.9,50.8,18.9
E00146934,8.8,19.7,65,6.6
E00146976,16,18.3,43.4,22.3
E00146980,11.9,17.3,46,24.8
E00147696,14,20.1,45.1,20.7
E00151065,16.5,17.4,48.7,17.4
E00151066,10.7,21.4,55,12.9
E00151067,9.1,19.6,56.6,14.7
E00151068,14.5,25.8,38.7,21
E00151069,13.6,23.2,48,15.2
E00151070,6.3,30.5,54.7,8.4
E00151071,10.1,17.7,65.8,6.3
E00151072,26.5,17.3,36.7,19.4
E00151073,7.5,18.4,55.8,18.4
E00151074,13,20.2,50,16.8
E00151075,17,18.1,55.9,9
E00151076,20.6,14.7,48,16.7
E00151077,10.7,16.9,55,17.4
E00151078,10.2,20.4,57.1,12.2
E00151079,13,22.5,55,9.5
E00151080,14.4,21.2,58.2,6.2
E00151081,12.5,20.3,53.9,13.3
E00151082,10.3,20.6,56.3,12.7
E00151083,7.8,25.8,57,9.4
E00151084,11.7,17.9,61.1,9.3
E00151085,14.6,22,51.2,12.2
E00151086,6.2,25.5,59.6,8.7
E00151087,13.8,20.7,49.1,16.4
E00151167,16.4,15.6,50.8,17.2
E00151168,6.7,17.2,53,23.1
E00163919,7.8,24,55.2,13
E00163921,11,17.7,51.4,19.9
E00163922,10.3,13.7,58.9,17.1
E00163923,13.3,17,49.7,20
E00163924,9.5,22.9,60,7.6
E00163925,12.5,15.2,53.3,19.1
E00163926,15.7,23.3,50.9,10.1
E00163927,11.7,17.8,56.1,14.4
E00163928,15.3,20.4,53.3,10.9
E00163929,9.6,20.5,57.8,12
E00163930,15,24.5,48.3,12.2
E00163932,8.1,21.5,60.4,10
E00163933,8.5,18.5,62.3,10.8
E00163934,10.4,20.9,50.3,18.4
E00163935,13.5,20.6,51.8,14.1
E00163937,14.5,18.2,56.4,10.9
E00163938,9.7,23.2,54.6,12.4
E00163939,16.5,18.2,56.5,8.8
E00163940,9.6,18.6,51.5,20.4
E00163941,9,18.5,59,13.5
E00163942,9.1,27.4,49.4,14
E00163943,12.2,16,63.8,8
E00163944,14.9,24.2,48.4,12.4
E00163945,11,19.9,51.8,17.3
E00164138,19.6,22.1,45.4,12.9
E00164139,11,25,53.7,10.4
E00164140,15.5,17.5,49.5,17.5
E00164143,13.5,19.5,54.4,12.6
E00164204,12.6,21.2,45,21.2
E00164207,9.8,24.2,51.6,14.4
E00164209,11.4,22.1,49.3,17.1
E00164210,7.1,25.7,41.4,25.7
E00164313,7.1,20.4,58.2,14.3
E00164314,13.2,12.3,55.7,18.9
E00164370,13.9,20.9,43.7,21.5
E00164371,16.2,15.7,49.7,18.3
E00164372,9.9,23,44.6,22.5
E00164373,15.4,23.8,48.3,12.6
E00164374,17.5,21.3,47.5,13.8
E00164375,12.1,18.5,54.1,15.3
E00164376,15.5,18.7,54.2,11.6
E00165017,7.7,17.7,58.8,15.8
E00165018,12.5,23.9,54.3,9.2
E00165019,9.8,16.8,60.9,12.5
E00165020,8.6,18.5,56.8,16
E00165023,17.7,16.2,52.5,13.6
E00165032,6.8,15,70.1,8.2
E00165040,5.9,14.3,63.9,16
E00165045,10.2,17.3,61.4,11
E00165046,12.5,22.1,51,14.4
E00165048,10.4,12.2,65.2,12.2
E00165049,6.3,21.9,54.6,17.1
E00165050,7.5,15.1,63.4,14
E00165092,14.2,19.3,58,8.5
E00165094,6.9,15.9,69,8.3
E00165095,11.3,20.2,62.9,5.6
E00165096,7.8,26.6,58.6,7
E00165097,12.8,23.3,57.1,6.8
E00165098,13,18.8,60.1,8
E00165099,8,20.5,64.3,7.1
E00165100,8.5,21.4,59.8,10.3
E00165101,14.6,23.6,50.4,11.4
E00165102,8.9,17.5,64.3,9.3
E00165103,9.8,17.9,66.5,5.8
E00165181,9.6,13.7,61.4,15.2
E00165182,5.9,21.8,66.4,5.9
E00165183,6.5,17.7,58.1,17.7
E00165184,13.3,17.1,46.2,23.4
E00165185,12.6,17,56,14.5
E00165186,13.3,18.4,53.8,14.6
E00165187,9.2,18.5,62.4,9.8
E00165188,13.2,17.1,52.6,17.1
E00165189,10.4,20.2,47.2,22.1
E00165190,10.3,19.2,55.8,14.7
E00165243,13.6,21,49.4,15.9
E00165244,15,18.3,50,16.7
E00165245,13.6,16.9,52.6,16.9
E00165246,10.5,21,46.7,21.9
E00165271,8.5,15.9,61,14.6
E00165272,9.7,18,51.6,20.7
E00165273,10.1,21.3,48.5,20.1
E00165274,11.2,20.9,51.3,16.6
E00165275,10.1,16,52.1,21.9
E00165276,6.5,21.5,62.4,9.7
E00165277,13.5,13.5,57.1,16
E00165340,13.2,18.6,56.9,11.4
E00165341,15.7,22.2,56.5,5.6
E00165342,8.9,23.8,57.4,9.9
E00165343,10.8,18.9,58.1,12.2
E00165344,9.2,19.5,62.6,8.6
E00165345,9.6,21.6,57.6,11.2
E00165346,11.6,23.2,53.6,11.6
E00165347,9.9,25.9,55.6,8.6
E00165348,13.6,8.2,69.1,9.1
E00165349,7.4,27,57.1,8.6
E00165350,16,22.7,54.7,6.7
E00165351,1.7,24.8,66.1,7.4
E00165352,6.5,35.5,50.8,7.3
E00165353,8.6,13.6,70,7.9
E00165354,14.3,15,57.1,13.5
E00165355,12.2,19.5,56.1,12.2
E00165356,6.7,22.1,63.5,7.7
E00165357,10,20,60.6,9.4
E00165358,7.9,16.4,63,12.7
