geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00111580,25.5,57.4,4.4,10.3,2.5
E00111581,28.2,40.7,8.1,19.6,3.3
E00111582,28.8,43.2,7.9,16.6,3.5
E00111583,25.7,50.5,7.8,13.3,2.8
E00111584,31.3,43.6,6.6,16.1,2.4
E00111585,35.1,45.8,5.3,10.7,3.1
E00111586,32,44.1,4.9,14.6,4.5
E00111587,27.8,48.6,8.8,13,1.9
E00111588,39.6,32.2,7.4,18.8,2
E00111589,47.6,36.5,4.8,7.9,3.2
E00111590,29.6,48.2,4.4,11.9,5.8
E00111591,31.1,50,5.3,12.6,1
E00111592,32.3,47,5.4,12.2,3.2
E00111593,31.2,44.4,6.4,15,3
E00111594,32.5,51.8,2.5,12.9,0.3
E00111595,26.3,49.6,6.9,13.4,3.8
E00111596,31.5,47.2,4.5,13.5,3.4
E00111597,27.4,43.2,8.7,18.7,2.1
E00111613,37,42.5,5,14.2,1.4
E00111614,42,35.1,6.9,13,3
E00111615,21.8,57.3,4.6,13.8,2.5
E00111616,34.2,41.2,5.4,17.7,1.5
E00111617,31.9,49,5.8,10.1,3.1
E00111618,36.5,44.9,5.3,11,2.3
E00111619,32.8,41.5,7.5,12.8,5.3
E00111622,37.2,36.8,7.4,14.3,4.3
E00111624,18.3,56.3,6.1,16.7,2.7
E00111625,27.4,50.4,5.9,13,3.3
E00111626,24.2,44.1,5.5,21.9,4.3
E00111627,24.9,49.1,5,18.5,2.5
E00111663,35,37.7,7.3,17.3,2.7
E00111664,31.6,41.3,8.4,15.6,3.1
E00111665,31.3,44,7.8,12.8,4.1
E00111666,35.7,44.8,4.6,12.9,2.1
E00111667,39,35.3,6.7,15.7,3.3
E00111668,32.2,42.3,7.9,11.9,5.7
E00111669,38.2,39.2,4.2,11.3,7.1
E00111670,28.4,39.3,9.8,17.5,5.1
E00111671,13.2,41.5,4.9,37.1,3.4
E00111672,14.9,43.5,7.3,31.5,2.8
E00111673,17.7,38.4,6.8,32.9,4.2
E00111674,19.3,50.7,5.4,22.9,1.8
E00111675,24.3,32.8,6.1,32,4.9
E00111676,29.7,30.6,6.8,27.9,5
E00111683,21.2,45.5,7.2,21.6,4.5
E00111685,22.4,33.1,3.7,35.9,4.9
E00111686,23,39.7,3.4,28.7,5.2
E00111687,47.7,30.2,10.1,8.1,3.9
E00111688,45,33,6.7,12,3.3
E00111689,47.5,34.3,4.4,13.8,0
E00111690,38.8,39.3,6.3,15.5,0
E00111691,33.6,37.5,8.6,16.8,3.6
E00111692,40.8,32.8,4.1,15.9,6.4
E00111693,60.3,23.6,3,11,2.1
E00111694,37.6,35.8,4.8,17.5,4.4
E00111695,35.3,46.6,3.8,10.5,3.8
E00111696,54.9,28.3,4.2,8,4.6
E00111697,43.2,33.5,7.9,11.5,4
E00111698,46.5,34,6,11.2,2.3
E00111699,40.1,34.4,9.4,14.2,1.9
E00111700,46.9,33,8.5,9.8,1.8
E00111701,40.6,32.4,10,13.7,3.2
E00111702,39.4,35.6,6.7,14.4,3.8
E00111703,45.5,31.2,6.9,11.7,4.8
E00111704,40.4,37.6,2.8,16.1,3.2
E00111705,34.5,37.2,8.8,14.6,4.9
E00111706,41.4,39.7,6.3,9.8,2.9
E00111797,31.4,43.2,10.2,12.3,3
E00111798,30.4,43.9,7.6,15.6,2.5
E00111799,35,31.4,9.3,21.2,3.1
E00111800,36.4,37.2,6.5,18.6,1.3
E00111801,31.9,38.9,8.8,15.9,4.4
E00111802,27.5,41.5,5.3,20.8,4.9
E00111803,34.6,37.3,9.2,16.1,2.8
E00111804,29,39,7.4,20.6,4
E00111807,29,34.6,6.3,24.8,5.2
E00111808,33.3,34.2,6.9,22.1,3.5
E00111809,23.2,48.7,10.3,14.3,3.6
E00111847,26.5,40.4,8.6,21.5,3
E00111848,52.1,29.4,6,9.2,3.2
E00111849,31.8,44.2,5.4,13.6,5
E00111850,30,41.2,8.4,16.1,4.3
E00111851,26.3,44.2,9.1,17.9,2.6
E00111852,33.6,40.8,11.2,10.4,4
E00111853,30.2,44,6.9,17.2,1.7
E00111876,19.4,53.8,4.2,19.1,3.5
E00111877,27.6,46.7,8.5,15.4,1.6
E00111878,26,45,4.5,19,5.6
E00111879,28.7,44.1,8.5,15.8,2.8
E00111880,28.2,45.8,6.5,15.7,3.7
E00111881,19.5,53.8,7.7,17.2,1.8
E00111882,26.3,48.6,8.6,15.5,1.1
E00111883,24.4,50,6.4,17.3,1.9
E00111884,52.1,25.6,5.1,11.1,6
E00111885,20.7,52.5,7.4,14.7,4.6
E00111886,23.1,48.1,6.6,18.4,3.8
E00111887,15.7,58.7,4.9,19.3,1.3
E00111888,30.6,47.1,5.5,12.9,3.9
E00111889,24.4,48.4,8.3,14.7,4.1
E00111890,23.3,56.4,5,11.9,3.5
E00111891,28.6,46,5.2,16.4,3.8
E00111892,35.9,39.4,5.2,14.3,5.2
E00111893,27.5,44.9,3.4,18.6,5.5
