areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00041473,94.7,0,5.3
E00041474,98.4,0.4,1.2
E00041475,98.2,0,1.8
E00041476,95.9,1.7,2.5
E00041479,100,0,0
E00041480,99.3,0,0.7
E00041481,95.7,0.9,3.4
E00041482,95.2,0.4,4.4
E00041491,93.7,0.4,6
E00041495,96.8,0,3.2
E00041498,96,0.7,3.3
E00041499,93.3,0.3,6.4
E00041500,99.6,0,0.4
E00041501,97.5,0.8,1.7
E00041502,96.5,1.3,2.2
E00041503,98,0,2
E00041505,97,0,3
E00041536,98.9,0.8,0.3
E00041537,96.6,1.1,2.3
E00041538,99.2,0,0.8
E00041539,98.7,0,1.3
E00041540,95.2,2,2.8
E00041541,99.6,0,0.4
E00041542,95.9,0.8,3.3
E00041543,100,0,0
E00041545,100,0,0
E00041546,99.6,0.4,0
E00041547,94.5,1.9,3.6
E00041549,98.9,0,1.1
E00041550,98.7,0.3,1
E00041551,95.8,0,4.2
E00041552,96.3,1.4,2.3
E00041553,99.7,0.3,0
E00041554,99,1,0
E00041555,99.7,0.3,0
E00041556,97.3,1.1,1.6
E00041557,97.7,0.4,1.9
E00041558,98.2,0,1.8
E00041559,98.4,0.4,1.2
E00041560,98.6,0,1.4
E00041561,95.4,0.7,3.9
E00041563,96.8,0.7,2.5
E00041564,96.2,2.4,1.5
E00041565,97.7,0,2.3
E00041566,97.5,2,0.5
E00041567,96.8,0.5,2.7
E00041568,97.7,0.5,1.8
E00041569,97.9,1.4,0.7
E00041570,98.5,0,1.5
E00041813,97.3,1.2,1.6
E00041815,99.6,0,0.4
E00041817,96.6,0.7,2.7
E00041820,99.2,0,0.8
E00041821,95.5,0.7,3.7
E00041823,96.6,0,3.4
E00041824,92.4,2.3,5.3
E00041825,95,1.5,3.5
E00041826,98.5,0.4,1.1
E00041829,94.6,0.8,4.6
E00041831,95.4,0.7,3.9
E00041832,95.9,1.4,2.8
E00041836,99.1,0,0.9
E00041838,97.3,0,2.7
E00041840,93.2,1.1,5.7
E00041844,98.2,0.4,1.4
E00104652,92.7,2.1,5.2
E00104653,100,0,0
E00104654,96.5,0,3.5
E00104655,95.5,0.4,4.2
E00104656,96.4,0.9,2.7
E00104657,96.2,0.7,3.1
E00104658,95.1,0.8,4.1
E00104659,96.7,0.7,2.6
E00104661,97.2,0.9,1.9
E00104662,97.9,0.2,1.9
E00104663,98.1,0.6,1.2
E00104664,97.7,0.7,1.6
E00104665,95.1,1.6,3.2
E00104666,97.5,0,2.5
E00104667,97.9,0,2.1
E00104668,98.6,0,1.4
E00104669,97.6,0.8,1.6
E00104670,97.6,0.4,2
E00104671,99.6,0,0.4
E00104672,97.9,0.4,1.8
E00104673,94.6,1,4.4
E00104674,99.6,0.4,0
E00104675,99.6,0.4,0
E00104676,96.7,0.3,3
E00104677,95.3,2.1,2.6
E00104678,98.5,0.3,1.3
E00104679,96.8,0.5,2.8
E00104680,99.6,0,0.4
E00104681,97.3,0,2.7
E00104682,98.1,0,1.9
E00104683,95.1,0.3,4.6
E00104705,98.5,0.4,1.1
E00104706,99.1,0,0.9
E00104707,97.8,0.8,1.5
E00104708,99,0.3,0.7
E00104709,98.4,0.4,1.2
E00104710,97.3,0.9,1.8
E00104721,97.5,0,2.5
E00104722,100,0,0
E00104723,96.6,1.7,1.7
E00104725,98.4,0,1.6
E00104726,97.5,0.6,1.9
E00104727,96.9,0,3.1
E00104729,96.6,1,2.4
E00104731,95.5,0,4.5
E00104732,98.6,0.4,1.1
E00104733,99,0,1
E00104734,95.6,0.5,3.9
E00104735,97.1,0.3,2.6
E00104736,99.6,0,0.4
E00104737,98.9,1.1,0
E00104738,98.9,0,1.1
E00104739,95.8,2.3,1.9
E00104740,98.3,0.4,1.3
E00104741,98.3,0,1.7
E00104742,93.7,0.7,5.6
E00104743,93.3,2,4.8
E00104744,94.3,1.1,4.5
E00104745,92.7,0,7.3
E00104746,99.1,0,0.9
E00104749,93.1,2.3,4.6
E00104750,94.5,1,4.6
E00104751,91.9,0.6,7.5
E00104752,97.4,0,2.6
E00104758,97.1,1.1,1.8
E00104775,94.9,1,4.1
E00104776,97.7,0.5,1.8
E00104777,98,0,2
E00104778,99,0.3,0.7
E00104779,97.4,0,2.6
E00104780,97,0,3
E00104781,98.1,0.5,1.3
E00104782,97.5,0,2.5
E00104785,93.9,1.4,4.8
E00104786,95.2,0.7,4
E00104787,96.8,1,2.2
E00104788,97.5,0,2.5
E00104789,99.6,0,0.4
E00104790,93.8,0.6,5.5
E00104791,99.3,0,0.7
E00104793,97.4,0,2.6
E00104794,97.3,0.7,2
E00104801,95.7,1.4,2.9
E00104802,97.8,0.3,1.9
E00104803,94.4,0.8,4.8
E00104804,99.1,0.6,0.3
E00104805,97.9,1.3,0.8
E00104806,99.2,0,0.8
E00104807,100,0,0
E00104808,97.3,0.4,2.3
E00104809,98.7,0,1.3
E00104810,98.7,0.3,1
E00104812,98.4,0.4,1.2
E00104813,97.4,1,1.6
E00104814,98,0,2
E00104815,97.4,0.3,2.3
E00104856,95.1,2.9,2
E00104864,96.1,1.2,2.7
E00104865,94.5,0.6,4.8
E00104866,98,0.6,1.4
E00104867,100,0,0
E00104868,95,0.7,4.3
E00104869,98.9,0,1.1
E00104870,99.1,0.6,0.3
E00104871,98.6,0.5,0.9
E00104872,96.7,0,3.3
E00104873,99.1,0.3,0.6
E00104874,94.2,1.1,4.7
E00104875,96.5,0.4,3
E00104876,95.7,0,4.3
E00104877,97.5,0.4,2.1
E00104878,99.6,0.4,0
E00104879,97.8,0,2.2
E00106030,97.2,0.6,2.2
E00106031,94.4,2.8,2.8
E00106037,97.9,0,2.1
E00139851,98.2,0.6,1.2
E00139852,92.4,2.5,5.1
E00139853,96.6,1.4,2.1
E00139854,94.9,0.7,4.4
E00139859,97.7,0.4,1.9
E00139860,98.2,0,1.8
E00139861,96.5,0.6,2.9
E00139866,99.5,0.5,0
E00139868,95.7,0.9,3.4
E00139869,94.2,1.9,3.9
E00139872,97.7,1,1.3
E00139873,93.5,2.8,3.7
E00139901,95.5,0,4.5
E00139902,95.2,0,4.8
E00139903,96.5,0.6,2.9
E00139904,94.7,2.4,2.8
E00139907,96.9,0,3.1
E00139908,93.9,3.1,3.1
E00139909,95.7,1.3,3
E00139914,92.6,3.2,4.1
E00139915,95.5,0.4,4.1
E00139927,95.7,0.9,3.3
E00139928,95.3,0.7,4
E00139929,95.7,0.9,3.4
E00139930,97.3,0.6,2.1
E00139931,99.3,0.3,0.3
E00139932,96.8,1.6,1.6
E00139933,95.8,0,4.2
E00139934,94.6,3.2,2.2
E00139935,96.4,0,3.6
E00139936,96.6,1.3,2.1
E00139937,96.6,0.7,2.7
E00139938,94.1,1.1,4.8
E00139942,96.3,2,1.7
E00139943,96.5,1.9,1.5
E00139944,98.4,0.4,1.2
E00139945,98.2,0.9,0.9
E00139946,97.3,0.3,2.3
E00139947,99.3,0,0.7
E00139948,98,0,2
E00139949,99,0.8,0.3
E00139951,97.7,1.3,1
E00139952,99.1,0,0.9
E00139953,99.1,0,0.9
E00139954,99.2,0,0.8
E00139955,95.5,0.4,4.1
E00139957,92.5,3,4.5
E00139958,97.7,1.1,1.3
E00139959,97.9,0.6,1.5
E00139960,92.8,2.7,4.5
E00139961,97.8,0.4,1.8
E00139962,98.8,0,1.2
E00139963,97.2,1.3,1.6
E00139964,94.9,0.3,4.8
E00139965,95.6,0.9,3.5
E00139966,97.4,1,1.6
E00139967,97.1,0.7,2.2
E00139968,92.6,1.4,6
E00139969,99.1,0.4,0.6
E00139970,97.6,0,2.4
E00139971,97.7,0.6,1.6
E00139972,99.3,0,0.7
E00139973,96.9,0,3.1
E00139974,97.4,0.9,1.7
E00139975,99,0,1
E00139976,96.2,2.4,1.4
E00139977,96.5,1.8,1.8
E00139978,97.6,0.8,1.6
E00139979,98.5,0,1.5
E00139983,95.9,2.4,1.7
E00139987,97.9,0.3,1.8
E00139988,98.7,0.9,0.3
E00139989,95.9,2.8,1.4
E00139990,96.8,2.4,0.8
E00139991,94,3.3,2.6
E00139993,99.7,0,0.3
E00139994,97.2,0.3,2.4
E00139995,97,1.4,1.6
E00139996,98.3,0,1.7
E00139997,97.1,0.8,2
E00139998,96.3,1.8,1.8
E00139999,94.7,0.7,4.6
E00140000,97.5,0.3,2.2
E00140001,94,1.1,4.9
E00140002,99.1,0,0.9
E00140003,96.4,1.6,1.9
E00140004,97.6,1,1.4
E00140005,99.7,0,0.3
E00140006,97.5,0.7,1.8
E00140007,99.4,0.3,0.3
E00140029,91.5,5.7,2.8
E00140030,93.4,2.1,4.5
E00140035,95.9,2.5,1.7
E00140036,92.7,5.2,2.1
E00171777,98.8,0,1.2
E00171808,91.9,2.4,5.6
E00171809,98.9,0,1.1
E00171811,99.4,0,0.6
E00171813,97.5,0.3,2.2
E00171817,96,1.4,2.5
