geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00132244,16.4,34.3,36.6,12.7
E00132261,25.7,41.1,17.3,15.9
E00132262,35.6,30.1,13,21.2
E00132263,36.4,36.4,13.1,14.1
E00132264,29.4,39.8,14.2,16.6
E00132265,32.1,26.6,22,19.3
E00132266,27.7,36.2,21.3,14.9
E00132267,35.4,32.9,16.1,15.5
E00132268,32.2,35.5,19.1,13.2
E00132269,27.2,43,13.2,16.7
E00132270,37.6,37.6,15.8,8.9
E00132271,29.2,39.4,18.8,12.6
E00132272,32.2,30.7,22,15.1
E00132273,32.7,36.5,19.2,11.5
E00132274,35.1,27,13.5,24.3
E00132275,42.8,30.1,15,12.1
E00132276,38.7,30.7,12.7,18
E00132277,30.4,33.7,21.7,14.1
E00132278,33,29,19.3,18.8
E00132279,40.6,30.7,17.8,10.9
E00132280,37.9,31.6,12.6,17.9
E00132281,28.4,45.7,7.4,18.5
E00132282,26.6,38,24.1,11.4
E00132283,22,33.3,22,22.7
E00132309,26.9,26.9,31.9,14.3
E00132312,12.1,31.8,39.4,16.7
E00132313,5.8,41.9,41.9,10.5
E00132315,6.2,43.4,31.7,18.6
E00132316,6.3,43.8,34.4,15.6
E00132319,8,29.6,36,26.4
E00132320,1.2,46.3,36.6,15.9
E00132343,20.3,34.2,25.3,20.3
E00132344,21.2,40.9,24.1,13.9
E00132345,19.3,25,34.1,21.6
E00132346,22.7,30.9,30.9,15.5
E00132350,6.3,38.8,35,20
E00132392,14.4,30,37.8,17.8
E00132393,17.8,35.6,33.3,13.3
E00132394,10.8,38.5,30.8,20
E00132395,8.9,37.5,33.9,19.6
E00132396,16.2,22.2,42.4,19.2
E00132397,8.8,33.8,40,17.5
E00132398,19.1,40,29.1,11.8
E00132399,18.9,34.9,29.2,17
E00132400,11.3,31.3,36.5,20.9
E00132532,12.7,31,36.5,19.8
E00132533,12.2,28.4,41.9,17.6
E00132534,17.9,31,40.5,10.7
E00132536,14.3,37.4,36.3,12.1
E00132537,7.8,32.8,32.8,26.6
E00132538,14.8,42.6,26.2,16.4
E00132539,16.3,27.4,41.1,15.3
E00132540,11.2,28.4,42.2,18.1
E00132610,17.4,40.6,23.9,18.1
E00132611,27.5,33.3,25.4,13.8
E00132612,19.7,33.6,29.6,17.1
E00132614,29.6,25.8,27.7,17
E00132615,13.8,36.9,33.8,15.4
E00132616,28.7,30.7,27.7,12.9
E00132617,24.6,30.8,26.2,18.5
E00132618,19,46.4,22.6,11.9
E00132619,33.7,28.4,25.3,12.6
E00132620,37.5,37.5,5.6,19.4
E00132621,24.2,28.2,32.9,14.8
E00132622,26,34.6,26,13.5
E00132623,9.8,50.3,24.9,15
E00132624,10.4,45.8,28.1,15.6
E00132625,3.6,48.2,25,23.2
E00132626,18,39.6,26.6,15.8
E00132628,21.3,58.5,3.2,17
E00132629,16.7,50,19,14.3
E00132630,24.5,46.1,14.7,14.7
E00133085,7.9,47.6,31.7,12.7
E00133086,15.1,40.9,31.2,12.9
E00133087,22.5,42.3,9.9,25.4
E00133088,16.9,46.8,26,10.4
E00133937,17.9,42.6,21.6,17.9
E00133938,8.8,37.4,29.7,24.2
E00133939,17.7,44.5,23.2,14.6
E00133940,13.8,39.1,20.3,26.8
E00133941,15.9,44.2,18.6,21.2
E00133942,1.3,38.5,42.3,17.9
E00133982,8,36.8,40.2,14.9
E00133983,7,45.1,29.6,18.3
E00169334,11.5,60.9,16.7,10.9
E00169335,13.7,56.8,21.1,8.4
E00169336,21.7,51.7,20,6.7
E00169344,20.4,33.7,27.6,18.4
E00169345,21.2,46.5,22.2,10.1
E00169346,24.3,32.4,35.1,8.1
E00185432,12,52,18.7,17.3
E00185447,15.2,47.9,22.7,14.2
