geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00132244,58.4,41.6
E00132261,52.3,47.7
E00132262,38.7,61.3
E00132263,39.3,60.7
E00132264,34.7,65.3
E00132265,54.7,45.3
E00132266,23.2,76.8
E00132267,31.8,68.2
E00132268,39.7,60.3
E00132269,54.7,45.3
E00132270,29.3,70.7
E00132271,61.2,38.8
E00132272,46.2,53.8
E00132273,41,59
E00132274,54.7,45.3
E00132275,53.1,46.9
E00132276,33.8,66.2
E00132277,46.2,53.8
E00132278,57.1,42.9
E00132279,50.2,49.8
E00132280,59,41
E00132281,62.6,37.4
E00132282,65.5,34.5
E00132283,54.2,45.8
E00132309,60.6,39.4
E00132312,65.5,34.5
E00132313,66.3,33.7
E00132315,59.5,40.5
E00132316,66.2,33.8
E00132319,60.4,39.6
E00132320,51.4,48.6
E00132343,56.1,43.9
E00132344,52.2,47.8
E00132345,65.5,34.5
E00132346,53.7,46.3
E00132350,66.3,33.7
E00132392,62.7,37.3
E00132393,48.6,51.4
E00132394,54,46
E00132395,57.5,42.5
E00132396,58.7,41.3
E00132397,58.5,41.5
E00132398,65.5,34.5
E00132399,65.8,34.2
E00132400,57,43
E00132532,64.7,35.3
E00132533,56.8,43.2
E00132534,59.9,40.1
E00132536,65.4,34.6
E00132537,61.2,38.8
E00132538,62.8,37.2
E00132539,61.4,38.6
E00132540,54.9,45.1
E00132610,66,34
E00132611,43.8,56.2
E00132612,67.2,32.8
E00132614,47.2,52.8
E00132615,55.9,44.1
E00132616,67.9,32.1
E00132617,67.9,32.1
E00132618,57.6,42.4
E00132619,43.6,56.4
E00132620,35.6,64.4
E00132621,54.3,45.7
E00132622,56.3,43.8
E00132623,62.7,37.3
E00132624,49.5,50.5
E00132625,52.8,47.2
E00132626,56.3,43.7
E00132628,42.4,57.6
E00132629,52,48
E00132630,41.1,58.9
E00133085,58.3,41.7
E00133086,52.3,47.7
E00133087,67,33
E00133088,55.5,44.5
E00133937,52.6,47.4
E00133938,65.3,34.7
E00133939,42.9,57.1
E00133940,66.9,33.1
E00133941,50.6,49.4
E00133942,52,48
E00133982,56.5,43.5
E00133983,52.5,47.5
E00169334,39.2,60.8
E00169335,51.5,48.5
E00169336,65.5,34.5
E00169344,70.6,29.4
E00169345,60.1,39.9
E00169346,60.1,39.9
E00185432,30,70
E00185447,49.8,50.2
