areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00039247,99.5,0,0,0.5
E00098596,94.6,1.2,2.4,1.8
E00098597,99.1,0,0,0.9
E00098599,97.8,0,0,2.2
E00098600,97.3,2.7,0,0
E00098601,95.5,0.9,0,3.6
E00098602,99.1,0,0,0.9
E00098603,98.2,0.9,0,0.9
E00098604,95.8,1,0.5,2.6
E00098605,96.9,0,0.8,2.3
E00098606,90.7,3.4,0.8,5.1
E00098607,92,2.2,2.9,2.9
E00098608,100,0,0,0
E00098609,98.8,0.6,0,0.6
E00098612,98.4,1.6,0,0
E00098613,96.3,1.2,0,2.5
E00098614,98.8,0,0,1.2
E00098641,95.1,1.6,0.5,2.7
E00098646,96.3,0,0,3.7
E00098647,93.9,0,0,6.1
E00098648,92.2,0,0.9,6.9
E00098649,99.2,0,0,0.8
E00098737,97.7,1.5,0,0.8
E00098738,99.2,0.8,0,0
E00098739,99.3,0.7,0,0
E00098740,96.2,1.5,0,2.3
E00098741,98,0.7,0,1.3
E00098742,96.2,1.5,0.8,1.5
E00098743,94.7,2.3,0.8,2.3
E00098744,98.2,0,0,1.8
E00098745,100,0,0,0
E00098746,100,0,0,0
E00098747,99.2,0.8,0,0
E00098748,100,0,0,0
E00098749,98.5,0.8,0,0.8
E00098750,96.7,2,0,1.3
E00142873,100,0,0,0
E00142877,98.7,0,0,1.3
E00142878,97.5,1.2,0,1.2
E00142879,99.2,0.8,0,0
E00142880,100,0,0,0
E00142882,90.5,3.4,2.6,3.4
E00142883,96.5,1.2,1.2,1.2
E00142884,97.4,0.9,1.7,0
E00142885,97.3,0.9,0,1.8
E00142886,99.3,0,0,0.7
E00142887,93.8,0,0.8,5.5
E00142888,98.4,0,0.8,0.8
E00142889,89.1,1.6,2.3,7
E00142891,95.6,1.1,2.2,1.1
E00142892,98.9,0,0,1.1
E00142893,89.6,0.9,3.5,6.1
E00142894,93.7,1.8,3.6,0.9
E00142895,87.8,0.9,4.3,7
E00142896,95,0,0.8,4.2
E00142897,92.6,0.9,1.9,4.6
E00142898,96.3,2.8,0,0.9
E00142899,93.8,0.9,0,5.4
E00142901,98.3,0.8,0,0.8
E00142902,84.7,1.7,5.9,7.6
E00142903,95.3,1.3,0,3.4
E00142904,93.6,2.1,2.1,2.1
E00142905,84.2,0.8,1.7,13.3
E00142906,89.8,1.5,1.5,7.3
E00142909,94.6,2.7,0.9,1.8
E00142913,87.4,5.9,2.2,4.4
E00142914,96.3,0,0.9,2.8
E00142916,93.7,3.2,1.6,1.6
E00142917,94.9,0.6,2.8,1.7
E00142918,94.6,0,2,3.4
E00142919,96.6,0.8,0,2.5
E00142920,97.2,0.6,1.1,1.1
E00142921,97.4,0.9,0,1.8
E00142922,96.2,1.5,0,2.3
E00142923,95.4,2,0,2.6
E00142924,95.6,2.2,0,2.2
E00142925,93.2,3,1.5,2.3
E00142926,96.6,1.7,0.8,0.8
E00142927,96.5,1.8,0,1.8
E00142928,95.6,1.8,0,2.6
E00142929,92.5,1.5,1.5,4.5
E00142930,90.8,2,1,6.1
E00142931,94,2.6,0,3.4
E00142932,92.6,2.5,0,5
E00142933,95.7,0.4,0.4,3.4
E00142934,91.3,1.1,1.1,6.5
E00142935,95.8,1.7,0.8,1.7
E00142936,88.2,2.5,2.5,6.7
E00142937,92.1,0,2.4,5.6
E00142938,90,0.9,0.9,8.2
E00142939,99.1,0.9,0,0
E00142940,98,0,0,2
E00142941,96.4,1.8,0,1.8
E00142942,100,0,0,0
E00142943,99.1,0.9,0,0
E00142944,93.2,1.9,1.9,2.9
E00142945,98.2,0.9,0,0.9
E00142946,97.6,1.6,0,0.8
E00142947,97.4,1.7,0.9,0
E00142948,93.3,0.8,0.8,5
E00142949,100,0,0,0
E00142950,96.7,1.6,0.8,0.8
E00142951,95.8,1.7,0,2.5
E00142952,90.7,0.9,0.9,7.5
E00142953,91.9,0,0,8.1
E00142954,98.1,1.3,0.6,0
E00142956,78.5,1.2,1.8,18.4
E00142957,71,2.4,2.4,24.2
E00142958,96.2,1.5,0.8,1.5
E00142959,99.2,0,0,0.8
E00142960,95.5,0,1.3,3.2
E00142961,88.9,0,4.4,6.7
E00142962,90.2,0.9,0,8.9
