areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02003184,71.8,13.6,6.3,4,4.2
E02003185,89.3,7.7,1.6,0.9,0.5
E02003186,70.8,15,7,4.5,2.6
E02003187,77.6,11.6,4.5,3.3,2.9
E02003188,62,11.9,8,8.6,9.4
E02003189,86.2,8.7,2.2,1.4,1.5
E02003190,62.5,16.3,10.3,6.8,4.2
E02003191,90.2,7.1,1.1,0.9,0.7
E02003192,62.9,12.5,8.5,8.1,8
E02003202,81.8,10.7,3.4,2,2.1
E02003203,86.4,8,3.3,1.4,1
E02003204,88.8,7.1,2,1.5,0.6
E02003205,90.4,6.6,1.6,0.8,0.6
E02003206,86.7,8.4,2.3,1.7,1
E02003207,91.8,5.1,1.7,0.8,0.6
E02003208,80.6,9,3.9,3.3,3.2
E02003209,90.8,5.6,1.9,1.1,0.6
E02003210,89,7.2,1.6,1.1,1
E02003211,86.1,9.2,2.1,1.7,0.9
E02003584,90.9,5.9,1.2,0.8,1.2
E02003585,94.2,4.6,0.6,0.3,0.3
E02003586,94.6,3.6,1,0.5,0.4
E02003587,94.2,4,0.7,0.7,0.4
E02003588,93.6,4.2,0.8,0.6,0.8
E02003589,92.4,4,0.9,0.9,1.8
E02003590,93.6,5.2,0.6,0.4,0.2
E02003591,94.1,3.6,0.8,0.5,1
E02003592,94.7,4,0.6,0.3,0.3
E02003593,95.6,3.6,0.3,0.3,0.2
E02003594,94.2,4,0.9,0.5,0.4
E02003595,95.4,3.8,0.4,0.3,0.1
E02003596,93.3,4.8,0.9,0.6,0.4
E02003597,95.5,3.4,0.5,0.5,0.3
E02003598,93.8,4.5,0.7,0.5,0.5
E02004242,93.5,4.9,0.7,0.5,0.4
E02004265,94.7,4,0.5,0.5,0.3
E02004266,91.7,5.2,1,1,1
E02004267,94.1,4.3,0.7,0.5,0.5
E02004268,92.7,5,0.9,0.8,0.5
E02004275,93.9,5,0.7,0.1,0.3
E02004276,93.8,4.9,0.5,0.5,0.3
E02004278,93.1,5,0.9,0.5,0.5
E02004279,94.7,4.3,0.4,0.4,0.3
E02004280,95.3,3.4,0.6,0.5,0.2
E02004281,94.6,4.1,0.5,0.5,0.2
E02004282,94.5,4.3,0.5,0.4,0.3
E02004283,95.2,3.8,0.5,0.3,0.2
E02004284,89.5,6.2,2,1.1,1.1
E02004285,93.4,4.5,1.2,0.6,0.3
E02004286,95,3.8,0.6,0.4,0.2
E02004287,95.2,4,0.5,0.2,0.1
E02004288,93.1,5.2,0.8,0.4,0.6
E02004289,96.3,3,0.3,0.3,0.1
E02004801,92.1,5.9,0.8,0.8,0.5
E02006574,92.1,4.9,1.4,1,0.6
E02006883,71.2,13,7.6,5.4,2.8
E02006885,69.7,11.9,7.3,5.8,5.3
E02007006,88.2,6.7,1.8,1.2,2.2
E02007007,89.7,5.9,1.5,1.2,1.8
