areacd,sex-001,sex-002
E02003184,49.6,50.4
E02003185,51.9,48.1
E02003186,49.7,50.3
E02003187,50.8,49.2
E02003188,49.4,50.6
E02003189,52.1,47.9
E02003190,48.4,51.6
E02003191,53.3,46.7
E02003192,48.9,51.1
E02003202,49.8,50.2
E02003203,51.1,48.9
E02003204,51.4,48.6
E02003205,51.3,48.7
E02003206,50.7,49.3
E02003207,50.7,49.3
E02003208,52.1,47.9
E02003209,52,48
E02003210,51.6,48.4
E02003211,51.5,48.5
E02003584,49.7,50.3
E02003585,52.6,47.4
E02003586,52.5,47.5
E02003587,52.1,47.9
E02003588,46.9,53.1
E02003589,51.1,48.9
E02003590,52.2,47.8
E02003591,51.6,48.4
E02003592,52.5,47.5
E02003593,51.7,48.3
E02003594,52.1,47.9
E02003595,51.9,48.1
E02003596,52,48
E02003597,51.4,48.6
E02003598,51.8,48.2
E02004242,52.9,47.1
E02004265,52.8,47.2
E02004266,48.9,51.1
E02004267,50.9,49.1
E02004268,52.2,47.8
E02004275,51.7,48.3
E02004276,54.3,45.7
E02004278,52.4,47.6
E02004279,51.2,48.8
E02004280,51.6,48.4
E02004281,51.3,48.7
E02004282,52.6,47.4
E02004283,50.6,49.4
E02004284,50.2,49.8
E02004285,50.9,49.1
E02004286,51.4,48.6
E02004287,51,49
E02004288,41.9,58.1
E02004289,51.5,48.5
E02004801,53.3,46.7
E02006574,52.3,47.7
E02006883,50.4,49.6
E02006885,49.3,50.7
E02007006,52.8,47.2
E02007007,53,47
