areacd,disability_3a-001,disability_3a-002
E02003184,15.1,84.9
E02003185,17.6,82.4
E02003186,17.1,82.9
E02003187,18.3,81.7
E02003188,16.7,83.3
E02003189,19.8,80.2
E02003190,21.5,78.5
E02003191,17.5,82.5
E02003192,17.8,82.2
E02003202,18.3,81.7
E02003203,16.3,83.7
E02003204,19.9,80.1
E02003205,16.8,83.2
E02003206,14.2,85.8
E02003207,18.4,81.6
E02003208,21.2,78.8
E02003209,19.5,80.5
E02003210,14.8,85.2
E02003211,19.1,80.9
E02003584,26.5,73.5
E02003585,21.8,78.2
E02003586,23.1,76.9
E02003587,23.6,76.4
E02003588,25.4,74.6
E02003589,23.4,76.6
E02003590,22,78
E02003591,21.5,78.5
E02003592,25.2,74.8
E02003593,20.8,79.2
E02003594,25.3,74.7
E02003595,23.3,76.7
E02003596,25.2,74.8
E02003597,21.7,78.3
E02003598,26,74
E02004242,18.5,81.5
E02004265,20,80
E02004266,18.6,81.4
E02004267,19.4,80.6
E02004268,22.5,77.5
E02004275,18.6,81.4
E02004276,23.4,76.6
E02004278,19.1,80.9
E02004279,18.8,81.2
E02004280,20.4,79.6
E02004281,22.1,77.9
E02004282,21.4,78.6
E02004283,21.2,78.8
E02004284,26.4,73.6
E02004285,23.6,76.4
E02004286,21,79
E02004287,20.6,79.4
E02004288,25.9,74.1
E02004289,21.9,78.1
E02004801,18.8,81.2
E02006574,21.6,78.4
E02006883,20.1,79.9
E02006885,16.5,83.5
E02007006,24.9,75.1
E02007007,20.9,79.1
