areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02003184,93.9,3.2,1.5,1.4
E02003185,90.1,5.6,1.8,2.5
E02003186,92.1,3.6,1.9,2.4
E02003187,91.2,4.6,1.9,2.3
E02003188,95.5,2.4,0.9,1.2
E02003189,91.9,4.8,1.3,2.1
E02003190,93.1,3.2,1.8,1.9
E02003191,91,5.1,1.6,2.3
E02003192,94.5,2.8,1.2,1.4
E02003202,92,4.5,1.5,2.1
E02003203,91.3,4.4,1.7,2.5
E02003204,90.4,4.7,2,2.9
E02003205,90.9,4.9,1.6,2.5
E02003206,92.1,4.8,1.4,1.7
E02003207,90.9,4.4,1.9,2.9
E02003208,91,4.5,1.8,2.7
E02003209,90,5.2,2,2.8
E02003210,91.8,5.2,1,2
E02003211,91.5,5,1.1,2.4
E02003584,90.5,4.8,1.8,2.9
E02003585,88.6,6,1.5,3.9
E02003586,89.3,4.8,2.2,3.7
E02003587,89.8,4.1,2.2,4
E02003588,89.6,4.2,2,4.2
E02003589,90.8,4.2,2.1,2.9
E02003590,89.4,5.4,1.6,3.6
E02003591,89.7,5,2.2,3.1
E02003592,88.8,5,2.3,3.9
E02003593,87.9,6.4,1.9,3.8
E02003594,89.2,4.8,2.2,3.8
E02003595,88.2,5.5,2,4.3
E02003596,90.2,4.5,1.9,3.4
E02003597,88.5,5.5,2,4
E02003598,89.3,5,2,3.7
E02004242,89.9,5.4,1.8,2.9
E02004265,90.1,5.2,1.8,2.9
E02004266,90.3,4.8,1.9,3
E02004267,88.5,7.1,1.6,2.8
E02004268,89.7,5.1,2,3.2
E02004275,89.9,5.5,1.7,3
E02004276,90,5.5,1.6,3
E02004278,90,5.9,1.4,2.6
E02004279,90.5,5.3,1.4,2.7
E02004280,89.8,5.3,2,2.9
E02004281,89,5.2,2.2,3.6
E02004282,89.5,5.6,1.9,3
E02004283,89.2,5.4,2.1,3.4
E02004284,91,4.1,2,2.9
E02004285,90.6,4.3,1.9,3.2
E02004286,90.2,5.1,1.8,2.9
E02004287,89.7,5.3,2.2,2.8
E02004288,90.1,4.4,2,3.5
E02004289,88.9,4.7,2.3,4.1
E02004801,90.6,5.6,1.2,2.6
E02006574,89.4,5.1,1.9,3.6
E02006883,93.6,3.4,1.3,1.7
E02006885,93.4,3.7,1.5,1.5
E02007006,91,4.8,1.6,2.6
E02007007,89.8,5.2,1.8,3.1
