areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02003184,16.8,30.3,52.9
E02003185,7.2,25.5,67.3
E02003186,14.1,28.7,57.2
E02003187,10.6,33.4,56
E02003188,10.9,47.4,41.7
E02003189,6.8,41.2,52
E02003190,7,50.3,42.7
E02003191,4.7,34,61.4
E02003192,10.6,44.1,45.3
E02003202,7.9,32.2,59.9
E02003203,7.3,28.2,64.5
E02003204,7,30.8,62.2
E02003205,8,24.6,67.4
E02003206,5.8,29.1,65.1
E02003207,6.9,26.7,66.4
E02003208,6.7,42.2,51.1
E02003209,6.3,31.3,62.3
E02003210,4.4,36.9,58.7
E02003211,4.1,39.1,56.7
E02003584,5.1,52,42.9
E02003585,3.9,31.8,64.2
E02003586,4.1,32.4,63.4
E02003587,5.3,34.3,60.4
E02003588,5.2,30.5,64.2
E02003589,5.6,38.4,56.1
E02003590,4,33,63
E02003591,5.3,29.6,65
E02003592,3.9,36.3,59.8
E02003593,5.3,28,66.7
E02003594,6.6,34.6,58.8
E02003595,4.8,29.7,65.5
E02003596,5.2,41.8,53
E02003597,5.5,30.2,64.3
E02003598,4.2,39.3,56.5
E02004242,3.9,32.2,63.9
E02004265,5.2,31.7,63.1
E02004266,5,25.3,69.7
E02004267,6,27.3,66.7
E02004268,4.3,35.1,60.6
E02004275,4,28.1,67.9
E02004276,3,40.5,56.5
E02004278,3.4,32.8,63.9
E02004279,4.3,26,69.8
E02004280,4.7,29,66.2
E02004281,4.9,33,62.1
E02004282,4.3,29.5,66.2
E02004283,5.4,28,66.7
E02004284,6,48.5,45.5
E02004285,6.5,35.9,57.6
E02004286,5.2,28.7,66.1
E02004287,5,28.4,66.7
E02004288,5.1,35.9,59.1
E02004289,4.7,28.8,66.5
E02004801,3.9,33.2,62.9
E02006574,5.8,33,61.3
E02006883,7.1,50.5,42.4
E02006885,6.9,46.6,46.5
E02007006,3.6,47.1,49.3
E02007007,4.6,30.5,64.9
