areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02003184,46.1,9.1,28.5,16.3
E02003185,36.3,13.5,34.3,15.8
E02003186,47.2,9.9,25.6,17.4
E02003187,39.4,14.1,30.5,16
E02003188,46.4,9.4,32.3,12
E02003189,34.6,14.3,36.5,14.6
E02003190,46.8,13.4,22.8,17
E02003191,33.4,16.8,36,13.8
E02003192,46.2,12.1,28.9,12.8
E02003202,45.9,7.7,31.8,14.5
E02003203,46.2,7.6,30.2,16
E02003204,47.4,8.1,29.1,15.4
E02003205,47.4,9.8,25.9,16.9
E02003206,41.9,8.4,37.5,12.2
E02003207,46.7,13.2,21.4,18.7
E02003208,53.4,9.8,24.2,12.5
E02003209,48.2,11,23.3,17.4
E02003210,37.6,9.1,41.2,12.2
E02003211,34.6,10.9,43.8,10.6
E02003584,40.8,20.9,22.4,16
E02003585,50.4,8.7,24.8,16.1
E02003586,50.5,9.1,22.5,17.9
E02003587,45.3,20.4,17.3,17
E02003588,57.8,10.7,15.1,16.4
E02003589,56.7,12.6,13.9,16.8
E02003590,23,25.2,34.1,17.7
E02003591,52.4,13.4,19.5,14.8
E02003592,23,32.3,25.1,19.6
E02003593,31.5,21.6,29,17.9
E02003594,37.9,24.7,19.1,18.4
E02003595,35.3,21.5,24.1,19.1
E02003596,32.4,26.8,22,18.8
E02003597,27.1,23.8,28.9,20.2
E02003598,24.2,30.4,24.6,20.8
E02004242,29.6,19.7,36.7,14.1
E02004265,30.1,28.3,24.5,17.1
E02004266,29.2,31.3,22.1,17.5
E02004267,20.9,24.8,37.2,17.1
E02004268,31.8,26.7,23.8,17.7
E02004275,27.7,21.2,31.7,19.5
E02004276,35.4,22.3,24.2,18.1
E02004278,39.3,22.1,26.9,11.8
E02004279,29.3,23.4,30,17.3
E02004280,30.7,26.7,26.2,16.4
E02004281,44.5,17.8,20.6,17.1
E02004282,38.3,17.8,30.2,13.7
E02004283,40,20.5,23.4,16
E02004284,39.7,22.7,22.2,15.5
E02004285,39.2,25.1,19.9,15.8
E02004286,34.6,22.5,25.2,17.6
E02004287,35.4,24.2,23.2,17.2
E02004288,36.3,21.5,21.8,20.3
E02004289,40.4,26.5,16.5,16.6
E02004801,27,21.4,36.3,15.3
E02006574,24.3,31,25.3,19.3
E02006883,45.2,9.2,34.7,11
E02006885,41.4,9.7,36.8,12.1
E02007006,37.3,23.7,26.2,12.8
E02007007,40.5,21.4,24.4,13.6
