areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02003184,22.9,31.5,39.4,5.5,0.6
E02003185,35.3,37,25.2,2.3,0.2
E02003186,20.8,30.7,41.7,5.8,1
E02003187,25.4,31.1,38.1,5,0.4
E02003188,8.9,29.2,55.9,5.1,0.9
E02003189,26.7,33.6,37.4,2.1,0.2
E02003190,6.4,24.3,61.5,7.2,0.7
E02003191,38.5,37,22.9,1.5,0.1
E02003192,11.7,26.7,54.9,6.2,0.5
E02003202,34.1,34.5,28.5,2.6,0.2
E02003203,28.7,41.1,27,3,0.2
E02003204,32.4,37.1,27.8,2.4,0.2
E02003205,40.4,37.2,20.1,1.9,0.4
E02003206,43.5,32.3,22.1,2,0.1
E02003207,30.4,36.1,29.5,3.6,0.3
E02003208,17.3,36.6,41.5,4.1,0.5
E02003209,33,33.9,30,2.9,0.3
E02003210,42.3,35,21.2,1.3,0.1
E02003211,47.7,36.3,14.7,1.3,0
E02003584,19.2,33.7,44.2,2.8,0.1
E02003585,47.2,35.7,16.3,0.7,0.1
E02003586,38.7,36,23.6,1.7,0.1
E02003587,26.8,37.6,32.2,2.9,0.4
E02003588,29.5,38.5,29,2.9,0.1
E02003589,21.9,37,37.9,2.9,0.4
E02003590,50.4,33.9,14.9,0.8,0.1
E02003591,38.5,37.7,21.5,2.2,0.2
E02003592,42,37.6,18.7,1.5,0.2
E02003593,50.5,33.7,14.4,1.3,0.1
E02003594,30.6,38.9,27.4,2.8,0.3
E02003595,42.5,40.4,15.7,1.2,0.1
E02003596,27.8,37.6,32.6,1.9,0.1
E02003597,48.1,35.1,15.3,1.3,0.2
E02003598,34,38.3,26,1.7,0.1
E02004242,47.8,35.8,15.5,0.8,0.1
E02004265,43.1,34,21.1,1.7,0.1
E02004266,40.3,37.4,19.4,2.6,0.3
E02004267,55.8,27.9,14.5,1.8,0
E02004268,36.8,38.8,22.9,1.5,0.1
E02004275,54.8,28.9,15,1.2,0.1
E02004276,35,38.1,25.3,1.3,0.2
E02004278,42.1,32.1,24.1,1.6,0.1
E02004279,48.4,34.7,15.6,1.1,0.2
E02004280,44.3,34.3,19.7,1.5,0.2
E02004281,30,34.7,31.7,3.2,0.4
E02004282,53,31.3,14.5,1.1,0.1
E02004283,44.7,31.9,21,2,0.4
E02004284,21.1,33.9,41.9,2.7,0.4
E02004285,28.4,38.3,30.6,2.3,0.3
E02004286,43.6,31.9,21.7,2.4,0.3
E02004287,41.5,34.5,21.7,2,0.2
E02004288,33.1,35.4,28.9,2.5,0.2
E02004289,38.9,38.6,20.5,1.8,0.2
E02004801,57.9,29.3,11.9,0.9,0.1
E02006574,40.2,36.2,21.5,1.8,0.3
E02006883,10.4,35.1,50.8,3.4,0.2
E02006885,14.4,43.6,38.5,3.2,0.2
E02007006,25.3,33.7,39.1,1.9,0.1
E02007007,37.9,33.7,26.3,1.9,0.2
