areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02003184,18.8,29.6,3.5,48.1
E02003185,32.7,39.3,10.4,17.6
E02003186,17.4,30.5,10.4,41.7
E02003187,26.3,28.7,6.5,38.5
E02003188,17,16.9,11.2,54.9
E02003189,31.9,27.3,7,33.9
E02003190,12.4,17.3,9.9,60.4
E02003191,49.8,27.5,4,18.7
E02003192,18.9,14.7,10.1,56.2
E02003202,31.2,30.2,13.8,24.8
E02003203,31.8,40,6.4,21.8
E02003204,32.5,32.9,13.1,21.5
E02003205,43.4,37.6,7.5,11.5
E02003206,36.2,35.4,4.5,23.9
E02003207,28.9,28.9,20.6,21.6
E02003208,28,19.1,20.7,32.3
E02003209,33.4,30.5,16,20.1
E02003210,42.1,32.1,3.6,22.3
E02003211,57.1,20,2.2,20.7
E02003584,28.6,17.9,8.3,45.2
E02003585,55.3,26.4,4.8,13.5
E02003586,43.8,27.7,10.9,17.5
E02003587,34.3,24,18.9,22.9
E02003588,32.2,30.3,21.4,16.1
E02003589,27.1,24.5,14.1,34.3
E02003590,61.7,19.4,4.9,14
E02003591,42.1,30.2,10.7,17
E02003592,54.4,18,11.2,16.5
E02003593,56.8,25.1,5.2,12.9
E02003594,41.9,23.3,10.9,23.9
E02003595,58.2,24.1,6.2,11.5
E02003596,43.6,17.9,12.2,26.3
E02003597,52.2,24.9,10.1,12.9
E02003598,48.2,18.1,13.1,20.6
E02004242,59.5,22.2,4.8,13.5
E02004265,46.9,22.3,16.2,14.6
E02004266,37.6,23.4,15.3,23.7
E02004267,53,19.1,10.2,17.6
E02004268,50.8,19.5,12.1,17.6
E02004275,55.6,19.1,8.9,16.3
E02004276,49,16.3,17.8,17
E02004278,44.9,27,13.6,14.5
E02004279,47.6,27.4,10.1,14.9
E02004280,45.4,27.6,11.5,15.5
E02004281,30.8,28.2,23.4,17.5
E02004282,59.6,24.6,3.5,12.3
E02004283,45.2,27.6,15.8,11.4
E02004284,33.1,15.1,11.6,40.1
E02004285,34,30.1,17,19
E02004286,41,30.4,13.8,14.8
E02004287,43.2,27,11.7,18.1
E02004288,33.5,21.5,19.6,25.5
E02004289,44.2,30.1,7.8,17.9
E02004801,63.2,20.6,3.9,12.3
E02006574,54.1,22.1,8.7,15.1
E02006883,25.2,20.2,9.4,45.2
E02006885,31.8,19.1,2.3,46.8
E02007006,38,19,21.2,21.8
E02007007,39.5,23.3,19.5,17.7
